x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	Md(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
701000	3519000	142	26532.4	1.0444e+01	0.935	7.3965e-07	4.2198e-04	5.1017e-04	5.2003e-01	8.7328e+00	1.1820e+00	7.7816e-03	1.6342e-05	4.5700e-09	1.5466e-13
702000	3519000	150	27405.1	9.6800e+00	0.943	7.5568e-07	3.8847e-04	5.4106e-04	4.4271e-01	8.2449e+00	9.8563e-01	5.7882e-03	1.0769e-05	2.4989e-09	6.4224e-14
703000	3519000	157	28286.3	8.8661e+00	0.951	7.7109e-07	3.5494e-04	5.9595e-04	3.8288e-01	7.6678e+00	8.1019e-01	4.2712e-03	7.0424e-06	1.3558e-09	2.6432e-14
704000	3519000	168	29175.2	8.0202e+00	0.960	7.8583e-07	3.1854e-04	6.6046e-04	3.3786e-01	7.0204e+00	6.5786e-01	3.1259e-03	4.5675e-06	7.2942e-10	1.0782e-14
705000	3519000	193	30071.0	7.1698e+00	0.969	7.9905e-07	2.8386e-04	7.2772e-04	3.0630e-01	6.3320e+00	5.2824e-01	2.2659e-03	2.9333e-06	3.8851e-10	4.3523e-15
706000	3519000	254	30973.2	6.3698e+00	0.980	8.4135e-07	2.1351e-04	5.2971e-04	2.9286e-01	5.6560e+00	4.1855e-01	1.6176e-03	1.8536e-06	2.0351e-10	1.7272e-15
707000	3519000	292	31881.2	5.5628e+00	0.991	8.7092e-07	1.8291e-04	5.7150e-04	2.8172e-01	4.9490e+00	3.3016e-01	1.1519e-03	1.1686e-06	1.0636e-10	6.8393e-16
708000	3519000	229	32794.6	4.6963e+00	0.999	8.5126e-07	2.0813e-04	8.4489e-04	2.5506e-01	4.1782e+00	2.6108e-01	8.2924e-04	7.4622e-07	5.6367e-11	2.7492e-16
709000	3519000	419	33712.9	4.1302e+00	1.020	9.6657e-07	9.5956e-05	3.5456e-04	2.8406e-01	3.6448e+00	2.0032e-01	5.6620e-04	4.4916e-07	2.8056e-11	1.0347e-16
710000	3519000	665	34635.7	3.6545e+00	1.049	9.3012e-07	2.0275e-05	9.5656e-05	3.3148e-01	3.1701e+00	1.5243e-01	3.8086e-04	2.6575e-07	1.3705e-11	3.8171e-17
711000	3519000	828	35562.7	3.1449e+00	1.076	4.3536e-07	4.1395e-06	3.2158e-05	3.5592e-01	2.6722e+00	1.1642e-01	2.5873e-04	1.5900e-07	6.7746e-12	1.4258e-17
712000	3519000	484	36493.6	2.3299e+00	1.067	9.8174e-07	5.6446e-05	3.9907e-04	2.4779e-01	1.9902e+00	9.1276e-02	1.8952e-04	1.0407e-07	3.6964e-12	5.9242e-18
713000	3519000	487	37428.0	1.8675e+00	1.083	9.7125e-07	5.3034e-05	4.6325e-04	2.2380e-01	1.5737e+00	6.9356e-02	1.3006e-04	6.3190e-08	1.8595e-12	2.2578e-18
