z	h(m)	phi-1.0	phi-1.1	phi-1.2	phi-1.3	phi-1.4	phi-1.5	phi-1.6	phi-1.7	phi-1.8	phi-1.9
25	2500.0	-2348.5458	-2268.5457	-2191.2707	-2116.6280	-2044.5279	-1974.8838	-1907.6120	-1842.6317	-1779.8649	-1719.2362
24	2400.0	-2508.6775	-2423.2227	-2340.6788	-2260.9467	-2183.9306	-2109.5379	-2037.6793	-1968.2685	-1901.2220	-1836.4594
23	2300.0	-2673.3542	-2582.2899	-2494.3276	-2409.3617	-2327.2900	-2248.0139	-2171.4383	-2097.4712	-2026.0236	-1957.0098
22	2200.0	-2842.1521	-2745.3380	-2651.8217	-2561.4909	-2474.2371	-2389.9555	-2308.5449	-2229.9074	-2153.9485	-2080.5771
21	2100.0	-3014.6443	-2911.9544	-2812.7626	-2716.9495	-2624.4003	-2535.0036	-2448.6520	-2365.2420	-2284.6731	-2206.8488
20	2000.0	-3190.0743	-3081.4087	-2976.4446	-2875.0560	-2777.1210	-2682.5221	-2591.1455	-2502.8816	-2417.6243	-2335.2711
19	1900.0	-3365.5100	-3250.8684	-3140.1319	-3033.1675	-2929.8467	-2830.0453	-2733.6436	-2640.5257	-2550.5797	-2463.6976
18	1800.0	-3538.1256	-3417.6040	-3301.1879	-3188.7373	-3080.1172	-2975.1971	-2873.8510	-2775.9571	-2681.3978	-2590.0595
17	1700.0	-3707.0781	-3580.8014	-3458.8262	-3341.0059	-3227.1989	-3117.2687	-3011.0831	-2908.5145	-2809.4399	-2713.7400
16	1600.0	-3871.5448	-3739.6658	-3612.2790	-3489.2315	-3370.3755	-3255.5681	-3144.6715	-3037.5525	-2934.0823	-2834.1367
15	1500.0	-4030.1881	-3892.9051	-3760.2984	-3632.2089	-3508.4825	-3388.9707	-3273.5299	-3162.0215	-3054.3114	-2950.2704
14	1400.0	-4180.8801	-4038.4640	-3900.8991	-3768.0201	-3639.6675	-3515.6871	-3395.9299	-3280.2520	-3168.5146	-3060.5834
13	1300.0	-4322.4022	-4175.1653	-4032.9438	-3895.5669	-3762.8696	-3634.6925	-3510.8815	-3391.2880	-3275.7683	-3164.1836
12	1200.0	-4454.7214	-4302.9772	-4156.4020	-4014.8197	-3878.0602	-3745.9592	-3618.3581	-3495.1036	-3376.0475	-3261.0469
11	1100.0	-4577.8078	-4421.8708	-4271.2457	-4125.7514	-3985.2131	-3849.4621	-3718.3353	-3591.6752	-3469.3295	-3351.1514
10	1000.0	-4681.7222	-4522.2455	-4368.2012	-4219.4043	-4075.6759	-3936.8434	-3802.7401	-3673.2048	-3548.0819	-3427.2212
9	900.0	-4754.2678	-4592.3200	-4435.8887	-4284.7860	-4138.8305	-3997.8467	-3861.6654	-3730.1229	-3603.0612	-3480.3277
8	800.0	-4803.7141	-4640.0820	-4482.0237	-4329.3496	-4181.8760	-4039.4260	-3901.8283	-3768.9177	-3640.5345	-3516.5246
7	700.0	-4846.9925	-4681.8861	-4522.4039	-4368.3542	-4219.5520	-4075.8186	-3936.9812	-3802.8732	-3673.3334	-3548.2062
6	600.0	-4890.4995	-4723.9111	-4562.9974	-4407.5649	-4257.4271	-4112.4035	-3972.3199	-3837.0081	-3706.3055	-3580.0552
5	500.0	-4934.2274	-4766.1495	-4603.7970	-4446.9747	-4295.4945	-4149.1742	-4007.8381	-3871.3164	-3739.4451	-3612.0659
4	400.0	-4978.1768	-4808.6019	-4644.8032	-4486.5842	-4333.7546	-4186.1311	-4043.5361	-3905.7984	-3772.7525	-3644.2387
3	300.0	-5022.3484	-4851.2688	-4686.0167	-4526.3938	-4372.2082	-4223.2748	-4079.4145	-3940.4547	-3806.2283	-3676.5742
2	200.0	-5063.1442	-4890.6749	-4724.0806	-4563.1610	-4407.7230	-4257.5798	-4112.5510	-3972.4624	-3837.1458	-3706.4385
1	100.0	-5091.1849	-4917.7605	-4750.2435	-4588.4328	-4432.1339	-4281.1591	-4135.3271	-3994.4627	-3858.3967	-3726.9655
0	0.0	-5100.5794	-4926.8349	-4759.0088	-4596.8995	-4440.3122	-4289.0589	-4142.9578	-4001.8335	-3865.5163	-3733.8426
