s	phi-3.0	phi-3.1	phi-3.2	phi-3.3	phi-3.4	phi-3.5	phi-3.6	phi-3.7	phi-3.8	phi-3.9
102	4.4796	2.3636	1.2232	0.6208	0.3088	0.1505	0.0719	0.0336	0.0154	0.0069
103	4.1641	2.1914	1.1311	0.5724	0.2839	0.1380	0.0657	0.0306	0.0140	0.0062
104	3.8707	2.0318	1.0460	0.5279	0.2611	0.1265	0.0600	0.0279	0.0127	0.0056
105	3.5981	1.8838	0.9672	0.4868	0.2401	0.1160	0.0549	0.0254	0.0115	0.0051
106	3.3446	1.7466	0.8944	0.4489	0.2208	0.1063	0.0502	0.0231	0.0105	0.0046
107	3.1090	1.6194	0.8270	0.4139	0.2030	0.0975	0.0458	0.0211	0.0095	0.0042
108	2.8900	1.5015	0.7647	0.3817	0.1867	0.0894	0.0419	0.0192	0.0086	0.0038
109	2.6865	1.3921	0.7072	0.3520	0.1716	0.0819	0.0383	0.0175	0.0078	0.0034
110	2.4972	1.2907	0.6539	0.3246	0.1578	0.0751	0.0350	0.0160	0.0071	0.0031
111	2.3213	1.1967	0.6047	0.2993	0.1451	0.0689	0.0320	0.0145	0.0065	0.0028
112	2.1578	1.1096	0.5591	0.2760	0.1334	0.0631	0.0292	0.0132	0.0059	0.0025
113	2.0058	1.0288	0.5170	0.2545	0.1227	0.0579	0.0267	0.0121	0.0053	0.0023
114	1.8645	0.9538	0.4781	0.2347	0.1128	0.0531	0.0244	0.0110	0.0048	0.0021
115	1.7332	0.8844	0.4421	0.2164	0.1037	0.0487	0.0223	0.0100	0.0044	0.0019
116	1.6111	0.8200	0.4088	0.1996	0.0954	0.0446	0.0204	0.0091	0.0040	0.0017
117	1.4976	0.7602	0.3780	0.1841	0.0877	0.0409	0.0186	0.0083	0.0036	0.0015
118	1.3921	0.7049	0.3496	0.1697	0.0807	0.0375	0.0170	0.0076	0.0033	0.0014
119	1.2940	0.6535	0.3232	0.1565	0.0742	0.0344	0.0156	0.0069	0.0030	0.0013
120	1.2029	0.6059	0.2989	0.1443	0.0682	0.0315	0.0142	0.0063	0.0027	0.0011
121	1.1182	0.5618	0.2764	0.1331	0.0627	0.0289	0.0130	0.0057	0.0025	0.0010
122	1.0394	0.5209	0.2556	0.1227	0.0577	0.0265	0.0119	0.0052	0.0022	0.0009
123	0.9662	0.4829	0.2363	0.1132	0.0530	0.0243	0.0109	0.0048	0.0020	0.0008
124	0.8981	0.4478	0.2185	0.1044	0.0488	0.0223	0.0099	0.0043	0.0018	0.0008
125	0.8349	0.4152	0.2021	0.0962	0.0448	0.0204	0.0091	0.0039	0.0017	0.0007
126	0.7761	0.3849	0.1869	0.0887	0.0412	0.0187	0.0083	0.0036	0.0015	0.0006
127	0.7214	0.3569	0.1728	0.0818	0.0379	0.0172	0.0076	0.0033	0.0014	0.0006
128	0.6706	0.3309	0.1598	0.0755	0.0349	0.0157	0.0069	0.0030	0.0013	0.0005
129	0.6233	0.3068	0.1477	0.0696	0.0320	0.0144	0.0063	0.0027	0.0011	0.0005
130	0.5794	0.2844	0.1366	0.0642	0.0295	0.0132	0.0058	0.0025	0.0010	0.0004
131	0.5386	0.2637	0.1263	0.0592	0.0271	0.0121	0.0053	0.0023	0.0009	0.0004
132	0.5007	0.2445	0.1168	0.0546	0.0249	0.0111	0.0048	0.0021	0.0009	0.0003
133	0.4654	0.2267	0.1080	0.0503	0.0229	0.0102	0.0044	0.0019	0.0008	0.0003
134	0.4326	0.2102	0.0999	0.0464	0.0211	0.0093	0.0040	0.0017	0.0007	0.0003
135	0.4021	0.1949	0.0924	0.0428	0.0194	0.0086	0.0037	0.0016	0.0006	0.0003
136	0.3738	0.1807	0.0854	0.0395	0.0178	0.0079	0.0034	0.0014	0.0006	0.0002
