i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
109	58495.6540	-37804.5258	736458.6540	3494358.4742	16043205.9953	1.1070e+07
110	58591.6910	-37832.3986	736554.6910	3494330.6014	16043205.9953	1.0987e+07
111	58687.7280	-37860.2713	736650.7280	3494302.7287	16043205.9953	1.0904e+07
112	58783.7651	-37888.1440	736746.7651	3494274.8560	16043205.9953	1.0822e+07
113	58879.8021	-37916.0168	736842.8021	3494246.9832	16043205.9953	1.0740e+07
114	58975.8391	-37943.8895	736938.8391	3494219.1105	16043205.9953	1.0659e+07
115	59071.8762	-37971.7622	737034.8762	3494191.2378	16043205.9953	1.0579e+07
116	59167.9132	-37999.6349	737130.9132	3494163.3651	16043205.9953	1.0499e+07
117	59263.9502	-38027.5077	737226.9502	3494135.4923	16043205.9953	1.0420e+07
118	59359.9872	-38055.3804	737322.9872	3494107.6196	16043205.9953	1.0342e+07
119	59456.0243	-38083.2531	737419.0243	3494079.7469	16043205.9953	1.0264e+07
120	59552.0613	-38111.1259	737515.0613	3494051.8741	16043205.9953	1.0187e+07
121	59648.0983	-38138.9986	737611.0983	3494024.0014	16043205.9953	1.0110e+07
122	59744.1354	-38166.8713	737707.1354	3493996.1287	16043205.9953	1.0034e+07
123	59840.1724	-38194.7441	737803.1724	3493968.2559	16043205.9953	9.9588e+06
124	59936.2094	-38222.6168	737899.2094	3493940.3832	16043205.9953	9.8839e+06
125	60032.2464	-38250.4895	737995.2464	3493912.5105	16043205.9953	9.8097e+06
126	60128.2835	-38278.3622	738091.2835	3493884.6378	16043205.9953	9.7360e+06
127	60224.3205	-38306.2350	738187.3205	3493856.7650	16043205.9953	9.6629e+06
128	60320.3575	-38334.1077	738283.3575	3493828.8923	16043205.9953	9.5904e+06
129	60416.3946	-38361.9804	738379.3946	3493801.0196	16043205.9953	9.5184e+06
130	60512.4316	-38389.8532	738475.4316	3493773.1468	16043205.9953	9.4470e+06
131	60608.4686	-38417.7259	738571.4686	3493745.2741	16043205.9953	9.3762e+06
132	60704.5056	-38445.5986	738667.5056	3493717.4014	16043205.9953	9.3059e+06
133	60800.5427	-38473.4713	738763.5427	3493689.5287	16043205.9953	9.2361e+06
134	60896.5797	-38501.3441	738859.5797	3493661.6559	16043205.9953	9.1669e+06
135	60992.6167	-38529.2168	738955.6167	3493633.7832	16043205.9953	9.0982e+06
136	61088.6538	-38557.0895	739051.6538	3493605.9105	16043205.9953	9.0301e+06
137	61184.6908	-38584.9623	739147.6908	3493578.0377	16043205.9953	8.9625e+06
138	61280.7278	-38612.8350	739243.7278	3493550.1650	16043205.9953	8.8954e+06
139	61376.7648	-38640.7077	739339.7648	3493522.2923	16043205.9953	8.8288e+06
140	61472.8019	-38668.5805	739435.8019	3493494.4195	16043205.9953	8.7628e+06
141	61568.8389	-38696.4532	739531.8389	3493466.5468	16043205.9953	8.6972e+06
142	61664.8759	-38724.3259	739627.8759	3493438.6741	16043205.9953	8.6322e+06
143	61760.9130	-38752.1986	739723.9130	3493410.8014	16043205.9953	8.5677e+06
144	61856.9500	-38780.0714	739819.9500	3493382.9286	16043205.9953	8.5036e+06
145	61952.9870	-38807.9441	739915.9870	3493355.0559	16043205.9953	8.4401e+06
146	62049.0241	-38835.8168	740012.0241	3493327.1832	16043205.9953	8.3771e+06
147	62145.0611	-38863.6896	740108.0611	3493299.3104	16043205.9953	8.3145e+06
148	62241.0981	-38891.5623	740204.0981	3493271.4377	16043205.9953	8.2524e+06
149	62337.1351	-38919.4350	740300.1351	3493243.5650	16043205.9953	8.1908e+06
150	62433.1722	-38947.3077	740396.1722	3493215.6923	16043205.9953	8.1297e+06
151	62529.2092	-38975.1805	740492.2092	3493187.8195	16043205.9953	8.0691e+06
152	62625.2462	-39003.0532	740588.2462	3493159.9468	16043205.9953	8.0089e+06
153	62721.2833	-39030.9259	740684.2833	3493132.0741	16043205.9953	7.9492e+06
154	62817.3203	-39058.7987	740780.3203	3493104.2013	16043205.9953	7.8899e+06
155	62913.3573	-39086.6714	740876.3573	3493076.3286	16043205.9953	7.8312e+06
156	63009.3943	-39114.5441	740972.3943	3493048.4559	16043205.9953	7.7728e+06
157	63105.4314	-39142.4169	741068.4314	3493020.5831	16043205.9953	7.7149e+06
158	63201.4684	-39170.2896	741164.4684	3492992.7104	16043205.9953	7.6575e+06
159	63297.5054	-39198.1623	741260.5054	3492964.8377	16043205.9953	7.6005e+06
160	63393.5425	-39226.0350	741356.5425	3492936.9650	16043205.9953	7.5439e+06
161	63489.5795	-39253.9078	741452.5795	3492909.0922	16043205.9953	7.4878e+06
162	63585.6165	-39281.7805	741548.6165	3492881.2195	16043205.9953	7.4321e+06
163	63681.6535	-39309.6532	741644.6535	3492853.3468	16043205.9953	7.3769e+06
164	63777.6906	-39337.5260	741740.6906	3492825.4740	16043205.9953	7.3220e+06
165	63873.7276	-39365.3987	741836.7276	3492797.6013	16043205.9953	7.2676e+06
166	63969.7646	-39393.2714	741932.7646	3492769.7286	16043205.9953	7.2136e+06
167	64065.8017	-39421.1441	742028.8017	3492741.8559	16043205.9953	7.1600e+06
168	64161.8387	-39449.0169	742124.8387	3492713.9831	16043205.9953	7.1069e+06
169	64257.8757	-39476.8896	742220.8757	3492686.1104	16043205.9953	7.0541e+06
170	64353.9128	-39504.7623	742316.9128	3492658.2377	16043205.9953	7.0018e+06
171	64449.9498	-39532.6351	742412.9498	3492630.3649	16043205.9953	6.9498e+06
172	64545.9868	-39560.5078	742508.9868	3492602.4922	16043205.9953	6.8983e+06
173	64642.0238	-39588.3805	742605.0238	3492574.6195	16043205.9953	6.8471e+06
174	64738.0609	-39616.2533	742701.0609	3492546.7467	16043205.9953	6.7964e+06
175	64834.0979	-39644.1260	742797.0979	3492518.8740	16043205.9953	6.7460e+06
176	64930.1349	-39671.9987	742893.1349	3492491.0013	16043205.9953	6.6960e+06
177	65026.1720	-39699.8714	742989.1720	3492463.1286	16043205.9953	6.6464e+06
178	65122.2090	-39727.7442	743085.2090	3492435.2558	16043205.9953	6.5972e+06
179	65218.2460	-39755.6169	743181.2460	3492407.3831	16043205.9953	6.5484e+06
180	65314.2830	-39783.4896	743277.2830	3492379.5104	16043205.9953	6.4999e+06
181	65410.3201	-39811.3624	743373.3201	3492351.6376	16043205.9953	6.4518e+06
182	65506.3571	-39839.2351	743469.3571	3492323.7649	16043205.9953	6.4041e+06
183	65602.3941	-39867.1078	743565.3941	3492295.8922	16043205.9953	6.3567e+06
184	65698.4312	-39894.9805	743661.4312	3492268.0195	16043205.9953	6.3097e+06
185	65794.4682	-39922.8533	743757.4682	3492240.1467	16043205.9953	6.2631e+06
186	65890.5052	-39950.7260	743853.5052	3492212.2740	16043205.9953	6.2168e+06
187	65986.5422	-39978.5987	743949.5422	3492184.4013	16043205.9953	6.1709e+06
188	66082.5793	-40006.4715	744045.5793	3492156.5285	16043205.9953	6.1253e+06
189	66178.6163	-40034.3442	744141.6163	3492128.6558	16043205.9953	6.0801e+06
190	66274.6533	-40062.2169	744237.6533	3492100.7831	16043205.9953	6.0352e+06
191	66370.6904	-40090.0897	744333.6904	3492072.9103	16043205.9953	5.9907e+06
192	66466.7274	-40117.9624	744429.7274	3492045.0376	16043205.9953	5.9465e+06
193	66562.7644	-40145.8351	744525.7644	3492017.1649	16043205.9953	5.9026e+06
194	66658.8014	-40173.7078	744621.8014	3491989.2922	16043205.9953	5.8591e+06
195	66754.8385	-40201.5806	744717.8385	3491961.4194	16043205.9953	5.8159e+06
196	66850.8755	-40229.4533	744813.8755	3491933.5467	16043205.9953	5.7730e+06
197	66946.9125	-40257.3260	744909.9125	3491905.6740	16043205.9953	5.7305e+06
198	67042.9496	-40285.1988	745005.9496	3491877.8012	16043205.9953	5.6883e+06
199	67138.9866	-40313.0715	745101.9866	3491849.9285	16043205.9953	5.6464e+06
200	67235.0236	-40340.9442	745198.0236	3491822.0558	16043205.9953	5.6049e+06
201	67331.0607	-40368.8169	745294.0607	3491794.1831	16043205.9953	5.5636e+06
202	67427.0977	-40396.6897	745390.0977	3491766.3103	16043205.9953	5.5227e+06
203	67523.1347	-40424.5624	745486.1347	3491738.4376	16043205.9953	5.4821e+06
204	67619.1717	-40452.4351	745582.1717	3491710.5649	16043205.9953	5.4417e+06
205	67715.2088	-40480.3079	745678.2088	3491682.6921	16043205.9953	5.4017e+06
206	67811.2458	-40508.1806	745774.2458	3491654.8194	16043205.9953	5.3620e+06
207	67907.2828	-40536.0533	745870.2828	3491626.9467	16043205.9953	5.3226e+06
208	68003.3199	-40563.9261	745966.3199	3491599.0739	16043205.9953	5.2836e+06
209	68099.3569	-40591.7988	746062.3569	3491571.2012	16043205.9953	5.2448e+06
210	68195.3939	-40619.6715	746158.3939	3491543.3285	16043205.9953	5.2062e+06
211	68291.4309	-40647.5442	746254.4309	3491515.4558	16043205.9953	5.1680e+06
212	68387.4680	-40675.4170	746350.4680	3491487.5830	16043205.9953	5.1301e+06
213	68483.5050	-40703.2897	746446.5050	3491459.7103	16043205.9953	5.0925e+06
214	68579.5420	-40731.1624	746542.5420	3491431.8376	16043205.9953	5.0551e+06
215	68675.5791	-40759.0352	746638.5791	3491403.9648	16043205.9953	5.0181e+06
216	68771.6161	-40786.9079	746734.6161	3491376.0921	16043205.9953	4.9813e+06
217	68867.6531	-40814.7806	746830.6531	3491348.2194	16043205.9953	4.9448e+06
218	68963.6901	-40842.6533	746926.6901	3491320.3467	16043205.9953	4.9086e+06
