i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
137	18882.7158	-9283.5416	696845.7158	3522879.4584	10034214.4053	3.6434e+04
138	18978.7528	-9311.4143	696941.7528	3522851.5857	10034214.4053	3.5039e+04
139	19074.7898	-9339.2871	697037.7898	3522823.7129	10034214.4053	3.3697e+04
140	19170.8268	-9367.1598	697133.8268	3522795.8402	10034214.4053	3.2407e+04
141	19266.8639	-9395.0325	697229.8639	3522767.9675	10034214.4053	3.1167e+04
142	19362.9009	-9422.9053	697325.9009	3522740.0947	10034214.4053	2.9974e+04
143	19458.9379	-9450.7780	697421.9379	3522712.2220	10034214.4053	2.8828e+04
144	19554.9750	-9478.6507	697517.9750	3522684.3493	10034214.4053	2.7725e+04
145	19651.0120	-9506.5234	697614.0120	3522656.4766	10034214.4053	2.6665e+04
146	19747.0490	-9534.3962	697710.0490	3522628.6038	10034214.4053	2.5645e+04
147	19843.0860	-9562.2689	697806.0860	3522600.7311	10034214.4053	2.4665e+04
148	19939.1231	-9590.1416	697902.1231	3522572.8584	10034214.4053	2.3722e+04
149	20035.1601	-9618.0144	697998.1601	3522544.9856	10034214.4053	2.2816e+04
150	20131.1971	-9645.8871	698094.1971	3522517.1129	10034214.4053	2.1944e+04
151	20227.2342	-9673.7598	698190.2342	3522489.2402	10034214.4053	2.1106e+04
152	20323.2712	-9701.6325	698286.2712	3522461.3675	10034214.4053	2.0300e+04
153	20419.3082	-9729.5053	698382.3082	3522433.4947	10034214.4053	1.9525e+04
154	20515.3452	-9757.3780	698478.3452	3522405.6220	10034214.4053	1.8779e+04
155	20611.3823	-9785.2507	698574.3823	3522377.7493	10034214.4053	1.8063e+04
156	20707.4193	-9813.1235	698670.4193	3522349.8765	10034214.4053	1.7373e+04
157	20803.4563	-9840.9962	698766.4563	3522322.0038	10034214.4053	1.6710e+04
158	20899.4934	-9868.8689	698862.4934	3522294.1311	10034214.4053	1.6073e+04
159	20995.5304	-9896.7417	698958.5304	3522266.2583	10034214.4053	1.5460e+04
160	21091.5674	-9924.6144	699054.5674	3522238.3856	10034214.4053	1.4870e+04
161	21187.6044	-9952.4871	699150.6044	3522210.5129	10034214.4053	1.4304e+04
162	21283.6415	-9980.3598	699246.6415	3522182.6402	10034214.4053	1.3758e+04
163	21379.6785	-10008.2326	699342.6785	3522154.7674	10034214.4053	1.3234e+04
164	21475.7155	-10036.1053	699438.7155	3522126.8947	10034214.4053	1.2730e+04
165	21571.7526	-10063.9780	699534.7526	3522099.0220	10034214.4053	1.2245e+04
166	21667.7896	-10091.8508	699630.7896	3522071.1492	10034214.4053	1.1778e+04
167	21763.8266	-10119.7235	699726.8266	3522043.2765	10034214.4053	1.1330e+04
168	21859.8637	-10147.5962	699822.8637	3522015.4038	10034214.4053	1.0898e+04
169	21955.9007	-10175.4689	699918.9007	3521987.5311	10034214.4053	1.0484e+04
170	22051.9377	-10203.3417	700014.9377	3521959.6583	10034214.4053	1.0085e+04
171	22147.9747	-10231.2144	700110.9747	3521931.7856	10034214.4053	9.7008e+03
172	22244.0118	-10259.0871	700207.0118	3521903.9129	10034214.4053	9.3317e+03
173	22340.0488	-10286.9599	700303.0488	3521876.0401	10034214.4053	8.9767e+03
174	22436.0858	-10314.8326	700399.0858	3521848.1674	10034214.4053	8.6353e+03
175	22532.1229	-10342.7053	700495.1229	3521820.2947	10034214.4053	8.3069e+03
176	22628.1599	-10370.5781	700591.1599	3521792.4219	10034214.4053	7.9910e+03
177	22724.1969	-10398.4508	700687.1969	3521764.5492	10034214.4053	7.6873e+03
178	22820.2339	-10426.3235	700783.2339	3521736.6765	10034214.4053	7.3951e+03
179	22916.2710	-10454.1962	700879.2710	3521708.8038	10034214.4053	7.1141e+03
180	23012.3080	-10482.0690	700975.3080	3521680.9310	10034214.4053	6.8438e+03
181	23108.3450	-10509.9417	701071.3450	3521653.0583	10034214.4053	6.5838e+03
182	23204.3821	-10537.8144	701167.3821	3521625.1856	10034214.4053	6.3337e+03
183	23300.4191	-10565.6872	701263.4191	3521597.3128	10034214.4053	6.0932e+03
184	23396.4561	-10593.5599	701359.4561	3521569.4401	10034214.4053	5.8619e+03
185	23492.4931	-10621.4326	701455.4931	3521541.5674	10034214.4053	5.6394e+03
186	23588.5302	-10649.3053	701551.5302	3521513.6947	10034214.4053	5.4253e+03
187	23684.5672	-10677.1781	701647.5672	3521485.8219	10034214.4053	5.2194e+03
188	23780.6042	-10705.0508	701743.6042	3521457.9492	10034214.4053	5.0214e+03
189	23876.6413	-10732.9235	701839.6413	3521430.0765	10034214.4053	4.8309e+03
190	23972.6783	-10760.7963	701935.6783	3521402.2037	10034214.4053	4.6477e+03
191	24068.7153	-10788.6690	702031.7153	3521374.3310	10034214.4053	4.4714e+03
192	24164.7524	-10816.5417	702127.7524	3521346.4583	10034214.4053	4.3019e+03
193	24260.7894	-10844.4145	702223.7894	3521318.5855	10034214.4053	4.1388e+03
194	24356.8264	-10872.2872	702319.8264	3521290.7128	10034214.4053	3.9819e+03
195	24452.8634	-10900.1599	702415.8634	3521262.8401	10034214.4053	3.8310e+03
196	24548.9005	-10928.0326	702511.9005	3521234.9674	10034214.4053	3.6858e+03
197	24644.9375	-10955.9054	702607.9375	3521207.0946	10034214.4053	3.5462e+03
198	24740.9745	-10983.7781	702703.9745	3521179.2219	10034214.4053	3.4119e+03
199	24837.0116	-11011.6508	702800.0116	3521151.3492	10034214.4053	3.2826e+03
200	24933.0486	-11039.5236	702896.0486	3521123.4764	10034214.4053	3.1583e+03
201	25029.0856	-11067.3963	702992.0856	3521095.6037	10034214.4053	3.0388e+03
202	25125.1226	-11095.2690	703088.1226	3521067.7310	10034214.4053	2.9237e+03
203	25221.1597	-11123.1418	703184.1597	3521039.8582	10034214.4053	2.8131e+03
204	25317.1967	-11151.0145	703280.1967	3521011.9855	10034214.4053	2.7066e+03
205	25413.2337	-11178.8872	703376.2337	3520984.1128	10034214.4053	2.6042e+03
206	25509.2708	-11206.7599	703472.2708	3520956.2401	10034214.4053	2.5057e+03
207	25605.3078	-11234.6327	703568.3078	3520928.3673	10034214.4053	2.4109e+03
208	25701.3448	-11262.5054	703664.3448	3520900.4946	10034214.4053	2.3197e+03
