i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
172	120114.9150	-77025.5103	798077.9150	3455137.4897	508280354.9763	2.6730e+06
173	120210.9520	-77053.3831	798173.9520	3455109.6169	508280354.9763	2.6623e+06
174	120306.9890	-77081.2558	798269.9890	3455081.7442	508280354.9763	2.6517e+06
175	120403.0261	-77109.1285	798366.0261	3455053.8715	508280354.9763	2.6411e+06
176	120499.0631	-77137.0013	798462.0631	3455025.9987	508280354.9763	2.6306e+06
177	120595.1001	-77164.8740	798558.1001	3454998.1260	508280354.9763	2.6201e+06
178	120691.1372	-77192.7467	798654.1372	3454970.2533	508280354.9763	2.6097e+06
179	120787.1742	-77220.6194	798750.1742	3454942.3806	508280354.9763	2.5993e+06
180	120883.2112	-77248.4922	798846.2112	3454914.5078	508280354.9763	2.5889e+06
181	120979.2482	-77276.3649	798942.2482	3454886.6351	508280354.9763	2.5786e+06
182	121075.2853	-77304.2376	799038.2853	3454858.7624	508280354.9763	2.5683e+06
183	121171.3223	-77332.1104	799134.3223	3454830.8896	508280354.9763	2.5581e+06
184	121267.3593	-77359.9831	799230.3593	3454803.0169	508280354.9763	2.5479e+06
185	121363.3964	-77387.8558	799326.3964	3454775.1442	508280354.9763	2.5377e+06
186	121459.4334	-77415.7285	799422.4334	3454747.2715	508280354.9763	2.5276e+06
187	121555.4704	-77443.6013	799518.4704	3454719.3987	508280354.9763	2.5176e+06
188	121651.5074	-77471.4740	799614.5074	3454691.5260	508280354.9763	2.5075e+06
189	121747.5445	-77499.3467	799710.5445	3454663.6533	508280354.9763	2.4975e+06
190	121843.5815	-77527.2195	799806.5815	3454635.7805	508280354.9763	2.4876e+06
191	121939.6185	-77555.0922	799902.6185	3454607.9078	508280354.9763	2.4777e+06
192	122035.6556	-77582.9649	799998.6556	3454580.0351	508280354.9763	2.4678e+06
193	122131.6926	-77610.8377	800094.6926	3454552.1623	508280354.9763	2.4580e+06
194	122227.7296	-77638.7104	800190.7296	3454524.2896	508280354.9763	2.4482e+06
195	122323.7667	-77666.5831	800286.7667	3454496.4169	508280354.9763	2.4385e+06
196	122419.8037	-77694.4558	800382.8037	3454468.5442	508280354.9763	2.4288e+06
197	122515.8407	-77722.3286	800478.8407	3454440.6714	508280354.9763	2.4191e+06
198	122611.8777	-77750.2013	800574.8777	3454412.7987	508280354.9763	2.4095e+06
199	122707.9148	-77778.0740	800670.9148	3454384.9260	508280354.9763	2.3999e+06
200	122803.9518	-77805.9468	800766.9518	3454357.0532	508280354.9763	2.3904e+06
201	122899.9888	-77833.8195	800862.9888	3454329.1805	508280354.9763	2.3809e+06
202	122996.0259	-77861.6922	800959.0259	3454301.3078	508280354.9763	2.3714e+06
203	123092.0629	-77889.5649	801055.0629	3454273.4351	508280354.9763	2.3620e+06
204	123188.0999	-77917.4377	801151.0999	3454245.5623	508280354.9763	2.3526e+06
205	123284.1369	-77945.3104	801247.1369	3454217.6896	508280354.9763	2.3433e+06
206	123380.1740	-77973.1831	801343.1740	3454189.8169	508280354.9763	2.3339e+06
207	123476.2110	-78001.0559	801439.2110	3454161.9441	508280354.9763	2.3247e+06
208	123572.2480	-78028.9286	801535.2480	3454134.0714	508280354.9763	2.3154e+06
209	123668.2851	-78056.8013	801631.2851	3454106.1987	508280354.9763	2.3062e+06
210	123764.3221	-78084.6741	801727.3221	3454078.3259	508280354.9763	2.2971e+06
211	123860.3591	-78112.5468	801823.3591	3454050.4532	508280354.9763	2.2880e+06
212	123956.3961	-78140.4195	801919.3961	3454022.5805	508280354.9763	2.2789e+06
213	124052.4332	-78168.2922	802015.4332	3453994.7078	508280354.9763	2.2698e+06
