s	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
774	1934.4048	2772.1334	3893.0875	5349.6659	7180.4655	9395.0708	11955.4926	14757.2134	17615.2632	20262.9993
775	1933.2494	2770.2315	3890.0194	5344.8233	7172.9995	9383.8504	11939.0927	14733.9625	17583.3860	20220.8838
776	1932.0946	2768.3308	3886.9537	5339.9850	7165.5413	9372.6435	11922.7152	14710.7482	17551.5665	20178.8558
777	1930.9405	2766.4314	3883.8904	5335.1511	7158.0908	9361.4499	11906.3603	14687.5705	17519.8046	20136.9152
778	1929.7871	2764.5333	3880.8295	5330.3216	7150.6481	9350.2697	11890.0278	14664.4293	17488.1002	20095.0617
779	1928.6344	2762.6366	3877.7711	5325.4964	7143.2132	9339.1029	11873.7177	14641.3246	17456.4531	20053.2953
780	1927.4824	2760.7411	3874.7150	5320.6757	7135.7859	9327.9493	11857.4299	14618.2562	17424.8633	20011.6156
781	1926.3311	2758.8469	3871.6614	5315.8592	7128.3664	9316.8092	11841.1646	14595.2243	17393.3307	19970.0226
782	1925.1805	2756.9541	3868.6102	5311.0472	7120.9546	9305.6823	11824.9215	14572.2286	17361.8551	19928.5160
783	1924.0305	2755.0625	3865.5614	5306.2395	7113.5505	9294.5687	11808.7007	14549.2691	17330.4365	19887.0957
784	1922.8813	2753.1722	3862.5149	5301.4361	7106.1541	9283.4683	11792.5021	14526.3458	17299.0748	19845.7615
785	1921.7327	2751.2832	3859.4709	5296.6371	7098.7654	9272.3813	11776.3258	14503.4587	17267.7698	19804.5132
786	1920.5848	2749.3956	3856.4293	5291.8425	7091.3843	9261.3074	11760.1717	14480.6076	17236.5214	19763.3507
787	1919.4376	2747.5092	3853.3901	5287.0522	7084.0110	9250.2468	11744.0397	14457.7925	17205.3296	19722.2736
788	1918.2911	2745.6241	3850.3533	5282.2662	7076.6453	9239.1994	11727.9298	14435.0133	17174.1943	19681.2820
789	1917.1452	2743.7403	3847.3188	5277.4845	7069.2873	9228.1652	11711.8421	14412.2700	17143.1153	19640.3756
790	1916.0001	2741.8578	3844.2868	5272.7072	7061.9369	9217.1442	11695.7764	14389.5626	17112.0925	19599.5541
791	1914.8556	2739.9766	3841.2571	5267.9342	7054.5941	9206.1364	11679.7327	14366.8909	17081.1259	19558.8176
792	1913.7119	2738.0966	3838.2299	5263.1655	7047.2590	9195.1416	11663.7111	14344.2550	17050.2153	19518.1657
793	1912.5688	2736.2180	3835.2050	5258.4012	7039.9316	9184.1601	11647.7115	14321.6547	17019.3607	19477.5983
794	1911.4263	2734.3407	3832.1825	5253.6411	7032.6117	9173.1916	11631.7337	14299.0901	16988.5618	19437.1152
795	1910.2846	2732.4646	3829.1624	5248.8854	7025.2995	9162.2362	11615.7779	14276.5610	16957.8188	19396.7162
796	1909.1436	2730.5898	3826.1447	5244.1340	7017.9948	9151.2939	11599.8440	14254.0673	16927.1313	19356.4012
797	1908.0032	2728.7164	3823.1293	5239.3868	7010.6978	9140.3647	11583.9320	14231.6092	16896.4994	19316.1700
798	1906.8635	2726.8442	3820.1163	5234.6440	7003.4083	9129.4485	11568.0418	14209.1864	16865.9229	19276.0224
799	1905.7245	2724.9733	3817.1057	5229.9055	6996.1264	9118.5454	11552.1733	14186.7989	16835.4018	19235.9583
800	1904.5862	2723.1036	3814.0975	5225.1712	6988.8521	9107.6553	11536.3267	14164.4467	16804.9359	19195.9775
801	1903.4485	2721.2353	3811.0916	5220.4412	6981.5854	9096.7782	11520.5018	14142.1297	16774.5251	19156.0797
802	1902.3116	2719.3682	3808.0881	5215.7156	6974.3262	9085.9141	11504.6985	14119.8479	16744.1693	19116.2649
803	1901.1753	2717.5024	3805.0870	5210.9942	6967.0745	9075.0630	11488.9170	14097.6012	16713.8685	19076.5328
804	1900.0397	2715.6379	3802.0883	5206.2770	6959.8304	9064.2248	11473.1571	14075.3896	16683.6225	19036.8833
805	1898.9047	2713.7747	3799.0919	5201.5642	6952.5939	9053.3996	11457.4189	14053.2129	16653.4313	18997.3162
806	1897.7705	2711.9128	3796.0978	5196.8556	6945.3648	9042.5873	11441.7022	14031.0712	16623.2946	18957.8313
807	1896.6369	2710.0521	3793.1062	5192.1512	6938.1433	9031.7879	11426.0071	14008.9644	16593.2126	18918.4285
808	1895.5040	2708.1927	3790.1168	5187.4512	6930.9293	9021.0014	11410.3335	13986.8924	16563.1849	18879.1076
809	1894.3718	2706.3346	3787.1299	5182.7553	6923.7227	9010.2278	11394.6814	13964.8551	16533.2116	18839.8685
810	1893.2403	2704.4778	3784.1453	5178.0638	6916.5237	8999.4670	11379.0508	13942.8526	16503.2925	18800.7109
811	1892.1094	2702.6222	3781.1630	5173.3764	6909.3322	8988.7191	11363.4416	13920.8848	16473.4276	18761.6346
812	1890.9792	2700.7679	3778.1831	5168.6934	6902.1481	8977.9841	11347.8538	13898.9516	16443.6168	18722.6396
813	1889.8497	2698.9149	3775.2056	5164.0145	6894.9715	8967.2618	11332.2874	13877.0529	16413.8598	18683.7257
814	1888.7208	2697.0631	3772.2304	5159.3399	6887.8024	8956.5524	11316.7424	13855.1887	16384.1567	18644.8926
815	1887.5927	2695.2126	3769.2575	5154.6696	6880.6407	8945.8558	11301.2187	13833.3590	16354.5074	18606.1402
816	1886.4652	2693.3634	3766.2870	5150.0034	6873.4865	8935.1719	11285.7163	13811.5637	16324.9117	18567.4684
817	1885.3384	2691.5155	3763.3188	5145.3415	6866.3397	8924.5008	11270.2351	13789.8027	16295.3696	18528.8770
818	1884.2122	2689.6688	3760.3529	5140.6838	6859.2003	8913.8424	11254.7752	13768.0760	16265.8810	18490.3658
819	1883.0867	2687.8234	3757.3894	5136.0303	6852.0684	8903.1968	11239.3365	13746.3836	16236.4457	18451.9346
820	1881.9619	2685.9793	3754.4283	5131.3810	6844.9439	8892.5639	11223.9190	13724.7253	16207.0636	18413.5833
821	1880.8378	2684.1364	3751.4694	5126.7360	6837.8267	8881.9436	11208.5226	13703.1011	16177.7348	18375.3117
822	1879.7143	2682.2948	3748.5129	5122.0951	6830.7170	8871.3361	11193.1474	13681.5110	16148.4590	18337.1196
823	1878.5915	2680.4545	3745.5588	5117.4585	6823.6147	8860.7412	11177.7932	13659.9549	16119.2362	18299.0069
824	1877.4694	2678.6154	3742.6069	5112.8260	6816.5198	8850.1590	11162.4601	13638.4328	16090.0663	18260.9735
825	1876.3480	2676.7775	3739.6574	5108.1977	6809.4322	8839.5894	11147.1480	13616.9446	16060.9492	18223.0191
826	1875.2272	2674.9410	3736.7102	5103.5736	6802.3520	8829.0325	11131.8570	13595.4903	16031.8847	18185.1435
827	1874.1071	2673.1057	3733.7653	5098.9538	6795.2792	8818.4881	11116.5869	13574.0697	16002.8729	18147.3467
828	1872.9877	2671.2716	3730.8228	5094.3380	6788.2137	8807.9564	11101.3377	13552.6829	15973.9135	18109.6285
829	1871.8689	2669.4389	3727.8826	5089.7265	6781.1556	8797.4372	11086.1095	13531.3298	15945.0066	18071.9886
830	1870.7508	2667.6073	3724.9446	5085.1192	6774.1048	8786.9306	11070.9022	13510.0104	15916.1520	18034.4270
831	1869.6333	2665.7771	3722.0090	5080.5160	6767.0613	8776.4365	11055.7157	13488.7245	15887.3495	17996.9435
832	1868.5166	2663.9481	3719.0758	5075.9170	6760.0252	8765.9550	11040.5501	13467.4722	15858.5993	17959.5379
833	1867.4005	2662.1203	3716.1448	5071.3221	6752.9964	8755.4860	11025.4052	13446.2533	15829.9010	17922.2100
834	1866.2850	2660.2938	3713.2161	5066.7314	6745.9748	8745.0295	11010.2812	13425.0679	15801.2547	17884.9597
835	1865.1703	2658.4685	3710.2898	5062.1449	6738.9606	8734.5854	10995.1778	13403.9159	15772.6602	17847.7868
836	1864.0562	2656.6445	3707.3657	5057.5625	6731.9537	8724.1539	10980.0952	13382.7972	15744.1174	17810.6911
837	1862.9427	2654.8218	3704.4440	5052.9842	6724.9541	8713.7348	10965.0333	13361.7117	15715.6263	17773.6726
838	1861.8300	2653.0003	3701.5245	5048.4101	6717.9617	8703.3282	10949.9921	13340.6595	15687.1868	17736.7310
839	1860.7179	2651.1800	3698.6074	5043.8402	6710.9766	8692.9339	10934.9715	13319.6405	15658.7987	17699.8662
840	1859.6064	2649.3611	3695.6926	5039.2744	6703.9988	8682.5521	10919.9714	13298.6545	15630.4620	17663.0781
841	1858.4956	2647.5433	3692.7800	5034.7127	6697.0283	8672.1827	10904.9920	13277.7017	15602.1766	17626.3663
842	1857.3855	2645.7268	3689.8698	5030.1551	6690.0649	8661.8257	10890.0331	13256.7818	15573.9424	17589.7309
843	1856.2761	2643.9115	3686.9618	5025.6017	6683.1089	8651.4810	10875.0947	13235.8949	15545.7593	17553.1717
844	1855.1673	2642.0975	3684.0561	5021.0524	6676.1600	8641.1487	10860.1769	13215.0409	15517.6271	17516.6884
845	1854.0592	2640.2848	3681.1528	5016.5072	6669.2184	8630.8288	10845.2795	13194.2198	15489.5459	17480.2809
846	1852.9517	2638.4732	3678.2517	5011.9661	6662.2840	8620.5211	10830.4025	13173.4315	15461.5155	17443.9491
847	1851.8449	2636.6630	3675.3529	5007.4291	6655.3568	8610.2258	10815.5459	13152.6759	15433.5358	17407.6929
848	1850.7387	2634.8539	3672.4564	5002.8963	6648.4368	8599.9428	10800.7097	13131.9531	15405.6067	17371.5120
849	1849.6333	2633.0461	3669.5621	4998.3675	6641.5240	8589.6720	10785.8939	13111.2629	15377.7282	17335.4063
850	1848.5284	2631.2396	3666.6702	4993.8429	6634.6184	8579.4136	10771.0984	13090.6052	15349.9002	17299.3756
851	1847.4243	2629.4343	3663.7805	4989.3223	6627.7200	8569.1673	10756.3231	13069.9802	15322.1225	17263.4198
852	1846.3208	2627.6302	3660.8931	4984.8058	6620.8287	8558.9333	10741.5682	13049.3876	15294.3950	17227.5388
853	1845.2179	2625.8273	3658.0080	4980.2935	6613.9446	8548.7116	10726.8335	13028.8275	15266.7178	17191.7323
854	1844.1158	2624.0257	3655.1251	4975.7852	6607.0677	8538.5020	10712.1190	13008.2997	15239.0906	17156.0002
855	1843.0142	2622.2254	3652.2446	4971.2810	6600.1979	8528.3046	10697.4247	12987.8044	15211.5134	17120.3424
856	1841.9134	2620.4262	3649.3663	4966.7808	6593.3353	8518.1194	10682.7505	12967.3413	15183.9862	17084.7588
857	1840.8132	2618.6283	3646.4902	4962.2848	6586.4798	8507.9464	10668.0965	12946.9104	15156.5087	17049.2491
858	1839.7136	2616.8317	3643.6165	4957.7928	6579.6314	8497.7855	10653.4625	12926.5117	15129.0810	17013.8132
859	1838.6147	2615.0362	3640.7450	4953.3048	6572.7901	8487.6368	10638.8487	12906.1452	15101.7029	16978.4509
860	1837.5165	2613.2420	3637.8757	4948.8210	6565.9560	8477.5002	10624.2549	12885.8108	15074.3743	16943.1621
