s	phi-2.0	phi-2.1	phi-2.2	phi-2.3	phi-2.4	phi-2.5	phi-2.6	phi-2.7	phi-2.8	phi-2.9
177	20.5320	11.2835	6.0697	3.1946	1.6444	0.8275	0.4069	0.1954	0.0916	0.0419
178	19.4985	10.6960	5.7428	3.0167	1.5497	0.7782	0.3819	0.1830	0.0856	0.0391
179	18.5169	10.1391	5.4335	2.8486	1.4604	0.7319	0.3583	0.1713	0.0800	0.0364
180	17.5848	9.6112	5.1409	2.6900	1.3763	0.6883	0.3363	0.1604	0.0747	0.0339
181	16.6996	9.1108	4.8641	2.5401	1.2970	0.6473	0.3155	0.1502	0.0698	0.0316
182	15.8590	8.6364	4.6021	2.3987	1.2223	0.6087	0.2961	0.1406	0.0652	0.0295
183	15.0606	8.1867	4.3543	2.2651	1.1519	0.5724	0.2779	0.1317	0.0609	0.0275
184	14.3025	7.7605	4.1198	2.1389	1.0855	0.5383	0.2607	0.1233	0.0569	0.0256
185	13.5825	7.3564	3.8979	2.0198	1.0230	0.5063	0.2447	0.1154	0.0531	0.0238
186	12.8988	6.9734	3.6880	1.9073	0.9641	0.4761	0.2296	0.1081	0.0496	0.0222
187	12.2495	6.6103	3.4894	1.8010	0.9085	0.4477	0.2155	0.1012	0.0464	0.0207
188	11.6328	6.2661	3.3015	1.7007	0.8562	0.4211	0.2022	0.0947	0.0433	0.0193
189	11.0472	5.9398	3.1237	1.6060	0.8069	0.3960	0.1897	0.0887	0.0404	0.0180
190	10.4911	5.6306	2.9555	1.5165	0.7604	0.3724	0.1780	0.0831	0.0378	0.0168
191	9.9630	5.3374	2.7963	1.4321	0.7166	0.3502	0.1671	0.0778	0.0353	0.0156
192	9.4615	5.0595	2.6457	1.3523	0.6753	0.3293	0.1568	0.0728	0.0330	0.0145
193	8.9852	4.7961	2.5032	1.2770	0.6364	0.3097	0.1471	0.0682	0.0308	0.0136
194	8.5329	4.5463	2.3684	1.2059	0.5998	0.2913	0.1380	0.0638	0.0288	0.0126
195	8.1034	4.3096	2.2409	1.1387	0.5652	0.2739	0.1295	0.0598	0.0269	0.0118
196	7.6954	4.0852	2.1202	1.0753	0.5326	0.2576	0.1216	0.0559	0.0251	0.0110
197	7.3081	3.8725	2.0060	1.0154	0.5020	0.2423	0.1141	0.0524	0.0234	0.0102
198	6.9402	3.6709	1.8980	0.9588	0.4731	0.2278	0.1070	0.0490	0.0219	0.0095
199	6.5908	3.4798	1.7958	0.9054	0.4458	0.2142	0.1005	0.0459	0.0205	0.0089
200	6.2590	3.2986	1.6991	0.8550	0.4201	0.2015	0.0943	0.0430	0.0191	0.0083
201	5.9440	3.1268	1.6076	0.8074	0.3959	0.1895	0.0885	0.0403	0.0179	0.0077
202	5.6448	2.9640	1.5210	0.7624	0.3731	0.1782	0.0830	0.0377	0.0167	0.0072
203	5.3606	2.8097	1.4391	0.7199	0.3516	0.1676	0.0779	0.0353	0.0156	0.0067
204	5.0908	2.6634	1.3616	0.6798	0.3314	0.1576	0.0731	0.0330	0.0146	0.0062
205	4.8345	2.5247	1.2883	0.6420	0.3123	0.1482	0.0686	0.0309	0.0136	0.0058
206	4.5911	2.3933	1.2189	0.6062	0.2943	0.1394	0.0644	0.0290	0.0127	0.0054
207	4.3600	2.2687	1.1532	0.5724	0.2773	0.1311	0.0604	0.0271	0.0119	0.0050
208	4.1405	2.1505	1.0911	0.5406	0.2614	0.1233	0.0567	0.0254	0.0111	0.0047
209	3.9321	2.0386	1.0324	0.5105	0.2463	0.1159	0.0532	0.0238	0.0103	0.0044
210	3.7342	1.9324	0.9768	0.4820	0.2321	0.1090	0.0499	0.0223	0.0097	0.0041
211	3.5462	1.8318	0.9242	0.4552	0.2187	0.1025	0.0468	0.0208	0.0090	0.0038
212	3.3677	1.7364	0.8744	0.4298	0.2061	0.0964	0.0439	0.0195	0.0084	0.0035
213	3.1981	1.6460	0.8273	0.4059	0.1943	0.0907	0.0412	0.0183	0.0079	0.0033
214	3.0372	1.5603	0.7828	0.3833	0.1831	0.0853	0.0387	0.0171	0.0074	0.0031
215	2.8843	1.4791	0.7406	0.3619	0.1725	0.0802	0.0363	0.0160	0.0069	0.0029
216	2.7391	1.4021	0.7007	0.3418	0.1626	0.0754	0.0341	0.0150	0.0064	0.0027
217	2.6012	1.3291	0.6630	0.3227	0.1532	0.0709	0.0320	0.0140	0.0060	0.0025
218	2.4703	1.2599	0.6273	0.3048	0.1444	0.0667	0.0300	0.0131	0.0056	0.0023
219	2.3459	1.1943	0.5935	0.2878	0.1361	0.0627	0.0282	0.0123	0.0052	0.0022
220	2.2278	1.1321	0.5615	0.2718	0.1282	0.0590	0.0264	0.0115	0.0049	0.0020
221	2.1157	1.0731	0.5313	0.2566	0.1209	0.0555	0.0248	0.0108	0.0046	0.0019
222	2.0092	1.0173	0.5027	0.2423	0.1139	0.0522	0.0233	0.0101	0.0043	0.0018
223	1.9080	0.9643	0.4756	0.2288	0.1073	0.0491	0.0218	0.0095	0.0040	0.0016
224	1.8120	0.9141	0.4500	0.2161	0.1011	0.0461	0.0205	0.0089	0.0037	0.0015
225	1.7208	0.8665	0.4258	0.2040	0.0953	0.0434	0.0192	0.0083	0.0035	0.0014
226	1.6341	0.8214	0.4028	0.1927	0.0898	0.0408	0.0180	0.0078	0.0032	0.0013
227	1.5519	0.7786	0.3811	0.1819	0.0847	0.0384	0.0169	0.0073	0.0030	0.0012
228	1.4738	0.7381	0.3606	0.1718	0.0798	0.0361	0.0159	0.0068	0.0028	0.0011
229	1.3996	0.6996	0.3412	0.1622	0.0752	0.0339	0.0149	0.0064	0.0026	0.0011
230	1.3291	0.6632	0.3228	0.1532	0.0709	0.0319	0.0140	0.0060	0.0025	0.0010
231	1.2622	0.6287	0.3054	0.1447	0.0668	0.0300	0.0131	0.0056	0.0023	0.0009
232	1.1987	0.5959	0.2890	0.1366	0.0629	0.0282	0.0123	0.0052	0.0022	0.0009
233	1.1383	0.5649	0.2734	0.1290	0.0593	0.0265	0.0116	0.0049	0.0020	0.0008
234	1.0810	0.5355	0.2587	0.1218	0.0559	0.0250	0.0108	0.0046	0.0019	0.0008
235	1.0266	0.5076	0.2448	0.1150	0.0527	0.0235	0.0102	0.0043	0.0018	0.0007
236	0.9749	0.4812	0.2316	0.1086	0.0496	0.0221	0.0096	0.0040	0.0016	0.0007
237	0.9259	0.4561	0.2191	0.1026	0.0468	0.0208	0.0090	0.0038	0.0015	0.0006
238	0.8792	0.4324	0.2073	0.0969	0.0441	0.0195	0.0084	0.0035	0.0014	0.0006
239	0.8350	0.4099	0.1962	0.0915	0.0415	0.0184	0.0079	0.0033	0.0013	0.0005
240	0.7930	0.3885	0.1856	0.0864	0.0391	0.0173	0.0074	0.0031	0.0013	0.0005
241	0.7530	0.3683	0.1756	0.0816	0.0369	0.0162	0.0070	0.0029	0.0012	0.0005
242	0.7151	0.3491	0.1661	0.0770	0.0348	0.0153	0.0065	0.0027	0.0011	0.0004
243	0.6791	0.3309	0.1572	0.0727	0.0328	0.0144	0.0061	0.0025	0.0010	0.0004
