z	h(m)	phi2.0	phi1.9	phi1.8	phi1.7	phi1.6	phi1.5	phi1.4	phi1.3	phi1.2	phi1.1
20	2000.0	41373.3658	38602.7153	36017.6069	33605.6155	31355.1480	29255.3875	27296.2417	25468.2941	23762.7586	22171.4378
19	1900.0	42353.5637	39517.2723	36870.9188	34401.7836	32097.9991	29948.4921	27942.9312	26071.6767	24325.7345	22696.7128
18	1800.0	43243.7790	40347.8724	37645.8961	35124.8631	32772.6561	30577.9693	28530.2542	26619.6684	24837.0289	23173.7674
17	1700.0	44046.7441	41097.0655	38344.9179	35777.0735	33381.1899	31145.7515	29060.0137	27113.9515	25298.2113	23604.0657
16	1600.0	44765.5028	41767.6910	38970.6337	36360.8870	33925.9071	31653.9906	29534.2176	27556.3994	25711.0297	23989.2390
15	1500.0	45411.9702	42370.8664	39533.4162	36885.9816	34415.8378	32111.1121	29960.7269	27954.3467	26082.3277	24335.6723
14	1400.0	46014.5446	42933.0882	40057.9878	37375.4242	34872.5038	32537.1966	30358.2778	28325.2748	26428.4159	24658.5839
13	1300.0	46590.6450	43470.6089	40559.5122	37843.3630	35309.1062	32944.5610	30738.3623	28679.9061	26759.2986	24967.3085
12	1200.0	47138.8853	43982.1352	41036.7832	38288.6726	35724.5947	33332.2255	31100.0660	29017.3877	27074.1800	25261.1032
11	1100.0	47657.8720	44466.3668	41488.5873	38710.2207	36117.9130	33699.2044	31442.4695	29336.8614	27372.2596	25539.2212
10	1000.0	48110.6362	44888.8108	41882.7414	39077.9795	36461.0441	34019.3571	31741.1825	29615.5705	27632.3043	25781.8516
9	900.0	48444.7825	45200.5803	42173.6327	39349.3907	36714.2797	34255.6342	31961.6369	29821.2617	27824.2210	25960.9161
8	800.0	48683.9207	45423.7041	42381.8145	39543.6312	36895.5125	34424.7304	32119.4092	29968.4685	27961.5698	26089.0671
7	700.0	48895.8461	45621.4375	42566.3063	39715.7682	37056.1220	34574.5843	32259.2279	30098.9239	28083.2890	26202.6351
6	600.0	49108.6578	45819.9979	42751.5697	39888.6250	37217.4031	34725.0650	32399.6312	30229.9249	28205.5172	26316.6781
5	500.0	49322.4179	46019.4431	42937.6587	40062.2521	37379.4029	34876.2161	32540.6603	30361.5096	28328.2901	26431.2293
4	400.0	49537.1732	46219.8169	43124.6140	40236.6877	37542.1570	35028.0711	32682.3460	30493.7070	28451.6347	26546.3138
3	300.0	49752.9267	46421.1220	43312.4383	40411.9339	37705.6676	35180.6318	32824.6902	30626.5189	28575.5525	26661.9332
2	200.0	49952.1070	46606.9638	43485.8349	40573.7186	37856.6180	35321.4736	32956.1002	30749.1287	28689.9515	26768.6713
1	100.0	50088.9154	46734.6106	43604.9335	40684.8416	37960.2994	35418.2117	33046.3601	30833.3442	28768.5274	26841.9851
0	0.0	50134.7011	46777.3302	43644.7923	40722.0311	37994.9985	35450.5872	33076.5674	30861.5286	28794.8244	26866.5211
