i	x	y	z	R
285	1430.9703	-1045.7705	3392.5809	1814.6843
286	1438.8675	-1049.3993	3397.5271	1819.7912
287	1446.7745	-1053.0259	3402.4595	1824.8861
288	1454.6910	-1056.6501	3407.3780	1829.9689
289	1462.6172	-1060.2721	3412.2828	1835.0396
290	1470.5530	-1063.8916	3417.1739	1840.0982
291	1478.4982	-1067.5089	3422.0513	1845.1447
292	1486.4530	-1071.1237	3426.9149	1850.1791
293	1494.4171	-1074.7362	3431.7649	1855.2014
294	1502.3906	-1078.3463	3436.6013	1860.2116
295	1510.3735	-1081.9540	3441.4240	1865.2096
296	1518.3656	-1085.5592	3446.2332	1870.1955
297	1526.3670	-1089.1620	3451.0288	1875.1693
298	1534.3775	-1092.7624	3455.8109	1880.1309
299	1542.3972	-1096.3603	3460.5794	1885.0804
300	1550.4261	-1099.9558	3465.3345	1890.0178
301	1558.4639	-1103.5487	3470.0761	1894.9430
302	1566.5108	-1107.1392	3474.8044	1899.8560
303	1574.5667	-1110.7271	3479.5192	1904.7569
304	1582.6315	-1114.3126	3484.2206	1909.6457
305	1590.7052	-1117.8955	3488.9087	1914.5223
306	1598.7878	-1121.4758	3493.5834	1919.3867
307	1606.8791	-1125.0537	3498.2449	1924.2390
308	1614.9792	-1128.6289	3502.8931	1929.0791
309	1623.0881	-1132.2016	3507.5281	1933.9071
310	1631.2056	-1135.7717	3512.1498	1938.7229
311	1639.3317	-1139.3392	3516.7583	1943.5266
312	1647.4665	-1142.9041	3521.3537	1948.3181
313	1655.6098	-1146.4664	3525.9360	1953.0974
314	1663.7616	-1150.0261	3530.5051	1957.8646
315	1671.9218	-1153.5831	3535.0611	1962.6197
316	1680.0905	-1157.1375	3539.6041	1967.3626
317	1688.2676	-1160.6893	3544.1340	1972.0933
318	1696.4531	-1164.2384	3548.6509	1976.8119
319	1704.6468	-1167.7848	3553.1548	1981.5184
320	1712.8488	-1171.3286	3557.6458	1986.2127
321	1721.0591	-1174.8697	3562.1238	1990.8949
