z	h(m)	phi5.0	phi4.9	phi4.8	phi4.7	phi4.6	phi4.5	phi4.4	phi4.3	phi4.2	phi4.1
24	2400.0	1265219.0236	1101437.1336	958856.7171	834733.2552	726677.5055	632609.5118	550718.5668	479428.3586	417366.6276	363338.7528
23	2300.0	1306648.4813	1137503.5714	990254.3748	862066.5038	750472.4805	653324.2406	568751.7857	495127.1874	431033.2519	375236.2402
22	2200.0	1346005.5284	1171765.8709	1020081.4390	888032.4713	773077.1681	673002.7642	585882.9355	510040.7195	444016.2357	386538.5841
21	2100.0	1383285.6580	1204220.1088	1048334.4940	912628.1843	794488.9799	691642.8290	602110.0544	524167.2470	456314.0921	397244.4900
20	2000.0	1418417.1719	1234803.8680	1074959.2029	935806.3396	814666.7360	709208.5860	617401.9340	537479.6014	467903.1698	407333.3680
19	1900.0	1450868.7098	1263054.5726	1099552.8696	957216.3700	833305.2501	725434.3549	631527.2863	549776.4348	478608.1850	416652.6251
18	1800.0	1480233.8751	1288618.4338	1121807.5034	976590.1540	850171.1087	740116.9376	644309.2169	560903.7517	488295.0770	425085.5543
17	1700.0	1506624.5902	1311592.8857	1141807.9255	994001.5327	865328.5942	753312.2951	655796.4429	570903.9627	497000.7663	432664.2971
16	1600.0	1530161.8374	1332083.2494	1159645.8232	1009530.3246	878847.1927	765080.9187	666041.6247	579822.9116	504765.1623	439423.5964
15	1500.0	1551254.4912	1350445.4712	1175631.0656	1023446.2864	890961.7411	775627.2456	675222.7356	587815.5328	511723.1432	445480.8706
14	1400.0	1570837.4857	1367493.4581	1190472.2002	1036366.2445	902209.2179	785418.7429	683746.7290	595236.1001	518183.1222	451104.6090
13	1300.0	1589481.0150	1383723.5930	1204601.3533	1048666.3867	912917.1136	794740.5075	691861.7965	602300.6767	524333.1933	456458.5568
12	1200.0	1607148.0071	1399103.6029	1217990.4296	1060322.2546	923064.1360	803574.0036	699551.8014	608995.2148	530161.1273	461532.0680
11	1100.0	1623801.6587	1413601.4486	1230611.5374	1071309.5671	932629.1471	811900.8293	706800.7243	615305.7687	535654.7835	466314.5735
10	1000.0	1638275.3330	1426201.5140	1241580.5314	1080858.6310	940942.0900	819137.6665	713100.7570	620790.2657	540429.3155	470471.0450
9	900.0	1648922.1451	1435470.1023	1249649.3061	1087882.9074	947057.0778	824461.0726	717735.0511	624824.6531	543941.4537	473528.5389
8	800.0	1656518.7079	1442083.2943	1255406.4242	1092894.7697	951420.1574	828259.3540	721041.6471	627703.2121	546447.3849	475710.0787
7	700.0	1663232.0845	1447927.6281	1260494.2122	1097323.9465	955275.9797	831616.0423	723963.8140	630247.1061	548661.9732	477637.9899
6	600.0	1669955.8367	1453780.9943	1265589.8635	1101759.9686	959137.7612	834977.9183	726890.4971	632794.9317	550879.9843	479568.8806
5	500.0	1676692.2767	1459645.4060	1270695.1304	1106204.3615	963006.8300	838346.1384	729822.7030	635347.5652	553102.1808	481503.4150
4	400.0	1683442.5846	1465521.8903	1275810.9072	1110657.9039	966883.8639	841721.2923	732760.9452	637905.4536	555328.9519	483441.9319
3	300.0	1690206.7628	1471410.4494	1280937.1956	1115120.5972	970768.8640	845103.3814	735705.2247	640468.5978	557560.2986	485384.4320
2	200.0	1696437.4280	1476834.5586	1285659.1569	1119231.3032	974347.4415	848218.7140	738417.2793	642829.5784	559615.6516	487173.7207
1	100.0	1700708.4123	1480552.6664	1288895.9577	1122049.1020	976800.4778	850354.2062	740276.3332	644447.9788	561024.5510	488400.2389
0	0.0	1702134.7321	1481794.3498	1289976.9060	1122990.1221	977619.6834	851067.3661	740897.1749	644988.4530	561495.0611	488809.8417
