i	x	y	z	R
240	21509.6382	-7077.8660	4449.4779	2997.8611
241	21605.6753	-7105.7387	4449.4779	2997.8611
242	21701.7123	-7133.6115	4449.4779	2997.8611
243	21797.7493	-7161.4842	4449.4779	2997.8611
244	21893.7863	-7189.3569	4449.4779	2997.8611
245	21989.8234	-7217.2296	4449.4779	2997.8611
246	22085.8604	-7245.1024	4449.4779	2997.8611
247	22181.8974	-7272.9751	4449.4779	2997.8611
248	22277.9345	-7300.8478	4449.4779	2997.8611
249	22373.9715	-7328.7206	4449.4779	2997.8611
250	22470.0085	-7356.5933	4449.4779	2997.8611
251	22566.0455	-7384.4660	4449.4779	2997.8611
252	22662.0826	-7412.3387	4449.4779	2997.8611
253	22758.1196	-7440.2115	4449.4779	2997.8611
254	22854.1566	-7468.0842	4449.4779	2997.8611
255	22950.1937	-7495.9569	4449.4779	2997.8611
256	23046.2307	-7523.8297	4449.4779	2997.8611
257	23142.2677	-7551.7024	4449.4779	2997.8611
258	23238.3047	-7579.5751	4449.4779	2997.8611
259	23334.3418	-7607.4479	4449.4779	2997.8611
260	23430.3788	-7635.3206	4449.4779	2997.8611
261	23526.4158	-7663.1933	4449.4779	2997.8611
262	23622.4529	-7691.0660	4449.4779	2997.8611
263	23718.4899	-7718.9388	4449.4779	2997.8611
264	23814.5269	-7746.8115	4449.4779	2997.8611
265	23910.5640	-7774.6842	4449.4779	2997.8611
266	24006.6010	-7802.5570	4449.4779	2997.8611
267	24102.6380	-7830.4297	4449.4779	2997.8611
268	24198.6750	-7858.3024	4449.4779	2997.8611
269	24294.7121	-7886.1751	4449.4779	2997.8611
270	24390.7491	-7914.0479	4449.4779	2997.8611
271	24486.7861	-7941.9206	4449.4779	2997.8611
272	24582.8232	-7969.7933	4449.4779	2997.8611
273	24678.8602	-7997.6661	4449.4779	2997.8611
274	24774.8972	-8025.5388	4449.4779	2997.8611
275	24870.9342	-8053.4115	4449.4779	2997.8611
276	24966.9713	-8081.2843	4449.4779	2997.8611
277	25063.0083	-8109.1570	4449.4779	2997.8611
278	25159.0453	-8137.0297	4449.4779	2997.8611
279	25255.0824	-8164.9024	4449.4779	2997.8611
280	25351.1194	-8192.7752	4449.4779	2997.8611
281	25447.1564	-8220.6479	4449.4779	2997.8611
282	25543.1934	-8248.5206	4449.4779	2997.8611
283	25639.2305	-8276.3934	4449.4779	2997.8611
284	25735.2675	-8304.2661	4449.4779	2997.8611
285	25831.3045	-8332.1388	4449.4779	2997.8611
286	25927.3416	-8360.0115	4449.4779	2997.8611
287	26023.3786	-8387.8843	4449.4779	2997.8611
288	26119.4156	-8415.7570	4449.4779	2997.8611
289	26215.4527	-8443.6297	4449.4779	2997.8611
290	26311.4897	-8471.5025	4449.4779	2997.8611
291	26407.5267	-8499.3752	4449.4779	2997.8611
292	26503.5637	-8527.2479	4449.4779	2997.8611
293	26599.6008	-8555.1207	4449.4779	2997.8611
294	26695.6378	-8582.9934	4449.4779	2997.8611
295	26791.6748	-8610.8661	4449.4779	2997.8611
