i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
149	25161.9852	-13135.9445	703124.9852	3519027.0555	10751179.9985	7.4739e+05
150	25258.0222	-13163.8172	703221.0222	3518999.1828	10751179.9985	7.2921e+05
151	25354.0593	-13191.6899	703317.0593	3518971.3101	10751179.9985	7.1147e+05
152	25450.0963	-13219.5627	703413.0963	3518943.4373	10751179.9985	6.9418e+05
153	25546.1333	-13247.4354	703509.1333	3518915.5646	10751179.9985	6.7731e+05
154	25642.1704	-13275.3081	703605.1704	3518887.6919	10751179.9985	6.6087e+05
155	25738.2074	-13303.1808	703701.2074	3518859.8192	10751179.9985	6.4483e+05
156	25834.2444	-13331.0536	703797.2444	3518831.9464	10751179.9985	6.2919e+05
157	25930.2815	-13358.9263	703893.2815	3518804.0737	10751179.9985	6.1394e+05
158	26026.3185	-13386.7990	703989.3185	3518776.2010	10751179.9985	5.9907e+05
159	26122.3555	-13414.6718	704085.3555	3518748.3282	10751179.9985	5.8457e+05
160	26218.3925	-13442.5445	704181.3925	3518720.4555	10751179.9985	5.7043e+05
161	26314.4296	-13470.4172	704277.4296	3518692.5828	10751179.9985	5.5663e+05
162	26410.4666	-13498.2899	704373.4666	3518664.7101	10751179.9985	5.4318e+05
163	26506.5036	-13526.1627	704469.5036	3518636.8373	10751179.9985	5.3006e+05
164	26602.5407	-13554.0354	704565.5407	3518608.9646	10751179.9985	5.1726e+05
165	26698.5777	-13581.9081	704661.5777	3518581.0919	10751179.9985	5.0478e+05
166	26794.6147	-13609.7809	704757.6147	3518553.2191	10751179.9985	4.9261e+05
167	26890.6517	-13637.6536	704853.6517	3518525.3464	10751179.9985	4.8074e+05
168	26986.6888	-13665.5263	704949.6888	3518497.4737	10751179.9985	4.6916e+05
169	27082.7258	-13693.3991	705045.7258	3518469.6009	10751179.9985	4.5786e+05
170	27178.7628	-13721.2718	705141.7628	3518441.7282	10751179.9985	4.4684e+05
171	27274.7999	-13749.1445	705237.7999	3518413.8555	10751179.9985	4.3610e+05
172	27370.8369	-13777.0172	705333.8369	3518385.9828	10751179.9985	4.2562e+05
173	27466.8739	-13804.8900	705429.8739	3518358.1100	10751179.9985	4.1539e+05
174	27562.9109	-13832.7627	705525.9109	3518330.2373	10751179.9985	4.0542e+05
175	27658.9480	-13860.6354	705621.9480	3518302.3646	10751179.9985	3.9569e+05
176	27754.9850	-13888.5082	705717.9850	3518274.4918	10751179.9985	3.8620e+05
177	27851.0220	-13916.3809	705814.0220	3518246.6191	10751179.9985	3.7694e+05
178	27947.0591	-13944.2536	705910.0591	3518218.7464	10751179.9985	3.6791e+05
179	28043.0961	-13972.1263	706006.0961	3518190.8737	10751179.9985	3.5910e+05
180	28139.1331	-13999.9991	706102.1331	3518163.0009	10751179.9985	3.5051e+05
181	28235.1702	-14027.8718	706198.1702	3518135.1282	10751179.9985	3.4212e+05
182	28331.2072	-14055.7445	706294.2072	3518107.2555	10751179.9985	3.3394e+05
183	28427.2442	-14083.6173	706390.2442	3518079.3827	10751179.9985	3.2596e+05
184	28523.2812	-14111.4900	706486.2812	3518051.5100	10751179.9985	3.1818e+05
185	28619.3183	-14139.3627	706582.3183	3518023.6373	10751179.9985	3.1058e+05
186	28715.3553	-14167.2355	706678.3553	3517995.7645	10751179.9985	3.0317e+05
187	28811.3923	-14195.1082	706774.3923	3517967.8918	10751179.9985	2.9594e+05
188	28907.4294	-14222.9809	706870.4294	3517940.0191	10751179.9985	2.8889e+05
189	29003.4664	-14250.8536	706966.4664	3517912.1464	10751179.9985	2.8201e+05
190	29099.5034	-14278.7264	707062.5034	3517884.2736	10751179.9985	2.7529e+05
191	29195.5404	-14306.5991	707158.5404	3517856.4009	10751179.9985	2.6874e+05
192	29291.5775	-14334.4718	707254.5775	3517828.5282	10751179.9985	2.6235e+05
193	29387.6145	-14362.3446	707350.6145	3517800.6554	10751179.9985	2.5611e+05
194	29483.6515	-14390.2173	707446.6515	3517772.7827	10751179.9985	2.5002e+05
195	29579.6886	-14418.0900	707542.6886	3517744.9100	10751179.9985	2.4408e+05
196	29675.7256	-14445.9627	707638.7256	3517717.0373	10751179.9985	2.3829e+05
197	29771.7626	-14473.8355	707734.7626	3517689.1645	10751179.9985	2.3264e+05
198	29867.7996	-14501.7082	707830.7996	3517661.2918	10751179.9985	2.2712e+05
199	29963.8367	-14529.5809	707926.8367	3517633.4191	10751179.9985	2.2173e+05
200	30059.8737	-14557.4537	708022.8737	3517605.5463	10751179.9985	2.1648e+05
201	30155.9107	-14585.3264	708118.9107	3517577.6736	10751179.9985	2.1135e+05
202	30251.9478	-14613.1991	708214.9478	3517549.8009	10751179.9985	2.0635e+05
203	30347.9848	-14641.0719	708310.9848	3517521.9281	10751179.9985	2.0147e+05
204	30444.0218	-14668.9446	708407.0218	3517494.0554	10751179.9985	1.9670e+05
205	30540.0588	-14696.8173	708503.0588	3517466.1827	10751179.9985	1.9205e+05
206	30636.0959	-14724.6900	708599.0959	3517438.3100	10751179.9985	1.8752e+05
