s	phi-4.0	phi-4.1	phi-4.2	phi-4.3	phi-4.4	phi-4.5	phi-4.6	phi-4.7	phi-4.8	phi-4.9
68	629.6808	448.6196	315.7893	219.5491	150.7056	102.1018	68.2467	44.9890	29.2369	18.7232
69	562.8039	399.3883	279.9847	193.8320	132.4692	89.3396	59.4357	38.9901	25.2109	16.0608
70	503.0300	355.5596	248.2396	171.1272	116.4396	78.1725	51.7622	33.7911	21.7393	13.7770
71	449.6044	316.5406	220.0938	151.0821	102.3496	68.4013	45.0794	29.2854	18.7457	11.8179
72	401.8531	281.8036	195.1393	133.3849	89.9647	59.8515	39.2594	25.3804	16.1643	10.1375
73	359.1733	250.8786	173.0141	117.7607	79.0784	52.3703	34.1907	21.9962	13.9384	8.6959
74	321.0264	223.3473	153.3975	103.9667	69.5094	45.8243	29.7765	19.0632	12.0191	7.4594
75	286.9310	198.8373	136.0051	91.7884	61.0983	40.0965	25.9322	16.5213	10.3640	6.3987
76	256.4568	177.0170	120.5846	81.0367	53.7050	35.0846	22.5842	14.3183	8.9368	5.4888
77	229.2191	157.5912	106.9125	71.5444	47.2064	30.6992	19.6684	12.4091	7.7062	4.7083
78	204.8743	140.2972	94.7906	63.1639	41.4941	26.8619	17.1291	10.7545	6.6450	4.0388
79	183.1152	124.9011	84.0431	55.7651	36.4730	23.5043	14.9177	9.3204	5.7300	3.4645
80	163.6670	111.1945	74.5142	49.2330	32.0596	20.5664	12.9917	8.0776	4.9409	2.9719
81	146.2843	98.9920	66.0657	43.4661	28.1802	17.9957	11.3144	7.0006	4.2606	2.5493
82	130.7478	88.1287	58.5751	38.3746	24.7702	15.7463	9.8536	6.0671	3.6739	2.1868
83	116.8614	78.4575	51.9337	33.8796	21.7728	13.7781	8.5815	5.2581	3.1680	1.8758
84	104.4499	69.8476	46.0454	29.9110	19.1382	12.0559	7.4736	4.5570	2.7317	1.6091
85	93.3565	62.1826	40.8247	26.4074	16.8223	10.5490	6.5087	3.9494	2.3555	1.3803
86	83.4414	55.3587	36.1959	23.3141	14.7867	9.2304	5.6684	3.4227	2.0312	1.1840
87	74.5793	49.2836	32.0920	20.5832	12.9974	8.0766	4.9365	2.9664	1.7515	1.0156
88	66.6584	43.8753	28.4534	18.1722	11.4247	7.0671	4.2992	2.5708	1.5103	0.8712
89	59.5788	39.0604	25.2273	16.0435	10.0422	6.1837	3.7442	2.2280	1.3023	0.7473
90	53.2511	34.7740	22.3670	14.1643	8.8270	5.4108	3.2608	1.9309	1.1230	0.6411
91	47.5954	30.9579	19.8310	12.5051	7.7589	4.7345	2.8398	1.6735	0.9683	0.5499
92	42.5404	27.5606	17.5825	11.0403	6.8200	4.1427	2.4731	1.4503	0.8350	0.4717
93	38.0223	24.5361	15.5890	9.7471	5.9948	3.6249	2.1539	1.2569	0.7200	0.4046
94	33.9840	21.8435	13.8215	8.6054	5.2694	3.1718	1.8758	1.0893	0.6209	0.3471
95	30.3747	19.4464	12.2544	7.5974	4.6317	2.7753	1.6336	0.9441	0.5354	0.2977
96	27.1487	17.3124	10.8650	6.7074	4.0713	2.4284	1.4227	0.8182	0.4617	0.2554
97	24.2653	15.4125	9.6331	5.9218	3.5786	2.1249	1.2390	0.7091	0.3981	0.2191
98	21.6881	13.7212	8.5409	5.2281	3.1456	1.8593	1.0791	0.6145	0.3433	0.1879
99	19.3847	12.2154	7.5725	4.6157	2.7649	1.6269	0.9397	0.5326	0.2960	0.1612
100	17.3259	10.8749	6.7139	4.0750	2.4304	1.4235	0.8184	0.4616	0.2552	0.1383
101	15.4857	9.6815	5.9527	3.5977	2.1363	1.2456	0.7128	0.4000	0.2201	0.1186
102	13.8410	8.6190	5.2778	3.1763	1.8778	1.0899	0.6207	0.3467	0.1898	0.1018
103	12.3710	7.6732	4.6794	2.8042	1.6505	0.9537	0.5406	0.3005	0.1636	0.0873
104	11.0571	6.8311	4.1488	2.4757	1.4508	0.8345	0.4708	0.2604	0.1411	0.0749
105	9.8828	6.0815	3.6784	2.1857	1.2753	0.7302	0.4100	0.2257	0.1217	0.0642
106	8.8332	5.4141	3.2613	1.9297	1.1209	0.6389	0.3571	0.1956	0.1049	0.0551
107	7.8950	4.8200	2.8916	1.7037	0.9853	0.5590	0.3110	0.1695	0.0905	0.0473
108	7.0565	4.2910	2.5637	1.5041	0.8661	0.4892	0.2708	0.1469	0.0780	0.0405
109	6.3070	3.8201	2.2730	1.3279	0.7613	0.4280	0.2359	0.1273	0.0673	0.0348
110	5.6372	3.4009	2.0153	1.1724	0.6692	0.3745	0.2054	0.1103	0.0580	0.0298
111	5.0385	3.0277	1.7868	1.0351	0.5882	0.3277	0.1789	0.0956	0.0500	0.0256
112	4.5034	2.6954	1.5842	0.9138	0.5170	0.2867	0.1558	0.0829	0.0431	0.0219
113	4.0251	2.3996	1.4046	0.8068	0.4544	0.2509	0.1357	0.0718	0.0372	0.0188
114	3.5976	2.1363	1.2453	0.7123	0.3995	0.2195	0.1182	0.0622	0.0321	0.0162
115	3.2155	1.9019	1.1041	0.6288	0.3511	0.1921	0.1029	0.0539	0.0277	0.0139
116	2.8740	1.6932	0.9790	0.5552	0.3086	0.1681	0.0896	0.0468	0.0238	0.0119
117	2.5687	1.5074	0.8680	0.4901	0.2713	0.1471	0.0781	0.0405	0.0206	0.0102
118	2.2959	1.3419	0.7696	0.4327	0.2385	0.1287	0.0680	0.0351	0.0177	0.0087
119	2.0521	1.1947	0.6823	0.3820	0.2096	0.1126	0.0592	0.0304	0.0153	0.0075
120	1.8341	1.0636	0.6049	0.3373	0.1842	0.0985	0.0516	0.0264	0.0132	0.0064
121	1.6393	0.9469	0.5363	0.2978	0.1619	0.0862	0.0449	0.0229	0.0114	0.0055
122	1.4652	0.8429	0.4755	0.2629	0.1423	0.0754	0.0391	0.0198	0.0098	0.0047
123	1.3096	0.7504	0.4216	0.2321	0.1251	0.0660	0.0341	0.0172	0.0085	0.0041
124	1.1705	0.6681	0.3738	0.2049	0.1100	0.0578	0.0297	0.0149	0.0073	0.0035
125	1.0462	0.5948	0.3314	0.1809	0.0967	0.0505	0.0258	0.0129	0.0063	0.0030
126	0.9351	0.5295	0.2939	0.1597	0.0850	0.0442	0.0225	0.0112	0.0054	0.0026
127	0.8358	0.4714	0.2605	0.1410	0.0747	0.0387	0.0196	0.0097	0.0047	0.0022
128	0.7470	0.4197	0.2310	0.1245	0.0657	0.0339	0.0171	0.0084	0.0040	0.0019
