=== LOC DEBUG ===
158: 3637.000000 17837.000000 229.100000
159: 3837.000000 17837.000000 231.900000
160: 4037.000000 17837.000000 234.700000
161: 4237.000000 17837.000000 237.700000
162: 4437.000000 17837.000000 240.600000
163: 4637.000000 17837.000000 243.600000
164: 4837.000000 17837.000000 246.600000
165: 5037.000000 17837.000000 249.600000
166: 5237.000000 17837.000000 252.700000
167: 5437.000000 17837.000000 255.800000
168: 5637.000000 17837.000000 259.000000
169: 5837.000000 17837.000000 262.200000
170: 6037.000000 17837.000000 265.400000
171: 6237.000000 17837.000000 268.700000
172: 6437.000000 17837.000000 272.000000
173: 6637.000000 17837.000000 275.300000
174: 6837.000000 17837.000000 278.700000
175: 7037.000000 17837.000000 282.100000
176: 7237.000000 17837.000000 285.500000
177: 7437.000000 17837.000000 289.000000
178: 7637.000000 17837.000000 292.500000
179: 7837.000000 17837.000000 296.000000
180: 8037.000000 17837.000000 299.600000
181: 8237.000000 17837.000000 303.300000
182: 8437.000000 17837.000000 306.900000
183: 8637.000000 17837.000000 310.600000
184: 8837.000000 17837.000000 314.300000
185: 9037.000000 17837.000000 318.100000
186: 9237.000000 17837.000000 321.900000
187: 9437.000000 17837.000000 325.800000
188: 9637.000000 17837.000000 329.700000
189: 9837.000000 17837.000000 333.600000
190: 10037.000000 17837.000000 337.500000
191: 10237.000000 17837.000000 341.500000
192: 10437.000000 17837.000000 345.500000
193: 10637.000000 17837.000000 349.600000
194: 10837.000000 17837.000000 353.700000
195: 11037.000000 17837.000000 357.800000
196: 11237.000000 17837.000000 361.900000
197: 11437.000000 17837.000000 366.000000
198: 11637.000000 17837.000000 370.200000
199: 11837.000000 17837.000000 374.300000
200: 12037.000000 17837.000000 378.500000
201: 12237.000000 17837.000000 382.700000
202: 12437.000000 17837.000000 386.800000
203: 12637.000000 17837.000000 391.000000
204: 12837.000000 17837.000000 395.200000
205: 13037.000000 17837.000000 399.300000
206: 13237.000000 17837.000000 403.400000
207: 13437.000000 17837.000000 407.400000
208: 13637.000000 17837.000000 411.400000
209: 13837.000000 17837.000000 415.400000
210: 14037.000000 17837.000000 419.300000
211: 14237.000000 17837.000000 423.100000
212: 14437.000000 17837.000000 426.900000
213: 14637.000000 17837.000000 430.600000
214: 14837.000000 17837.000000 434.200000
215: 15037.000000 17837.000000 437.600000
216: 15237.000000 17837.000000 441.000000
217: 15437.000000 17837.000000 444.200000
218: 15637.000000 17837.000000 447.400000
219: 15837.000000 17837.000000 450.300000
220: 16037.000000 17837.000000 453.100000
221: 16237.000000 17837.000000 455.800000
222: 16437.000000 17837.000000 458.300000
223: 16637.000000 17837.000000 460.600000
224: 16837.000000 17837.000000 462.800000
225: 17037.000000 17837.000000 464.700000
226: 17237.000000 17837.000000 466.500000
227: 17437.000000 17837.000000 468.000000
228: 17637.000000 17837.000000 469.300000
229: 17837.000000 17837.000000 470.500000
230: 18037.000000 17837.000000 471.300000
231: 18237.000000 17837.000000 472.000000
232: 18437.000000 17837.000000 472.400000
233: 18637.000000 17837.000000 472.600000
234: 18837.000000 17837.000000 472.600000
235: 19037.000000 17837.000000 472.300000
236: 19237.000000 17837.000000 471.800000
237: 19437.000000 17837.000000 471.000000
238: 19637.000000 17837.000000 470.000000
239: 19837.000000 17837.000000 468.800000
240: 20037.000000 17837.000000 467.300000
241: 20237.000000 17837.000000 465.600000
242: 20437.000000 17837.000000 463.700000
243: 20637.000000 17837.000000 461.500000
244: 20837.000000 17837.000000 459.100000
245: 21037.000000 17837.000000 456.500000
246: 21237.000000 17837.000000 453.700000
247: 21437.000000 17837.000000 450.700000
248: 21637.000000 17837.000000 447.400000
249: 21837.000000 17837.000000 444.000000
250: 22037.000000 17837.000000 440.400000
251: 22237.000000 17837.000000 436.600000
252: 22437.000000 17837.000000 432.600000
253: 22637.000000 17837.000000 428.500000
254: 22837.000000 17837.000000 424.100000
255: 23037.000000 17837.000000 419.700000
256: 23237.000000 17837.000000 415.100000
257: 23437.000000 17837.000000 410.300000
258: 23637.000000 17837.000000 405.400000
259: 23837.000000 17837.000000 400.300000
260: 24037.000000 17837.000000 395.200000
261: 24237.000000 17837.000000 389.900000
262: 24437.000000 17837.000000 384.500000
263: 24637.000000 17837.000000 379.000000
264: 24837.000000 17837.000000 373.400000
265: 25037.000000 17837.000000 367.700000
266: 25237.000000 17837.000000 361.900000
267: 25437.000000 17837.000000 356.000000
268: 25637.000000 17837.000000 350.000000
269: 25837.000000 17837.000000 344.000000
270: 26037.000000 17837.000000 337.800000
271: 26237.000000 17837.000000 331.600000
272: 26437.000000 17837.000000 325.400000
273: 26637.000000 17837.000000 319.100000
274: 26837.000000 17837.000000 312.800000
275: 27037.000000 17837.000000 306.400000
276: 27237.000000 17837.000000 299.900000
277: 27437.000000 17837.000000 293.400000
278: 27637.000000 17837.000000 286.900000
279: 27837.000000 17837.000000 280.400000
280: 28037.000000 17837.000000 273.900000
281: 28237.000000 17837.000000 267.300000
282: 28437.000000 17837.000000 260.800000
283: 28637.000000 17837.000000 254.200000
284: 28837.000000 17837.000000 247.600000
285: 29037.000000 17837.000000 241.100000
286: 29237.000000 17837.000000 234.600000
287: 29437.000000 17837.000000 228.100000
288: 29637.000000 17837.000000 221.600000
289: 29837.000000 17837.000000 215.200000
290: 30037.000000 17837.000000 208.800000
291: 30237.000000 17837.000000 202.400000
292: 30437.000000 17837.000000 196.100000
293: 30637.000000 17837.000000 189.900000
294: 30837.000000 17837.000000 183.800000
295: 31037.000000 17837.000000 177.700000
296: 31237.000000 17837.000000 171.700000
