s	phi2.0	phi1.9	phi1.8	phi1.7	phi1.6	phi1.5	phi1.4	phi1.3	phi1.2	phi1.1
160	135143.7903	142386.0689	148949.5410	154655.9216	159328.9618	162801.2156	164921.5251	165562.9241	164630.5604	162069.1487
161	134387.9093	141532.6926	147992.9603	153591.6519	158154.1308	161514.9635	163525.3968	164061.2289	163030.6695	160381.6971
162	133636.2560	140684.4310	147042.5229	152534.7060	156987.9627	160238.8737	162141.0873	162573.1545	161446.3265	158711.8152
163	132888.8068	139841.2534	146098.1894	151485.0335	155830.3933	158972.8661	160768.4965	161098.5773	159877.3802	157059.3199
164	132145.5382	139003.1292	145159.9206	150442.5844	154681.3595	157716.8608	159407.5253	159637.3748	158323.6811	155424.0304
165	131406.4268	138170.0283	144227.6775	149407.3089	153540.7982	156470.7790	158058.0752	158189.4258	156785.0809	153805.7673
166	130671.4494	137341.9205	143301.4215	148379.1577	152408.6470	155234.5421	156720.0488	156754.6101	155261.4329	152204.3534
167	129940.5829	136518.7758	142381.1140	147358.0817	151284.8438	154008.0724	155393.3493	155332.8084	153752.5918	150619.6134
168	129213.8042	135700.5646	141466.7169	146344.0324	150169.3271	152791.2928	154077.8809	153923.9029	152258.4138	149051.3735
169	128491.0905	134887.2573	140558.1923	145336.9612	149062.0358	151584.1266	152773.5485	152527.7764	150778.7563	147499.4621
