resolution x y mass_100 mass_res abs_diff rel_diff
300 687600 3549900 1.63160000e-07 1.63160000e-07 0.00000000e+00 0.00000000e+00
300 687900 3549900 1.60180000e-07 1.60180000e-07 0.00000000e+00 0.00000000e+00
300 688200 3549900 1.56970000e-07 1.56970000e-07 0.00000000e+00 0.00000000e+00
300 688500 3549900 1.53700000e-07 1.53700000e-07 0.00000000e+00 0.00000000e+00
300 688800 3549900 1.50370000e-07 1.50370000e-07 0.00000000e+00 0.00000000e+00
300 689100 3549900 1.46820000e-07 1.46820000e-07 0.00000000e+00 0.00000000e+00
300 689400 3549900 1.43220000e-07 1.43220000e-07 0.00000000e+00 0.00000000e+00
300 689700 3549900 1.39570000e-07 1.39570000e-07 0.00000000e+00 0.00000000e+00
300 690000 3549900 1.35880000e-07 1.35880000e-07 0.00000000e+00 0.00000000e+00
300 690300 3549900 1.32070000e-07 1.32070000e-07 0.00000000e+00 0.00000000e+00
300 690600 3549900 1.28320000e-07 1.28320000e-07 0.00000000e+00 0.00000000e+00
300 690900 3549900 1.24540000e-07 1.24540000e-07 0.00000000e+00 0.00000000e+00
300 691200 3549900 1.21130000e-07 1.21130000e-07 0.00000000e+00 0.00000000e+00
300 691500 3549900 1.18350000e-07 1.18350000e-07 0.00000000e+00 0.00000000e+00
300 691800 3549900 1.15630000e-07 1.15630000e-07 0.00000000e+00 0.00000000e+00
300 692100 3549900 1.13000000e-07 1.13000000e-07 0.00000000e+00 0.00000000e+00
300 692400 3549900 1.10420000e-07 1.10420000e-07 0.00000000e+00 0.00000000e+00
300 692700 3549900 1.07940000e-07 1.07940000e-07 0.00000000e+00 0.00000000e+00
300 693000 3549900 1.05570000e-07 1.05570000e-07 0.00000000e+00 0.00000000e+00
300 693300 3549900 1.03310000e-07 1.03310000e-07 0.00000000e+00 0.00000000e+00
300 693600 3549900 1.01290000e-07 1.01290000e-07 0.00000000e+00 0.00000000e+00
300 693900 3549900 9.94480000e-08 9.94480000e-08 0.00000000e+00 0.00000000e+00
300 694200 3549900 9.77840000e-08 9.77840000e-08 0.00000000e+00 0.00000000e+00
300 694500 3549900 9.62980000e-08 9.62980000e-08 0.00000000e+00 0.00000000e+00
300 694800 3549900 9.51270000e-08 9.51270000e-08 0.00000000e+00 0.00000000e+00
300 695100 3549900 9.42040000e-08 9.42040000e-08 0.00000000e+00 0.00000000e+00
300 695400 3549900 9.35990000e-08 9.35990000e-08 0.00000000e+00 0.00000000e+00
300 695700 3549900 9.33150000e-08 9.33150000e-08 0.00000000e+00 0.00000000e+00
300 696000 3549900 9.32880000e-08 9.32880000e-08 0.00000000e+00 0.00000000e+00
300 696300 3549900 9.36600000e-08 9.36600000e-08 0.00000000e+00 0.00000000e+00
300 696600 3549900 9.43720000e-08 9.43720000e-08 0.00000000e+00 0.00000000e+00
300 696900 3549900 9.54300000e-08 9.54300000e-08 0.00000000e+00 0.00000000e+00
300 697200 3549900 9.69180000e-08 9.69180000e-08 0.00000000e+00 0.00000000e+00
300 697500 3549900 9.87780000e-08 9.87780000e-08 0.00000000e+00 0.00000000e+00
300 697800 3549900 1.01020000e-07 1.01020000e-07 0.00000000e+00 0.00000000e+00
300 698100 3549900 1.03750000e-07 1.03750000e-07 0.00000000e+00 0.00000000e+00
300 698400 3549900 1.06890000e-07 1.06890000e-07 0.00000000e+00 0.00000000e+00
300 698700 3549900 1.10560000e-07 1.10560000e-07 0.00000000e+00 0.00000000e+00
300 699000 3549900 1.14610000e-07 1.14610000e-07 0.00000000e+00 0.00000000e+00
300 699300 3549900 1.19150000e-07 1.19150000e-07 0.00000000e+00 0.00000000e+00
300 699600 3549900 1.24210000e-07 1.24210000e-07 0.00000000e+00 0.00000000e+00
300 699900 3549900 1.29720000e-07 1.29720000e-07 0.00000000e+00 0.00000000e+00
300 700200 3549900 1.35700000e-07 1.35700000e-07 0.00000000e+00 0.00000000e+00
300 700500 3549900 1.42180000e-07 1.42180000e-07 0.00000000e+00 0.00000000e+00
300 700800 3549900 1.49190000e-07 1.49190000e-07 0.00000000e+00 0.00000000e+00
300 701100 3549900 1.56750000e-07 1.56750000e-07 0.00000000e+00 0.00000000e+00
300 701400 3549900 1.64790000e-07 1.64790000e-07 0.00000000e+00 0.00000000e+00
300 701700 3549900 1.73360000e-07 1.73360000e-07 0.00000000e+00 0.00000000e+00
300 702000 3549900 1.83590000e-07 1.83590000e-07 0.00000000e+00 0.00000000e+00
300 702300 3549900 1.94990000e-07 1.94990000e-07 0.00000000e+00 0.00000000e+00
300 702600 3549900 2.07260000e-07 2.07260000e-07 0.00000000e+00 0.00000000e+00
300 702900 3549900 2.20030000e-07 2.20030000e-07 0.00000000e+00 0.00000000e+00
300 703200 3549900 2.33450000e-07 2.33450000e-07 0.00000000e+00 0.00000000e+00
300 703500 3549900 2.47670000e-07 2.47670000e-07 0.00000000e+00 0.00000000e+00
300 703800 3549900 2.62430000e-07 2.62430000e-07 0.00000000e+00 0.00000000e+00
300 704100 3549900 2.77890000e-07 2.77890000e-07 0.00000000e+00 0.00000000e+00
300 704400 3549900 2.93920000e-07 2.93920000e-07 0.00000000e+00 0.00000000e+00
300 704700 3549900 3.10700000e-07 3.10700000e-07 0.00000000e+00 0.00000000e+00
300 705000 3549900 3.28230000e-07 3.28230000e-07 0.00000000e+00 0.00000000e+00
300 705300 3549900 3.47870000e-07 3.47870000e-07 0.00000000e+00 0.00000000e+00
300 705600 3549900 3.70740000e-07 3.70740000e-07 0.00000000e+00 0.00000000e+00
300 705900 3549900 3.94540000e-07 3.94540000e-07 0.00000000e+00 0.00000000e+00
300 706200 3549900 4.19040000e-07 4.19040000e-07 0.00000000e+00 0.00000000e+00
300 706500 3549900 4.44470000e-07 4.44470000e-07 0.00000000e+00 0.00000000e+00
300 706800 3549900 4.70360000e-07 4.70360000e-07 0.00000000e+00 0.00000000e+00
300 707100 3549900 4.96940000e-07 4.96940000e-07 0.00000000e+00 0.00000000e+00
300 707400 3549900 5.24200000e-07 5.24200000e-07 0.00000000e+00 0.00000000e+00
300 707700 3549900 5.51900000e-07 5.51900000e-07 0.00000000e+00 0.00000000e+00
300 708000 3549900 5.80100000e-07 5.80100000e-07 0.00000000e+00 0.00000000e+00
300 708300 3549900 6.09690000e-07 6.09690000e-07 0.00000000e+00 0.00000000e+00
300 708600 3549900 6.48530000e-07 6.48530000e-07 0.00000000e+00 0.00000000e+00
300 708900 3549900 6.87880000e-07 6.87880000e-07 0.00000000e+00 0.00000000e+00
300 709200 3549900 7.27650000e-07 7.27650000e-07 0.00000000e+00 0.00000000e+00
300 709500 3549900 7.68190000e-07 7.68190000e-07 0.00000000e+00 0.00000000e+00
300 709800 3549900 8.08620000e-07 8.08620000e-07 0.00000000e+00 0.00000000e+00
300 710100 3549900 8.49710000e-07 8.49710000e-07 0.00000000e+00 0.00000000e+00
300 710400 3549900 8.90530000e-07 8.90530000e-07 0.00000000e+00 0.00000000e+00
300 710700 3549900 9.30990000e-07 9.30990000e-07 0.00000000e+00 0.00000000e+00
300 711000 3549900 9.71570000e-07 9.71570000e-07 0.00000000e+00 0.00000000e+00
300 711300 3549900 1.01200000e-06 1.01200000e-06 0.00000000e+00 0.00000000e+00
300 711600 3549900 1.05260000e-06 1.05260000e-06 0.00000000e+00 0.00000000e+00
300 711900 3549900 1.09500000e-06 1.09500000e-06 0.00000000e+00 0.00000000e+00
300 712200 3549900 1.14520000e-06 1.14520000e-06 0.00000000e+00 0.00000000e+00
300 712500 3549900 1.19590000e-06 1.19590000e-06 0.00000000e+00 0.00000000e+00
300 712800 3549900 1.24490000e-06 1.24490000e-06 0.00000000e+00 0.00000000e+00
300 713100 3549900 1.29360000e-06 1.29360000e-06 0.00000000e+00 0.00000000e+00
300 713400 3549900 1.34020000e-06 1.34020000e-06 0.00000000e+00 0.00000000e+00
300 713700 3549900 1.38610000e-06 1.38610000e-06 0.00000000e+00 0.00000000e+00
300 714000 3549900 1.43050000e-06 1.43050000e-06 0.00000000e+00 0.00000000e+00
300 714300 3549900 1.47320000e-06 1.47320000e-06 0.00000000e+00 0.00000000e+00
300 714600 3549900 1.51410000e-06 1.51410000e-06 0.00000000e+00 0.00000000e+00
300 714900 3549900 1.55300000e-06 1.55300000e-06 0.00000000e+00 0.00000000e+00
300 715200 3549900 1.59080000e-06 1.59080000e-06 0.00000000e+00 0.00000000e+00
300 715500 3549900 1.62640000e-06 1.62640000e-06 0.00000000e+00 0.00000000e+00
300 715800 3549900 1.65980000e-06 1.65980000e-06 0.00000000e+00 0.00000000e+00
300 716100 3549900 1.69270000e-06 1.69270000e-06 0.00000000e+00 0.00000000e+00
300 716400 3549900 1.72320000e-06 1.72320000e-06 0.00000000e+00 0.00000000e+00
300 716700 3549900 1.75210000e-06 1.75210000e-06 0.00000000e+00 0.00000000e+00
300 717000 3549900 1.77940000e-06 1.77940000e-06 0.00000000e+00 0.00000000e+00
300 717300 3549900 1.80420000e-06 1.80420000e-06 0.00000000e+00 0.00000000e+00
300 717600 3549900 1.82810000e-06 1.82810000e-06 0.00000000e+00 0.00000000e+00
300 717900 3549900 1.85130000e-06 1.85130000e-06 0.00000000e+00 0.00000000e+00
300 718200 3549900 1.87170000e-06 1.87170000e-06 0.00000000e+00 0.00000000e+00
300 718500 3549900 1.89130000e-06 1.89130000e-06 0.00000000e+00 0.00000000e+00
300 718800 3549900 1.90900000e-06 1.90900000e-06 0.00000000e+00 0.00000000e+00
300 719100 3549900 1.92470000e-06 1.92470000e-06 0.00000000e+00 0.00000000e+00
300 719400 3549900 1.93960000e-06 1.93960000e-06 0.00000000e+00 0.00000000e+00
300 719700 3549900 1.95350000e-06 1.95350000e-06 0.00000000e+00 0.00000000e+00
300 720000 3549900 1.96540000e-06 1.96540000e-06 0.00000000e+00 0.00000000e+00
300 720300 3549900 1.97630000e-06 1.97630000e-06 0.00000000e+00 0.00000000e+00
300 720600 3549900 1.98620000e-06 1.98620000e-06 0.00000000e+00 0.00000000e+00
300 720900 3549900 1.99500000e-06 1.99500000e-06 0.00000000e+00 0.00000000e+00
300 721200 3549900 2.00180000e-06 2.00180000e-06 0.00000000e+00 0.00000000e+00
300 721500 3549900 2.00860000e-06 2.00860000e-06 0.00000000e+00 0.00000000e+00
300 721800 3549900 2.01430000e-06 2.01430000e-06 0.00000000e+00 0.00000000e+00
300 722100 3549900 2.02000000e-06 2.02000000e-06 0.00000000e+00 0.00000000e+00
300 722400 3549900 2.02470000e-06 2.02470000e-06 0.00000000e+00 0.00000000e+00
300 722700 3549900 2.02820000e-06 2.02820000e-06 0.00000000e+00 0.00000000e+00
300 723000 3549900 2.03180000e-06 2.03180000e-06 0.00000000e+00 0.00000000e+00
300 723300 3549900 2.03630000e-06 2.03630000e-06 0.00000000e+00 0.00000000e+00
300 723600 3549900 2.03970000e-06 2.03970000e-06 0.00000000e+00 0.00000000e+00
300 723900 3549900 2.04310000e-06 2.04310000e-06 0.00000000e+00 0.00000000e+00
300 724200 3549900 2.04750000e-06 2.04750000e-06 0.00000000e+00 0.00000000e+00
300 724500 3549900 2.05180000e-06 2.05180000e-06 0.00000000e+00 0.00000000e+00
300 724800 3549900 2.05720000e-06 2.05720000e-06 0.00000000e+00 0.00000000e+00
300 725100 3549900 2.06250000e-06 2.06250000e-06 0.00000000e+00 0.00000000e+00
300 725400 3549900 2.06870000e-06 2.06870000e-06 0.00000000e+00 0.00000000e+00
300 725700 3549900 2.07500000e-06 2.07500000e-06 0.00000000e+00 0.00000000e+00
300 726000 3549900 2.08330000e-06 2.08330000e-06 0.00000000e+00 0.00000000e+00
300 726300 3549900 2.09160000e-06 2.09160000e-06 0.00000000e+00 0.00000000e+00
300 726600 3549900 2.09980000e-06 2.09980000e-06 0.00000000e+00 0.00000000e+00
300 726900 3549900 2.11020000e-06 2.11020000e-06 0.00000000e+00 0.00000000e+00
300 727200 3549900 2.12050000e-06 2.12050000e-06 0.00000000e+00 0.00000000e+00
300 727500 3549900 2.13080000e-06 2.13080000e-06 0.00000000e+00 0.00000000e+00
300 727800 3549900 2.14210000e-06 2.14210000e-06 0.00000000e+00 0.00000000e+00
300 728100 3549900 2.15350000e-06 2.15350000e-06 0.00000000e+00 0.00000000e+00
300 728400 3549900 2.16590000e-06 2.16590000e-06 0.00000000e+00 0.00000000e+00
300 728700 3549900 2.17720000e-06 2.17720000e-06 0.00000000e+00 0.00000000e+00
300 729000 3549900 2.18960000e-06 2.18960000e-06 0.00000000e+00 0.00000000e+00
300 729300 3549900 2.20200000e-06 2.20200000e-06 0.00000000e+00 0.00000000e+00
300 729600 3549900 2.21330000e-06 2.21330000e-06 0.00000000e+00 0.00000000e+00
300 729900 3549900 2.22560000e-06 2.22560000e-06 0.00000000e+00 0.00000000e+00
300 730200 3549900 2.23690000e-06 2.23690000e-06 0.00000000e+00 0.00000000e+00
300 730500 3549900 2.24810000e-06 2.24810000e-06 0.00000000e+00 0.00000000e+00
300 730800 3549900 2.25940000e-06 2.25940000e-06 0.00000000e+00 0.00000000e+00
300 731100 3549900 2.26950000e-06 2.26950000e-06 0.00000000e+00 0.00000000e+00
300 731400 3549900 2.27950000e-06 2.27950000e-06 0.00000000e+00 0.00000000e+00
300 731700 3549900 2.28960000e-06 2.28960000e-06 0.00000000e+00 0.00000000e+00
300 732000 3549900 2.29850000e-06 2.29850000e-06 0.00000000e+00 0.00000000e+00
300 732300 3549900 2.30850000e-06 2.30850000e-06 0.00000000e+00 0.00000000e+00
300 732600 3549900 2.31620000e-06 2.31620000e-06 0.00000000e+00 0.00000000e+00
300 732900 3549900 2.32500000e-06 2.32500000e-06 0.00000000e+00 0.00000000e+00
300 733200 3549900 2.33260000e-06 2.33260000e-06 0.00000000e+00 0.00000000e+00
300 733500 3549900 2.34030000e-06 2.34030000e-06 0.00000000e+00 0.00000000e+00
300 733800 3549900 2.34780000e-06 2.34780000e-06 0.00000000e+00 0.00000000e+00
300 734100 3549900 2.35540000e-06 2.35540000e-06 0.00000000e+00 0.00000000e+00
300 734400 3549900 2.36170000e-06 2.36170000e-06 0.00000000e+00 0.00000000e+00
300 734700 3549900 2.36800000e-06 2.36800000e-06 0.00000000e+00 0.00000000e+00
300 735000 3549900 2.37200000e-06 2.37200000e-06 0.00000000e+00 0.00000000e+00
300 735300 3549900 2.37600000e-06 2.37600000e-06 0.00000000e+00 0.00000000e+00
300 735600 3549900 2.37990000e-06 2.37990000e-06 0.00000000e+00 0.00000000e+00
300 735900 3549900 2.38380000e-06 2.38380000e-06 0.00000000e+00 0.00000000e+00
300 736200 3549900 2.38760000e-06 2.38760000e-06 0.00000000e+00 0.00000000e+00
300 736500 3549900 2.39140000e-06 2.39140000e-06 0.00000000e+00 0.00000000e+00
300 736800 3549900 2.39510000e-06 2.39510000e-06 0.00000000e+00 0.00000000e+00
300 737100 3549900 2.39890000e-06 2.39890000e-06 0.00000000e+00 0.00000000e+00
300 737400 3549900 2.40250000e-06 2.40250000e-06 0.00000000e+00 0.00000000e+00
300 737700 3549900 2.40620000e-06 2.40620000e-06 0.00000000e+00 0.00000000e+00
300 738000 3549900 2.40980000e-06 2.40980000e-06 0.00000000e+00 0.00000000e+00
300 738300 3549900 2.41340000e-06 2.41340000e-06 0.00000000e+00 0.00000000e+00
300 738600 3549900 2.41700000e-06 2.41700000e-06 0.00000000e+00 0.00000000e+00
300 738900 3549900 2.42050000e-06 2.42050000e-06 0.00000000e+00 0.00000000e+00
300 739200 3549900 2.42400000e-06 2.42400000e-06 0.00000000e+00 0.00000000e+00
300 739500 3549900 2.42750000e-06 2.42750000e-06 0.00000000e+00 0.00000000e+00
300 739800 3549900 2.43090000e-06 2.43090000e-06 0.00000000e+00 0.00000000e+00
300 740100 3549900 2.43430000e-06 2.43430000e-06 0.00000000e+00 0.00000000e+00
300 740400 3549900 2.43770000e-06 2.43770000e-06 0.00000000e+00 0.00000000e+00
300 740700 3549900 2.44110000e-06 2.44110000e-06 0.00000000e+00 0.00000000e+00
300 741000 3549900 2.44450000e-06 2.44450000e-06 0.00000000e+00 0.00000000e+00
300 741300 3549900 2.44780000e-06 2.44780000e-06 0.00000000e+00 0.00000000e+00
300 741600 3549900 2.45110000e-06 2.45110000e-06 0.00000000e+00 0.00000000e+00
300 741900 3549900 2.45440000e-06 2.45440000e-06 0.00000000e+00 0.00000000e+00
300 742200 3549900 2.45770000e-06 2.45770000e-06 0.00000000e+00 0.00000000e+00
300 742500 3549900 2.46100000e-06 2.46100000e-06 0.00000000e+00 0.00000000e+00
