x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
667000	3513000	9	22077.3	4.3195e-07	100.0000	4.1179	5.2346e-08	3.7818e-07	1.4215e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
668000	3513000	12	21598.2	5.7956e-07	100.0000	4.0894	5.4505e-08	5.2239e-07	2.6639e-09	0.0000e+00	0.0000e+00	1.3677e-42	9.4027e-43	5.6052e-44	0.0000e+00	0.0000e+00
669000	3513000	163	21155.5	2.3737e-07	100.0000	4.1131	2.7064e-08	2.1008e-07	2.2367e-10	0.0000e+00	4.4253e-42	8.2490e-40	5.2892e-40	4.1557e-41	1.1084e-42	0.0000e+00
670000	3513000	61	20751.6	7.9837e-07	100.0000	4.0551	4.7539e-08	7.4727e-07	3.5615e-09	7.4817e-41	1.5513e-38	1.3895e-36	6.4709e-37	3.7796e-38	7.9505e-40	8.0491e-42
671000	3513000	64	20388.8	1.1770e-06	100.0000	4.0363	4.9865e-08	1.1200e-06	7.1637e-09	6.7927e-37	1.8372e-35	9.4043e-34	3.3537e-34	1.5741e-35	2.7813e-37	2.4633e-39
672000	3513000	86	20069.3	1.5003e-06	100.0000	4.0234	4.6438e-08	1.4426e-06	1.1306e-08	1.7849e-33	1.3655e-32	4.0875e-31	1.0953e-31	4.1328e-33	6.1442e-35	4.7577e-37
673000	3513000	154	19795.3	1.3277e-06	100.0000	4.0241	3.6971e-08	1.2857e-06	5.0206e-09	9.5778e-31	5.8380e-30	1.0512e-28	2.0795e-29	6.3783e-31	8.0977e-33	5.5595e-35
674000	3513000	210	19568.5	1.3706e-06	100.0000	4.0197	3.0753e-08	1.3361e-06	3.7877e-09	6.1363e-28	1.9919e-27	2.0895e-26	2.8731e-27	6.9643e-29	7.3822e-31	4.4101e-33
675000	3513000	256	19390.7	1.3832e-06	100.0000	4.0178	2.7665e-08	1.3525e-06	3.0281e-09	3.9409e-25	5.2694e-25	3.1682e-24	2.8484e-25	5.3321e-27	4.6332e-29	2.3703e-31
676000	3513000	337	19263.3	1.1978e-06	100.0000	4.0168	2.0541e-08	1.1769e-06	4.2579e-10	8.8741e-23	8.6867e-23	3.0682e-22	1.7362e-23	2.5227e-25	1.8136e-27	8.0080e-30
677000	3513000	422	19187.2	9.3539e-07	100.0000	4.0146	1.3761e-08	9.2149e-07	1.4666e-10	1.4743e-20	1.0401e-20	2.1599e-20	7.3038e-22	8.1520e-24	4.8151e-26	1.8203e-28
678000	3513000	514	19163.0	5.4927e-07	100.0000	4.0140	7.7371e-09	5.4151e-07	2.7985e-11	1.7072e-18	8.9618e-19	1.0912e-18	2.1040e-20	1.7956e-22	8.6983e-25	2.8002e-27
679000	3513000	482	19191.0	1.3954e-06	100.0000	4.0078	1.1253e-08	1.3839e-06	2.9947e-10	1.1190e-15	1.0108e-16	6.4500e-17	6.5142e-19	3.9869e-21	1.4790e-23	3.7794e-26
680000	3513000	468	19271.0	2.3404e-06	100.0000	4.0056	1.3977e-08	2.3256e-06	8.7251e-10	2.7589e-13	8.0270e-15	2.5645e-15	1.3398e-17	5.9869e-20	1.7307e-22	3.5281e-25
681000	3513000	403	19402.2	8.7963e-06	100.0000	4.0003	2.2522e-08	8.7540e-06	1.9707e-08	6.1612e-11	6.2068e-13	8.7728e-14	2.3379e-16	7.5969e-19	1.6936e-21	2.6823e-24
682000	3513000	396	19583.6	1.4330e-05	100.0000	3.9726	2.5718e-08	1.3891e-05	4.0975e-07	3.9286e-09	2.7562e-11	1.7848e-12	2.4859e-15	6.2318e-18	1.1331e-20	1.4355e-23
683000	3513000	308	19813.9	4.4364e-05	99.9999	3.7560	4.1415e-08	3.3711e-05	1.0358e-05	2.5220e-07	1.2512e-09	3.4335e-11	2.5734e-14	5.0478e-17	7.4424e-20	7.3024e-23
684000	3513000	384	20091.4	1.3141e-04	99.9998	3.2645	3.2981e-08	3.8202e-05	8.9683e-05	3.4674e-06	2.0055e-08	2.9533e-10	1.2730e-13	2.2351e-16	3.0007e-19	2.4635e-22
685000	3513000	264	20414.2	1.1875e-03	99.9997	3.0465	5.6622e-08	1.3912e-04	9.6474e-04	8.3053e-05	4.8816e-07	3.4617e-09	9.3604e-13	1.4375e-15	1.6413e-18	1.0414e-21
686000	3513000	253	20780.1	6.3426e-03	99.9996	2.9360	6.2740e-08	3.5524e-04	5.2315e-03	7.5021e-04	5.5058e-06	2.2440e-08	4.2911e-12	6.3721e-15	6.6171e-18	3.4054e-21
687000	3513000	180	21187.0	2.7840e-02	99.9995	2.8319	8.2356e-08	8.7343e-04	2.1468e-02	5.4440e-03	5.4390e-05	1.3588e-07	2.0918e-11	3.0134e-14	2.7853e-17	1.1370e-20
688000	3513000	215	21632.4	8.1356e-02	99.9994	2.7503	7.8950e-08	1.8266e-03	5.7683e-02	2.1549e-02	2.9675e-04	4.9783e-07	7.0831e-11	1.0473e-13	9.0114e-17	3.0321e-20
689000	3513000	215	22114.2	1.9420e-01	99.9991	2.6448	8.3988e-08	3.2940e-03	1.2004e-01	6.9466e-02	1.3966e-03	1.6795e-06	2.4561e-10	3.6803e-13	2.9024e-16	7.9443e-20
690000	3513000	158	22629.8	3.8552e-01	99.9985	2.5025	1.0463e-07	4.1075e-03	1.9142e-01	1.8410e-01	5.8891e-03	5.6360e-06	9.0411e-10	1.3454e-12	9.5298e-16	2.0854e-19
691000	3513000	171	23177.2	6.2009e-01	99.9977	2.3677	1.0674e-07	4.6331e-03	2.3669e-01	3.6080e-01	1.7949e-02	1.4471e-05	2.6873e-09	4.0534e-12	2.6344e-15	4.6988e-19
692000	3513000	172	23754.1	8.8292e-01	99.9960	2.2211	1.1226e-07	4.1627e-03	2.3457e-01	5.9658e-01	4.7580e-02	3.5248e-05	7.6920e-09	1.1686e-11	6.9310e-15	1.0032e-18
693000	3513000	165	24358.4	1.1598e+00	99.9929	2.0732	1.2102e-07	3.1480e-03	1.9001e-01	8.5540e-01	1.1121e-01	8.2091e-05	2.1070e-08	3.2072e-11	1.7282e-14	2.0231e-18
