i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
847	1306689.6810	-1128254.9074	1984652.6810	2403908.0926	275984985431.8572	1.9525e+04
848	1306781.2840	-1128295.0185	1984744.2840	2403867.9815	275984985431.8572	1.9518e+04
849	1306872.8869	-1128335.1296	1984835.8869	2403827.8704	275984985431.8572	1.9511e+04
850	1306964.4898	-1128375.2407	1984927.4898	2403787.7593	275984985431.8572	1.9504e+04
851	1307056.0928	-1128415.3518	1985019.0928	2403747.6482	275984985431.8572	1.9496e+04
852	1307147.6957	-1128455.4629	1985110.6957	2403707.5371	275984985431.8572	1.9489e+04
853	1307239.2987	-1128495.5740	1985202.2987	2403667.4260	275984985431.8572	1.9482e+04
854	1307330.9016	-1128535.6851	1985293.9016	2403627.3149	275984985431.8572	1.9475e+04
855	1307422.5045	-1128575.7962	1985385.5045	2403587.2038	275984985431.8572	1.9468e+04
856	1307514.1075	-1128615.9073	1985477.1075	2403547.0927	275984985431.8572	1.9460e+04
857	1307605.7104	-1128656.0185	1985568.7104	2403506.9815	275984985431.8572	1.9453e+04
858	1307697.3134	-1128696.1296	1985660.3134	2403466.8704	275984985431.8572	1.9446e+04
859	1307788.9163	-1128736.2407	1985751.9163	2403426.7593	275984985431.8572	1.9439e+04
860	1307880.5193	-1128776.3518	1985843.5193	2403386.6482	275984985431.8572	1.9431e+04
861	1307972.1222	-1128816.4629	1985935.1222	2403346.5371	275984985431.8572	1.9424e+04
862	1308063.7251	-1128856.5740	1986026.7251	2403306.4260	275984985431.8572	1.9417e+04
863	1308155.3281	-1128896.6851	1986118.3281	2403266.3149	275984985431.8572	1.9410e+04
864	1308246.9310	-1128936.7962	1986209.9310	2403226.2038	275984985431.8572	1.9403e+04
865	1308338.5340	-1128976.9073	1986301.5340	2403186.0927	275984985431.8572	1.9395e+04
866	1308430.1369	-1129017.0184	1986393.1369	2403145.9816	275984985431.8572	1.9388e+04
867	1308521.7398	-1129057.1295	1986484.7398	2403105.8705	275984985431.8572	1.9381e+04
868	1308613.3428	-1129097.2407	1986576.3428	2403065.7593	275984985431.8572	1.9374e+04
869	1308704.9457	-1129137.3518	1986667.9457	2403025.6482	275984985431.8572	1.9367e+04
870	1308796.5487	-1129177.4629	1986759.5487	2402985.5371	275984985431.8572	1.9359e+04
871	1308888.1516	-1129217.5740	1986851.1516	2402945.4260	275984985431.8572	1.9352e+04
872	1308979.7546	-1129257.6851	1986942.7546	2402905.3149	275984985431.8572	1.9345e+04
873	1309071.3575	-1129297.7962	1987034.3575	2402865.2038	275984985431.8572	1.9338e+04
874	1309162.9604	-1129337.9073	1987125.9604	2402825.0927	275984985431.8572	1.9331e+04
875	1309254.5634	-1129378.0184	1987217.5634	2402784.9816	275984985431.8572	1.9324e+04
876	1309346.1663	-1129418.1295	1987309.1663	2402744.8705	275984985431.8572	1.9316e+04
877	1309437.7693	-1129458.2406	1987400.7693	2402704.7594	275984985431.8572	1.9309e+04
878	1309529.3722	-1129498.3517	1987492.3722	2402664.6483	275984985431.8572	1.9302e+04
879	1309620.9751	-1129538.4628	1987583.9751	2402624.5372	275984985431.8572	1.9295e+04
880	1309712.5781	-1129578.5740	1987675.5781	2402584.4260	275984985431.8572	1.9288e+04
881	1309804.1810	-1129618.6851	1987767.1810	2402544.3149	275984985431.8572	1.9281e+04
882	1309895.7840	-1129658.7962	1987858.7840	2402504.2038	275984985431.8572	1.9273e+04
883	1309987.3869	-1129698.9073	1987950.3869	2402464.0927	275984985431.8572	1.9266e+04
884	1310078.9899	-1129739.0184	1988041.9899	2402423.9816	275984985431.8572	1.9259e+04
885	1310170.5928	-1129779.1295	1988133.5928	2402383.8705	275984985431.8572	1.9252e+04
886	1310262.1957	-1129819.2406	1988225.1957	2402343.7594	275984985431.8572	1.9245e+04
887	1310353.7987	-1129859.3517	1988316.7987	2402303.6483	275984985431.8572	1.9238e+04
