calc_step	x	y	z	R	time
187	859.2486	-893.4960	2613.5174	1148.7548	72.2066
188	866.3168	-898.7462	2618.2584	1153.4030	72.6468
189	873.4009	-903.9895	2622.9831	1158.0382	73.0871
190	880.5009	-909.2258	2627.6917	1162.6607	73.5276
191	887.6166	-914.4552	2632.3843	1167.2702	73.9681
192	894.7481	-919.6775	2637.0608	1171.8669	74.4086
193	901.8951	-924.8929	2641.7213	1176.4508	74.8493
194	909.0577	-930.1011	2646.3658	1181.0218	75.2900
195	916.2357	-935.3022	2650.9945	1185.5801	75.7308
196	923.4290	-940.4962	2655.6074	1190.1255	76.1716
197	930.6376	-945.6830	2660.2045	1194.6582	76.6126
198	937.8614	-950.8626	2664.7859	1199.1780	77.0536
199	945.1003	-956.0349	2669.3515	1203.6852	77.4946
200	952.3542	-961.2000	2673.9016	1208.1795	77.9358
201	959.6230	-966.3578	2678.4360	1212.6611	78.3770
202	966.9067	-971.5083	2682.9549	1217.1300	78.8182
203	974.2051	-976.6514	2687.4584	1221.5862	79.2596
204	981.5183	-981.7871	2691.9463	1226.0297	79.7009
205	988.8461	-986.9155	2696.4189	1230.4604	80.1424
206	996.1884	-992.0364	2700.8761	1234.8785	80.5839
207	1003.5451	-997.1499	2705.3180	1239.2839	81.0255
208	1010.9163	-1002.2559	2709.7446	1243.6766	81.4671
209	1018.3017	-1007.3544	2714.1560	1248.0567	81.9088
210	1025.7014	-1012.4454	2718.5522	1252.4241	82.3505
211	1033.1153	-1017.5288	2722.9332	1256.7789	82.7923
212	1040.5432	-1022.6047	2727.2992	1261.1210	83.2341
213	1047.9851	-1027.6730	2731.6501	1265.4505	83.6760
214	1055.4409	-1032.7337	2735.9859	1269.7674	84.1179
215	1062.9106	-1037.7868	2740.3068	1274.0717	84.5599
216	1070.3941	-1042.8323	2744.6127	1278.3633	85.0019
217	1077.8913	-1047.8701	2748.9037	1282.6424	85.4440
218	1085.4021	-1052.9002	2753.1798	1286.9089	85.8861
219	1092.9265	-1057.9227	2757.4411	1291.1628	86.3283
220	1100.4643	-1062.9374	2761.6876	1295.4042	86.7705
221	1108.0156	-1067.9445	2765.9194	1299.6330	87.2128
222	1115.5802	-1072.9438	2770.1364	1303.8492	87.6551
223	1123.1582	-1077.9354	2774.3388	1308.0528	88.0974
224	1130.7493	-1082.9192	2778.5265	1312.2440	88.5398
225	1138.3535	-1087.8952	2782.6995	1316.4226	88.9823
226	1145.9708	-1092.8634	2786.8580	1320.5886	89.4247
227	1153.6011	-1097.8239	2791.0020	1324.7421	89.8672
228	1161.2444	-1102.7765	2795.1314	1328.8831	90.3098
229	1168.9005	-1107.7214	2799.2463	1333.0116	90.7523
230	1176.5694	-1112.6584	2803.3469	1337.1276	91.1950
231	1184.2510	-1117.5875	2807.4329	1341.2311	91.6376
232	1191.9452	-1122.5089	2811.5047	1345.3221	92.0803
233	1199.6521	-1127.4223	2815.5620	1349.4006	92.5230
234	1207.3715	-1132.3279	2819.6051	1353.4666	92.9658
235	1215.1033	-1137.2256	2823.6338	1357.5201	93.4085
236	1222.8476	-1142.1155	2827.6483	1361.5612	93.8513
237	1230.6041	-1146.9974	2831.6486	1365.5898	94.2942
238	1238.3730	-1151.8715	2835.6347	1369.6059	94.7371
239	1246.1540	-1156.7376	2839.6066	1373.6095	95.1800
240	1253.9472	-1161.5959	2843.5644	1377.6007	95.6229
241	1261.7524	-1166.4462	2847.5080	1381.5794	96.0659
242	1269.5696	-1171.2887	2851.4376	1385.5457	96.5088
243	1277.3988	-1176.1232	2855.3532	1389.4996	96.9519
244	1285.2399	-1180.9498	2859.2547	1393.4410	97.3949
245	1293.0927	-1185.7684	2863.1422	1397.3699	97.8380
246	1300.9574	-1190.5792	2867.0158	1401.2864	98.2811
247	1308.8337	-1195.3820	2870.8754	1405.1905	98.7242
248	1316.7216	-1200.1768	2874.7212	1409.0822	99.1673
249	1324.6212	-1204.9637	2878.5530	1412.9614	99.6105
250	1332.5322	-1209.7427	2882.3710	1416.8282	100.0537
251	1340.4547	-1214.5137	2886.1751	1420.6826	100.4969
252	1348.3885	-1219.2768	2889.9654	1424.5246	100.9401
253	1356.3337	-1224.0320	2893.7420	1428.3542	101.3834
254	1364.2902	-1228.7792	2897.5048	1432.1714	101.8266
255	1372.2579	-1233.5185	2901.2539	1435.9761	102.2699
256	1380.2367	-1238.2498	2904.9892	1439.7685	102.7132
257	1388.2266	-1242.9732	2908.7109	1443.5484	103.1566
258	1396.2275	-1247.6887	2912.4189	1447.3160	103.5999
259	1404.2394	-1252.3962	2916.1133	1451.0711	104.0433
260	1412.2623	-1257.0958	2919.7941	1454.8139	104.4866
261	1420.2960	-1261.7874	2923.4613	1458.5442	104.9300
262	1428.3404	-1266.4711	2927.1149	1462.2622	105.3735
263	1436.3957	-1271.1469	2930.7550	1465.9678	105.8169
264	1444.4616	-1275.8148	2934.3816	1469.6610	106.2603
265	1452.5381	-1280.4747	2937.9947	1473.3418	106.7038
266	1460.6252	-1285.1268	2941.5943	1477.0102	107.1473
267	1468.7229	-1289.7709	2945.1804	1480.6663	107.5908
268	1476.8310	-1294.4071	2948.7532	1484.3100	108.0343
269	1484.9495	-1299.0354	2952.3125	1487.9412	108.4778
270	1493.0783	-1303.6558	2955.8584	1491.5601	108.9213
271	1501.2174	-1308.2684	2959.3910	1495.1667	109.3649
272	1509.3668	-1312.8730	2962.9102	1498.7608	109.8085
273	1517.5264	-1317.4698	2966.4161	1502.3426	110.2520
274	1525.6961	-1322.0587	2969.9087	1505.9120	110.6956
275	1533.8759	-1326.6397	2973.3880	1509.4691	111.1392
276	1542.0656	-1331.2129	2976.8540	1513.0137	111.5828
277	1550.2654	-1335.7782	2980.3068	1516.5460	112.0264
278	1558.4751	-1340.3356	2983.7464	1520.0660	112.4700
279	1566.6946	-1344.8853	2987.1727	1523.5735	112.9137
280	1574.9240	-1349.4271	2990.5859	1527.0687	113.3573
281	1583.1631	-1353.9611	2993.9859	1530.5515	113.8010
282	1591.4119	-1358.4873	2997.3728	1534.0220	114.2446
283	1599.6703	-1363.0057	3000.7465	1537.4801	114.6883
284	1607.9384	-1367.5162	3004.1071	1540.9258	115.1320
285	1616.2160	-1372.0191	3007.4547	1544.3591	115.5757
286	1624.5031	-1376.5141	3010.7891	1547.7801	116.0194
287	1632.7997	-1381.0014	3014.1105	1551.1887	116.4631
288	1641.1056	-1385.4809	3017.4188	1554.5850	116.9068
289	1649.4209	-1389.9527	3020.7142	1557.9689	117.3505
290	1657.7455	-1394.4167	3023.9965	1561.3404	117.7942
291	1666.0793	-1398.8730	3027.2658	1564.6995	118.2380
292	1674.4223	-1403.3217	3030.5222	1568.0463	118.6817
293	1682.7745	-1407.7626	3033.7656	1571.3808	119.1254
294	1691.1357	-1412.1958	3036.9960	1574.7028	119.5692
295	1699.5060	-1416.6214	3040.2136	1578.0128	120.0129
296	1707.8853	-1421.0393	3043.4182	1581.3123	120.4567
297	1716.2736	-1425.4495	3046.6099	1584.6012	120.9005
298	1724.6707	-1429.8522	3049.7887	1587.8795	121.3442
299	1733.0767	-1434.2472	3052.9546	1591.1472	121.7880
300	1741.4915	-1438.6346	3056.1076	1594.4043	122.2318
301	1749.9151	-1443.0144	3059.2477	1597.6508	122.6755
302	1758.3474	-1447.3867	3062.3750	1599.7916	123.1193
303	1766.7858	-1451.7564	3065.4894	1603.0156	123.5631
304	1775.2297	-1456.1244	3068.5911	1606.2283	124.0069
305	1783.6794	-1460.4905	3071.6799	1609.4299	124.4507
306	1792.1346	-1464.8548	3074.7560	1612.6202	124.8944
307	1800.5954	-1469.2173	3077.8193	1615.7993	125.3382
308	1809.0617	-1473.5779	3080.8699	1618.9672	125.7820
309	1817.5335	-1477.9368	3083.9079	1622.1240	126.2258
310	1826.0107	-1482.2937	3086.9333	1625.2695	126.6695
311	1834.4934	-1486.6489	3089.9460	1628.4038	127.1133
312	1842.9815	-1491.0022	3092.9461	1631.5270	127.5571
313	1851.4750	-1495.3537	3095.9337	1634.6390	128.0008
314	1859.9738	-1499.7033	3098.9088	1637.7398	128.4445
