i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
139	16696.3412	-10361.9066	694659.3412	3521801.0934	5377614.0523	6.7442e+04
140	16787.9442	-10402.0177	694750.9442	3521760.9823	5377614.0523	6.4601e+04
141	16879.5471	-10442.1288	694842.5471	3521720.8712	5377614.0523	6.1881e+04
142	16971.1500	-10482.2399	694934.1500	3521680.7601	5377614.0523	5.9277e+04
143	17062.7530	-10522.3511	695025.7530	3521640.6489	5377614.0523	5.6783e+04
144	17154.3559	-10562.4622	695117.3559	3521600.5378	5377614.0523	5.4394e+04
145	17245.9589	-10602.5733	695208.9589	3521560.4267	5377614.0523	5.2107e+04
146	17337.5618	-10642.6844	695300.5618	3521520.3156	5377614.0523	4.9917e+04
147	17429.1648	-10682.7955	695392.1648	3521480.2045	5377614.0523	4.7820e+04
148	17520.7677	-10722.9066	695483.7677	3521440.0934	5377614.0523	4.5811e+04
149	17612.3706	-10763.0177	695575.3706	3521399.9823	5377614.0523	4.3887e+04
150	17703.9736	-10803.1288	695666.9736	3521359.8712	5377614.0523	4.2045e+04
151	17795.5765	-10843.2399	695758.5765	3521319.7601	5377614.0523	4.0281e+04
152	17887.1795	-10883.3510	695850.1795	3521279.6490	5377614.0523	3.8591e+04
153	17978.7824	-10923.4621	695941.7824	3521239.5379	5377614.0523	3.6973e+04
154	18070.3853	-10963.5732	696033.3853	3521199.4268	5377614.0523	3.5423e+04
155	18161.9883	-11003.6844	696124.9883	3521159.3156	5377614.0523	3.3939e+04
156	18253.5912	-11043.7955	696216.5912	3521119.2045	5377614.0523	3.2517e+04
157	18345.1942	-11083.9066	696308.1942	3521079.0934	5377614.0523	3.1155e+04
158	18436.7971	-11124.0177	696399.7971	3521038.9823	5377614.0523	2.9851e+04
159	18528.4001	-11164.1288	696491.4001	3520998.8712	5377614.0523	2.8601e+04
160	18620.0030	-11204.2399	696583.0030	3520958.7601	5377614.0523	2.7405e+04
161	18711.6059	-11244.3510	696674.6059	3520918.6490	5377614.0523	2.6259e+04
162	18803.2089	-11284.4621	696766.2089	3520878.5379	5377614.0523	2.5161e+04
163	18894.8118	-11324.5732	696857.8118	3520838.4268	5377614.0523	2.4109e+04
164	18986.4148	-11364.6843	696949.4148	3520798.3157	5377614.0523	2.3102e+04
165	19078.0177	-11404.7954	697041.0177	3520758.2046	5377614.0523	2.2137e+04
166	19169.6207	-11444.9065	697132.6207	3520718.0935	5377614.0523	2.1212e+04
167	19261.2236	-11485.0177	697224.2236	3520677.9823	5377614.0523	2.0327e+04
168	19352.8265	-11525.1288	697315.8265	3520637.8712	5377614.0523	1.9479e+04
169	19444.4295	-11565.2399	697407.4295	3520597.7601	5377614.0523	1.8666e+04
170	19536.0324	-11605.3510	697499.0324	3520557.6490	5377614.0523	1.7888e+04
171	19627.6354	-11645.4621	697590.6354	3520517.5379	5377614.0523	1.7142e+04
172	19719.2383	-11685.5732	697682.2383	3520477.4268	5377614.0523	1.6427e+04
173	19810.8412	-11725.6843	697773.8412	3520437.3157	5377614.0523	1.5743e+04
174	19902.4442	-11765.7954	697865.4442	3520397.2046	5377614.0523	1.5087e+04
175	19994.0471	-11805.9065	697957.0471	3520357.0935	5377614.0523	1.4459e+04
176	20085.6501	-11846.0176	698048.6501	3520316.9824	5377614.0523	1.3857e+04
177	20177.2530	-11886.1287	698140.2530	3520276.8713	5377614.0523	1.3280e+04
178	20268.8560	-11926.2399	698231.8560	3520236.7601	5377614.0523	1.2728e+04
179	20360.4589	-11966.3510	698323.4589	3520196.6490	5377614.0523	1.2198e+04
180	20452.0618	-12006.4621	698415.0618	3520156.5379	5377614.0523	1.1691e+04
181	20543.6648	-12046.5732	698506.6648	3520116.4268	5377614.0523	1.1205e+04
182	20635.2677	-12086.6843	698598.2677	3520076.3157	5377614.0523	1.0740e+04
183	20726.8707	-12126.7954	698689.8707	3520036.2046	5377614.0523	1.0294e+04
184	20818.4736	-12166.9065	698781.4736	3519996.0935	5377614.0523	9.8662e+03
185	20910.0765	-12207.0176	698873.0765	3519955.9824	5377614.0523	9.4566e+03
186	21001.6795	-12247.1287	698964.6795	3519915.8713	5377614.0523	9.0641e+03
187	21093.2824	-12287.2398	699056.2824	3519875.7602	5377614.0523	8.6880e+03
188	21184.8854	-12327.3509	699147.8854	3519835.6491	5377614.0523	8.3277e+03
189	21276.4883	-12367.4620	699239.4883	3519795.5380	5377614.0523	7.9823e+03
190	21368.0913	-12407.5732	699331.0913	3519755.4268	5377614.0523	7.6514e+03
191	21459.6942	-12447.6843	699422.6942	3519715.3157	5377614.0523	7.3344e+03
192	21551.2971	-12487.7954	699514.2971	3519675.2046	5377614.0523	7.0305e+03
193	21642.9001	-12527.9065	699605.9001	3519635.0935	5377614.0523	6.7393e+03
194	21734.5030	-12568.0176	699697.5030	3519594.9824	5377614.0523	6.4603e+03
195	21826.1060	-12608.1287	699789.1060	3519554.8713	5377614.0523	6.1928e+03
196	21917.7089	-12648.2398	699880.7089	3519514.7602	5377614.0523	5.9366e+03
197	22009.3119	-12688.3509	699972.3119	3519474.6491	5377614.0523	5.6910e+03
198	22100.9148	-12728.4620	700063.9148	3519434.5380	5377614.0523	5.4556e+03
199	22192.5177	-12768.5731	700155.5177	3519394.4269	5377614.0523	5.2300e+03
200	22284.1207	-12808.6842	700247.1207	3519354.3158	5377614.0523	5.0138e+03
201	22375.7236	-12848.7954	700338.7236	3519314.2046	5377614.0523	4.8067e+03
202	22467.3266	-12888.9065	700430.3266	3519274.0935	5377614.0523	4.6081e+03
203	22558.9295	-12929.0176	700521.9295	3519233.9824	5377614.0523	4.4178e+03
204	22650.5324	-12969.1287	700613.5324	3519193.8713	5377614.0523	4.2354e+03
205	22742.1354	-13009.2398	700705.1354	3519153.7602	5377614.0523	4.0605e+03
206	22833.7383	-13049.3509	700796.7383	3519113.6491	5377614.0523	3.8930e+03
207	22925.3413	-13089.4620	700888.3413	3519073.5380	5377614.0523	3.7324e+03
208	23016.9442	-13129.5731	700979.9442	3519033.4269	5377614.0523	3.5784e+03
209	23108.5472	-13169.6842	701071.5472	3518993.3158	5377614.0523	3.4309e+03
210	23200.1501	-13209.7953	701163.1501	3518953.2047	5377614.0523	3.2894e+03
211	23291.7530	-13249.9064	701254.7530	3518913.0936	5377614.0523	3.1539e+03
212	23383.3560	-13290.0175	701346.3560	3518872.9825	5377614.0523	3.0239e+03
213	23474.9589	-13330.1287	701437.9589	3518832.8713	5377614.0523	2.8994e+03
214	23566.5619	-13370.2398	701529.5619	3518792.7602	5377614.0523	2.7800e+03
215	23658.1648	-13410.3509	701621.1648	3518752.6491	5377614.0523	2.6656e+03
216	23749.7677	-13450.4620	701712.7677	3518712.5380	5377614.0523	2.5559e+03
217	23841.3707	-13490.5731	701804.3707	3518672.4269	5377614.0523	2.4507e+03
218	23932.9736	-13530.6842	701895.9736	3518632.3158	5377614.0523	2.3499e+03
219	24024.5766	-13570.7953	701987.5766	3518592.2047	5377614.0523	2.2533e+03
220	24116.1795	-13610.9064	702079.1795	3518552.0936	5377614.0523	2.1606e+03
221	24207.7825	-13651.0175	702170.7825	3518511.9825	5377614.0523	2.0718e+03
222	24299.3854	-13691.1286	702262.3854	3518471.8714	5377614.0523	1.9867e+03
223	24390.9883	-13731.2397	702353.9883	3518431.7603	5377614.0523	1.9051e+03
224	24482.5913	-13771.3508	702445.5913	3518391.6492	5377614.0523	1.8268e+03
225	24574.1942	-13811.4620	702537.1942	3518351.5380	5377614.0523	1.7518e+03
226	24665.7972	-13851.5731	702628.7972	3518311.4269	5377614.0523	1.6799e+03
227	24757.4001	-13891.6842	702720.4001	3518271.3158	5377614.0523	1.6110e+03
228	24849.0030	-13931.7953	702812.0030	3518231.2047	5377614.0523	1.5449e+03
229	24940.6060	-13971.9064	702903.6060	3518191.0936	5377614.0523	1.4815e+03
230	25032.2089	-14012.0175	702995.2089	3518150.9825	5377614.0523	1.4207e+03
231	25123.8119	-14052.1286	703086.8119	3518110.8714	5377614.0523	1.3625e+03
232	25215.4148	-14092.2397	703178.4148	3518070.7603	5377614.0523	1.3067e+03
233	25307.0178	-14132.3508	703270.0178	3518030.6492	5377614.0523	1.2531e+03
234	25398.6207	-14172.4619	703361.6207	3517990.5381	5377614.0523	1.2018e+03
235	25490.2236	-14212.5730	703453.2236	3517950.4270	5377614.0523	1.1526e+03
236	25581.8266	-14252.6842	703544.8266	3517910.3158	5377614.0523	1.1054e+03
237	25673.4295	-14292.7953	703636.4295	3517870.2047	5377614.0523	1.0601e+03
238	25765.0325	-14332.9064	703728.0325	3517830.0936	5377614.0523	1.0167e+03
239	25856.6354	-14373.0175	703819.6354	3517789.9825	5377614.0523	9.7512e+02
240	25948.2384	-14413.1286	703911.2384	3517749.8714	5377614.0523	9.3523e+02
241	26039.8413	-14453.2397	704002.8413	3517709.7603	5377614.0523	8.9698e+02
242	26131.4442	-14493.3508	704094.4442	3517669.6492	5377614.0523	8.6031e+02
243	26223.0472	-14533.4619	704186.0472	3517629.5381	5377614.0523	8.2514e+02
244	26314.6501	-14573.5730	704277.6501	3517589.4270	5377614.0523	7.9142e+02
245	26406.2531	-14613.6841	704369.2531	3517549.3159	5377614.0523	7.5908e+02
246	26497.8560	-14653.7952	704460.8560	3517509.2048	5377614.0523	7.2807e+02
247	26589.4589	-14693.9063	704552.4589	3517469.0937	5377614.0523	6.9834e+02
248	26681.0619	-14734.0175	704644.0619	3517428.9825	5377614.0523	6.6983e+02
249	26772.6648	-14774.1286	704735.6648	3517388.8714	5377614.0523	6.4248e+02
250	26864.2678	-14814.2397	704827.2678	3517348.7603	5377614.0523	6.1626e+02
251	26955.8707	-14854.3508	704918.8707	3517308.6492	5377614.0523	5.9112e+02
252	27047.4737	-14894.4619	705010.4737	3517268.5381	5377614.0523	5.6700e+02
253	27139.0766	-14934.5730	705102.0766	3517228.4270	5377614.0523	5.4388e+02
254	27230.6795	-14974.6841	705193.6795	3517188.3159	5377614.0523	5.2170e+02
255	27322.2825	-15014.7952	705285.2825	3517148.2048	5377614.0523	5.0044e+02
256	27413.8854	-15054.9063	705376.8854	3517108.0937	5377614.0523	4.8004e+02
257	27505.4884	-15095.0174	705468.4884	3517067.9826	5377614.0523	4.6048e+02
258	27597.0913	-15135.1285	705560.0913	3517027.8715	5377614.0523	4.4172e+02
259	27688.6942	-15175.2397	705651.6942	3516987.7603	5377614.0523	4.2373e+02
260	27780.2972	-15215.3508	705743.2972	3516947.6492	5377614.0523	4.0648e+02
261	27871.9001	-15255.4619	705834.9001	3516907.5381	5377614.0523	3.8993e+02
262	27963.5031	-15295.5730	705926.5031	3516867.4270	5377614.0523	3.7406e+02
263	28055.1060	-15335.6841	706018.1060	3516827.3159	5377614.0523	3.5884e+02
264	28146.7090	-15375.7952	706109.7090	3516787.2048	5377614.0523	3.4424e+02
265	28238.3119	-15415.9063	706201.3119	3516747.0937	5377614.0523	3.3024e+02
266	28329.9148	-15456.0174	706292.9148	3516706.9826	5377614.0523	3.1681e+02
267	28421.5178	-15496.1285	706384.5178	3516666.8715	5377614.0523	3.0393e+02
268	28513.1207	-15536.2396	706476.1207	3516626.7604	5377614.0523	2.9157e+02
269	28604.7237	-15576.3507	706567.7237	3516586.6493	5377614.0523	2.7973e+02
