x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
658000	3513000	24	27672.0	3.7367e-06	100.0000	4.1370	5.3540e-07	3.1778e-06	2.3507e-08	0.0000e+00	4.4701e-43	2.0390e-41	1.8660e-41	4.0582e-42	3.3491e-43	0.0000e+00
659000	3513000	25	26959.5	4.3887e-06	100.0000	4.1175	5.5229e-07	3.8000e-06	3.6480e-08	0.0000e+00	1.0689e-40	4.6581e-39	4.2260e-39	9.1894e-40	8.0568e-41	3.0632e-42
660000	3513000	26	26265.8	5.1988e-06	100.0000	4.0987	5.6963e-07	4.5729e-06	5.6335e-08	0.0000e+00	2.1551e-38	8.8789e-37	7.8987e-37	1.6990e-37	1.4793e-38	5.6313e-40
661000	3513000	26	25592.3	6.2292e-06	100.0000	4.0804	5.8816e-07	5.5540e-06	8.7034e-08	2.0291e-42	3.7129e-36	1.4158e-34	1.2215e-34	2.5751e-35	2.2097e-36	8.3297e-38
662000	3513000	25	24940.7	7.5749e-06	100.0000	4.0625	6.0880e-07	6.8307e-06	1.3544e-07	9.2494e-40	5.4853e-34	1.8929e-32	1.5652e-32	3.2031e-33	2.6879e-34	9.9726e-36
663000	3513000	23	24312.8	9.3860e-06	100.0000	4.0445	6.3263e-07	8.5388e-06	2.1451e-07	4.7541e-37	6.9698e-32	2.1264e-30	1.6645e-30	3.2732e-31	2.6646e-32	9.6685e-34
664000	3513000	18	23710.5	1.1873e-05	100.0000	4.0262	6.6004e-07	1.0864e-05	3.4924e-07	2.4018e-34	7.6111e-30	2.0061e-28	1.4678e-28	2.7465e-29	2.1517e-30	7.5874e-32
665000	3513000	12	23135.7	1.5363e-05	100.0000	4.0064	6.9103e-07	1.4079e-05	5.9262e-07	1.0658e-31	7.1286e-28	1.5875e-26	1.0720e-26	1.8904e-27	1.4142e-28	4.8162e-30
666000	3513000	6	22590.6	1.9971e-05	100.0000	3.9862	7.2112e-07	1.8253e-05	9.9623e-07	3.5984e-29	5.6298e-26	1.0415e-24	6.4230e-25	1.0595e-25	7.5235e-27	2.4623e-28
667000	3513000	9	22077.3	2.4698e-05	100.0000	3.9732	7.3906e-07	2.2558e-05	1.4012e-06	7.5475e-27	3.6233e-24	5.5327e-23	3.0985e-23	4.7658e-24	3.2040e-25	1.0054e-26
668000	3513000	12	21598.2	3.0575e-05	100.0000	3.9612	7.5661e-07	2.7874e-05	1.9444e-06	1.2393e-24	1.9838e-22	2.4534e-21	1.2320e-21	1.7520e-22	1.1074e-23	3.3127e-25
669000	3513000	163	21155.5	1.7184e-05	100.0000	4.0071	5.6564e-07	1.6174e-05	4.4448e-07	7.0837e-24	5.1067e-21	5.9419e-20	2.8845e-20	4.0437e-21	2.5347e-22	7.5451e-24
670000	3513000	61	20751.6	3.7190e-05	100.0000	3.9547	7.2282e-07	3.4059e-05	2.4077e-06	7.0852e-21	3.1125e-19	2.5114e-18	9.9915e-19	1.2080e-19	6.7152e-21	1.8164e-22
