massloading(kg/m2)	area(sqkm)	sqrtA(km)	dist_from_vent(m)	x(m)	y(m)	dir(deg)	Mean(phi)	F(percent)
2.3135e+01	28.0800	5.2991	9215.6789	6037.00	-6963.00	139.1	0.1149	35.0368
2.2904e+01	28.4400	5.3329	9336.6556	6437.00	-6763.00	136.4	0.0395	31.2770
2.2799e+01	28.5600	5.3442	9347.9162	6237.00	-6963.00	138.1	0.0988	34.1084
2.2359e+01	29.0800	5.3926	9482.5280	6437.00	-6963.00	137.2	0.0842	33.2438
2.2022e+01	29.6000	5.4406	9497.8281	6237.00	-7163.00	139.0	0.1426	36.0490
2.1870e+01	29.8400	5.4626	9619.4146	6637.00	-6963.00	136.4	0.0677	32.2742
2.1667e+01	30.2000	5.4955	9630.3446	6437.00	-7163.00	138.1	0.1319	35.3864
2.1339e+01	30.5600	5.5281	9765.1594	6637.00	-7163.00	137.2	0.1118	34.2491
2.0893e+01	31.3600	5.6000	9780.0173	6437.00	-7363.00	138.8	0.1783	37.4812
2.0829e+01	31.4400	5.6071	9902.1784	6837.00	-7163.00	136.3	0.1030	33.6686
2.0642e+01	31.7200	5.6321	9912.7967	6637.00	-7363.00	138.0	0.1620	36.5529
2.0377e+01	32.0400	5.6604	10041.3116	7037.00	-7163.00	135.5	0.0835	32.5262
2.0311e+01	32.2000	5.6745	10047.8026	6837.00	-7363.00	137.1	0.1465	35.6465
1.9937e+01	32.8800	5.7341	10184.9466	7037.00	-7363.00	136.3	0.1295	34.6474
1.9682e+01	33.6000	5.7966	10195.2704	6837.00	-7563.00	137.9	0.1921	37.7544
1.9488e+01	33.7200	5.8069	10324.1435	7237.00	-7363.00	135.5	0.1153	33.7841
1.9383e+01	34.0000	5.8310	10330.4568	7037.00	-7563.00	137.1	0.1775	36.8986
1.9037e+01	34.6400	5.8856	10467.7189	7237.00	-7563.00	136.3	0.1625	36.0063
1.8762e+01	35.3200	5.9431	10477.7640	7037.00	-7763.00	137.8	0.2240	39.0832
1.8644e+01	35.6000	5.9666	10606.9759	7437.00	-7563.00	135.5	0.1478	35.1205
1.8520e+01	35.7600	5.9800	10608.3711	7637.00	-7363.00	134.0	0.0834	31.8165
1.8506e+01	35.8000	5.9833	10613.1210	7237.00	-7763.00	137.0	0.2091	38.2194
1.8224e+01	36.3200	6.0266	10748.1504	7637.00	-7563.00	134.7	0.1325	34.1794
