s	phi0.0	phi-0.1	phi-0.2	phi-0.3	phi-0.4	phi-0.5	phi-0.6	phi-0.7	phi-0.8	phi-0.9
562	7.0688	3.0549	1.2340	0.4638	0.1613	0.0517	0.0113	0.0058	0.0029	0.0014
563	6.9120	2.9823	1.2026	0.4511	0.1566	0.0501	0.0109	0.0056	0.0028	0.0013
564	6.7586	2.9114	1.1720	0.4388	0.1521	0.0485	0.0105	0.0054	0.0027	0.0013
565	6.6087	2.8422	1.1422	0.4269	0.1476	0.0470	0.0102	0.0052	0.0026	0.0012
566	6.4621	2.7747	1.1131	0.4153	0.1433	0.0455	0.0098	0.0050	0.0025	0.0012
567	6.3187	2.7088	1.0848	0.4039	0.1391	0.0441	0.0095	0.0048	0.0024	0.0012
568	6.1785	2.6444	1.0572	0.3929	0.1351	0.0427	0.0092	0.0047	0.0023	0.0011
569	6.0414	2.5816	1.0303	0.3822	0.1311	0.0414	0.0089	0.0045	0.0022	0.0011
570	5.9074	2.5203	1.0041	0.3718	0.1273	0.0401	0.0086	0.0043	0.0021	0.0010
571	5.7764	2.4604	0.9786	0.3617	0.1236	0.0388	0.0083	0.0042	0.0021	0.0010
572	5.6482	2.4019	0.9537	0.3518	0.1200	0.0376	0.0080	0.0040	0.0020	0.0010
573	5.5229	2.3449	0.9294	0.3422	0.1165	0.0365	0.0077	0.0039	0.0019	0.0009
574	5.4004	2.2892	0.9057	0.3329	0.1131	0.0353	0.0075	0.0038	0.0019	0.0009
575	5.2806	2.2348	0.8827	0.3239	0.1098	0.0342	0.0072	0.0036	0.0018	0.0009
576	5.1634	2.1817	0.8602	0.3150	0.1066	0.0331	0.0070	0.0035	0.0017	0.0008
577	5.0488	2.1298	0.8384	0.3064	0.1035	0.0321	0.0067	0.0034	0.0017	0.0008
578	4.9368	2.0792	0.8170	0.2981	0.1005	0.0311	0.0065	0.0033	0.0016	0.0008
579	4.8273	2.0298	0.7962	0.2900	0.0975	0.0301	0.0063	0.0031	0.0015	0.0007
580	4.7202	1.9816	0.7760	0.2821	0.0947	0.0292	0.0061	0.0030	0.0015	0.0007
581	4.6155	1.9345	0.7562	0.2744	0.0919	0.0283	0.0059	0.0029	0.0014	0.0007
582	4.5131	1.8886	0.7370	0.2669	0.0893	0.0274	0.0057	0.0028	0.0014	0.0007
583	4.4130	1.8437	0.7182	0.2596	0.0866	0.0265	0.0055	0.0027	0.0013	0.0006
584	4.3151	1.7999	0.7000	0.2526	0.0841	0.0257	0.0053	0.0026	0.0013	0.0006
585	4.2193	1.7571	0.6822	0.2457	0.0817	0.0249	0.0051	0.0025	0.0012	0.0006
586	4.1257	1.7154	0.6648	0.2390	0.0793	0.0241	0.0049	0.0025	0.0012	0.0006
587	4.0342	1.6746	0.6479	0.2325	0.0770	0.0234	0.0048	0.0024	0.0011	0.0005
588	3.9447	1.6348	0.6314	0.2262	0.0747	0.0227	0.0046	0.0023	0.0011	0.0005
589	3.8572	1.5960	0.6153	0.2200	0.0725	0.0219	0.0044	0.0022	0.0011	0.0005
590	3.7716	1.5581	0.5997	0.2140	0.0704	0.0213	0.0043	0.0021	0.0010	0.0005
591	3.6879	1.5211	0.5844	0.2082	0.0684	0.0206	0.0041	0.0020	0.0010	0.0005
592	3.6061	1.4849	0.5696	0.2025	0.0664	0.0200	0.0040	0.0020	0.0010	0.0004
593	3.5261	1.4496	0.5551	0.1970	0.0644	0.0193	0.0039	0.0019	0.0009	0.0004
594	3.4479	1.4152	0.5410	0.1916	0.0626	0.0187	0.0037	0.0018	0.0009	0.0004
595	3.3714	1.3816	0.5272	0.1864	0.0607	0.0181	0.0036	0.0018	0.0009	0.0004
596	3.2966	1.3487	0.5138	0.1813	0.0590	0.0176	0.0035	0.0017	0.0008	0.0004
597	3.2234	1.3167	0.5007	0.1764	0.0572	0.0170	0.0034	0.0017	0.0008	0.0004
598	3.1519	1.2854	0.4880	0.1716	0.0556	0.0165	0.0033	0.0016	0.0008	0.0004
599	3.0820	1.2549	0.4755	0.1669	0.0540	0.0160	0.0031	0.0015	0.0007	0.0003
600	3.0136	1.2251	0.4635	0.1624	0.0524	0.0155	0.0030	0.0015	0.0007	0.0003
601	2.9468	1.1960	0.4517	0.1579	0.0509	0.0150	0.0029	0.0014	0.0007	0.0003
602	2.8814	1.1675	0.4402	0.1536	0.0494	0.0145	0.0028	0.0014	0.0007	0.0003
603	2.8175	1.1398	0.4290	0.1494	0.0479	0.0141	0.0027	0.0013	0.0006	0.0003
604	2.7550	1.1127	0.4181	0.1454	0.0465	0.0136	0.0026	0.0013	0.0006	0.0003
605	2.6938	1.0863	0.4074	0.1414	0.0452	0.0132	0.0026	0.0012	0.0006	0.0003
606	2.6341	1.0605	0.3971	0.1376	0.0439	0.0128	0.0025	0.0012	0.0006	0.0003
607	2.5756	1.0353	0.3870	0.1338	0.0426	0.0124	0.0024	0.0012	0.0005	0.0002
608	2.5185	1.0107	0.3771	0.1302	0.0413	0.0120	0.0023	0.0011	0.0005	0.0002
609	2.4626	0.9867	0.3675	0.1266	0.0401	0.0116	0.0022	0.0011	0.0005	0.0002
610	2.4080	0.9632	0.3582	0.1232	0.0390	0.0113	0.0021	0.0010	0.0005	0.0002
611	2.3546	0.9403	0.3490	0.1198	0.0378	0.0109	0.0021	0.0010	0.0005	0.0002
612	2.3023	0.9180	0.3402	0.1165	0.0367	0.0106	0.0020	0.0010	0.0005	0.0002
613	2.2512	0.8962	0.3315	0.1134	0.0357	0.0102	0.0019	0.0009	0.0004	0.0002
614	2.2013	0.8749	0.3231	0.1103	0.0346	0.0099	0.0019	0.0009	0.0004	0.0002
615	2.1525	0.8541	0.3149	0.1073	0.0336	0.0096	0.0018	0.0009	0.0004	0.0002
616	2.1047	0.8338	0.3068	0.1044	0.0326	0.0093	0.0017	0.0008	0.0004	0.0002
617	2.0580	0.8140	0.2990	0.1015	0.0317	0.0090	0.0017	0.0008	0.0004	0.0002
618	2.0124	0.7947	0.2914	0.0987	0.0307	0.0087	0.0016	0.0008	0.0004	0.0002
619	1.9677	0.7758	0.2840	0.0961	0.0298	0.0085	0.0016	0.0008	0.0003	0.0002
620	1.9241	0.7574	0.2768	0.0934	0.0290	0.0082	0.0015	0.0007	0.0003	0.0002
621	1.8814	0.7394	0.2698	0.0909	0.0281	0.0080	0.0015	0.0007	0.0003	0.0001
622	1.8396	0.7218	0.2629	0.0884	0.0273	0.0077	0.0014	0.0007	0.0003	0.0001
623	1.7988	0.7046	0.2562	0.0860	0.0265	0.0075	0.0014	0.0007	0.0003	0.0001
624	1.7589	0.6879	0.2497	0.0837	0.0257	0.0072	0.0013	0.0006	0.0003	0.0001
625	1.7199	0.6716	0.2433	0.0814	0.0250	0.0070	0.0013	0.0006	0.0003	0.0001
626	1.6817	0.6556	0.2371	0.0792	0.0243	0.0068	0.0012	0.0006	0.0003	0.0001
627	1.6444	0.6400	0.2311	0.0770	0.0236	0.0066	0.0012	0.0006	0.0003	0.0001
628	1.6079	0.6248	0.2252	0.0749	0.0229	0.0064	0.0012	0.0005	0.0003	0.0001
629	1.5723	0.6100	0.2195	0.0729	0.0222	0.0062	0.0011	0.0005	0.0002	0.0001
630	1.5374	0.5955	0.2139	0.0709	0.0216	0.0060	0.0011	0.0005	0.0002	0.0001
631	1.5033	0.5813	0.2085	0.0690	0.0209	0.0058	0.0010	0.0005	0.0002	0.0001
632	1.4699	0.5675	0.2032	0.0671	0.0203	0.0056	0.0010	0.0005	0.0002	0.0001
633	1.4373	0.5540	0.1980	0.0653	0.0197	0.0054	0.0010	0.0005	0.0002	0.0001
634	1.4054	0.5409	0.1930	0.0635	0.0191	0.0053	0.0009	0.0004	0.0002	0.0001
635	1.3742	0.5280	0.1880	0.0617	0.0186	0.0051	0.0009	0.0004	0.0002	0.0001
636	1.3438	0.5155	0.1833	0.0601	0.0180	0.0049	0.0009	0.0004	0.0002	0.0001
637	1.3139	0.5032	0.1786	0.0584	0.0175	0.0048	0.0008	0.0004	0.0002	0.0001
638	1.2848	0.4913	0.1741	0.0568	0.0170	0.0046	0.0008	0.0004	0.0002	0.0001
639	1.2563	0.4796	0.1696	0.0553	0.0165	0.0045	0.0008	0.0004	0.0002	0.0001
640	1.2284	0.4682	0.1653	0.0538	0.0160	0.0044	0.0008	0.0004	0.0002	0.0001
641	1.2012	0.4571	0.1611	0.0523	0.0156	0.0042	0.0007	0.0003	0.0002	0.0001
642	1.1745	0.4462	0.1570	0.0509	0.0151	0.0041	0.0007	0.0003	0.0001	0.0001
643	1.1485	0.4356	0.1530	0.0495	0.0147	0.0040	0.0007	0.0003	0.0001	0.0001
644	1.1230	0.4253	0.1491	0.0482	0.0142	0.0038	0.0007	0.0003	0.0001	0.0001
645	1.0981	0.4152	0.1453	0.0468	0.0138	0.0037	0.0006	0.0003	0.0001	0.0001
646	1.0737	0.4053	0.1416	0.0456	0.0134	0.0036	0.0006	0.0003	0.0001	0.0001
647	1.0499	0.3957	0.1380	0.0443	0.0130	0.0035	0.0006	0.0003	0.0001	0.0001
648	1.0266	0.3863	0.1345	0.0431	0.0126	0.0034	0.0006	0.0003	0.0001	0.0001
649	1.0038	0.3771	0.1311	0.0419	0.0123	0.0033	0.0006	0.0003	0.0001	0.0000
650	0.9815	0.3681	0.1278	0.0408	0.0119	0.0032	0.0005	0.0002	0.0001	0.0000
651	0.9598	0.3594	0.1245	0.0397	0.0116	0.0031	0.0005	0.0002	0.0001	0.0000
652	0.9385	0.3509	0.1213	0.0386	0.0112	0.0030	0.0005	0.0002	0.0001	0.0000
653	0.9177	0.3425	0.1183	0.0376	0.0109	0.0029	0.0005	0.0002	0.0001	0.0000
654	0.8973	0.3344	0.1152	0.0365	0.0106	0.0028	0.0005	0.0002	0.0001	0.0000
655	0.8774	0.3264	0.1123	0.0355	0.0103	0.0027	0.0005	0.0002	0.0001	0.0000
656	0.8579	0.3187	0.1095	0.0346	0.0100	0.0026	0.0004	0.0002	0.0001	0.0000
657	0.8389	0.3111	0.1067	0.0336	0.0097	0.0025	0.0004	0.0002	0.0001	0.0000
658	0.8203	0.3037	0.1040	0.0327	0.0094	0.0025	0.0004	0.0002	0.0001	0.0000
659	0.8021	0.2965	0.1013	0.0318	0.0091	0.0024	0.0004	0.0002	0.0001	0.0000
660	0.7843	0.2895	0.0987	0.0310	0.0089	0.0023	0.0004	0.0002	0.0001	0.0000
661	0.7669	0.2826	0.0962	0.0301	0.0086	0.0022	0.0004	0.0002	0.0001	0.0000
662	0.7499	0.2759	0.0938	0.0293	0.0084	0.0022	0.0004	0.0002	0.0001	0.0000
663	0.7332	0.2693	0.0914	0.0285	0.0081	0.0021	0.0003	0.0002	0.0001	0.0000
664	0.7170	0.2629	0.0891	0.0277	0.0079	0.0020	0.0003	0.0002	0.0001	0.0000
665	0.7011	0.2567	0.0868	0.0270	0.0076	0.0020	0.0003	0.0001	0.0001	0.0000
666	0.6855	0.2506	0.0846	0.0262	0.0074	0.0019	0.0003	0.0001	0.0001	0.0000
667	0.6703	0.2446	0.0824	0.0255	0.0072	0.0018	0.0003	0.0001	0.0001	0.0000
668	0.6554	0.2388	0.0803	0.0248	0.0070	0.0018	0.0003	0.0001	0.0001	0.0000
669	0.6409	0.2331	0.0783	0.0241	0.0068	0.0017	0.0003	0.0001	0.0001	0.0000
670	0.6267	0.2276	0.0763	0.0235	0.0066	0.0017	0.0003	0.0001	0.0001	0.0000
671	0.6128	0.2222	0.0744	0.0228	0.0064	0.0016	0.0003	0.0001	0.0001	0.0000
672	0.5992	0.2169	0.0725	0.0222	0.0062	0.0016	0.0003	0.0001	0.0000	0.0000
673	0.5859	0.2118	0.0706	0.0216	0.0060	0.0015	0.0002	0.0001	0.0000	0.0000
674	0.5729	0.2067	0.0688	0.0210	0.0059	0.0015	0.0002	0.0001	0.0000	0.0000
675	0.5602	0.2018	0.0671	0.0205	0.0057	0.0014	0.0002	0.0001	0.0000	0.0000
676	0.5477	0.1970	0.0654	0.0199	0.0055	0.0014	0.0002	0.0001	0.0000	0.0000
677	0.5356	0.1923	0.0637	0.0194	0.0054	0.0013	0.0002	0.0001	0.0000	0.0000
678	0.5237	0.1878	0.0621	0.0188	0.0052	0.0013	0.0002	0.0001	0.0000	0.0000
679	0.5121	0.1833	0.0605	0.0183	0.0051	0.0013	0.0002	0.0001	0.0000	0.0000
680	0.5007	0.1789	0.0590	0.0178	0.0049	0.0012	0.0002	0.0001	0.0000	0.0000
681	0.4896	0.1747	0.0575	0.0173	0.0048	0.0012	0.0002	0.0001	0.0000	0.0000
682	0.4788	0.1705	0.0560	0.0169	0.0046	0.0011	0.0002	0.0001	0.0000	0.0000
683	0.4681	0.1665	0.0546	0.0164	0.0045	0.0011	0.0002	0.0001	0.0000	0.0000
684	0.4577	0.1625	0.0532	0.0160	0.0044	0.0011	0.0002	0.0001	0.0000	0.0000
685	0.4476	0.1587	0.0518	0.0155	0.0042	0.0010	0.0002	0.0001	0.0000	0.0000
