x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
728000	3516500	449	52431.2	1.4722e-03	99.9907	2.9975	0.0000e+00	1.2329e-06	1.4684e-03	4.7448e-07	1.9851e-06	1.3652e-07	2.2708e-10	9.2110e-14	9.3185e-19	1.2004e-25
728500	3516500	396	52908.6	1.6459e-03	99.9947	2.9989	0.0000e+00	1.2815e-06	1.6429e-03	3.0932e-07	1.2923e-06	8.7100e-08	1.3750e-10	5.2406e-14	4.8282e-19	5.4036e-26
729000	3516500	241	53386.4	3.0196e-03	99.9982	2.9998	0.0000e+00	1.3836e-06	3.0171e-03	2.0218e-07	8.4101e-07	5.5621e-08	8.3671e-11	3.0046e-14	2.5279e-19	2.4657e-26
729500	3516500	269	53864.6	2.9415e-03	99.9988	3.0000	0.0000e+00	1.3625e-06	2.9394e-03	1.3097e-07	5.4253e-07	3.4924e-08	4.9525e-11	1.6646e-14	1.2708e-19	1.0732e-26
730000	3516500	269	54343.2	2.9519e-03	99.9993	3.0002	0.0000e+00	1.3546e-06	2.9501e-03	8.4687e-08	3.4868e-07	2.1830e-08	2.9194e-11	9.1884e-15	6.3685e-20	4.6596e-27
730500	3516500	200	54822.1	3.2302e-03	99.9996	3.0003	0.0000e+00	1.3780e-06	3.2285e-03	5.5256e-08	2.2497e-07	1.3670e-08	1.7260e-11	5.0919e-15	3.2081e-20	2.0370e-27
731000	3516500	130	55301.5	4.2191e-03	99.9998	3.0003	0.0000e+00	1.4332e-06	4.2174e-03	3.7565e-08	1.4868e-07	8.6323e-09	1.0207e-11	2.8119e-15	1.6060e-20	8.8318e-28
731500	3516500	72	55781.2	5.3702e-03	99.9999	3.0002	0.0000e+00	1.4874e-06	5.3686e-03	2.5899e-08	9.8934e-08	5.4478e-09	6.0050e-12	1.5414e-15	7.9661e-21	3.7888e-28
732000	3516500	81	56261.2	5.2806e-03	99.9999	3.0003	0.0000e+00	1.4714e-06	5.2791e-03	1.6275e-08	6.1821e-08	3.3060e-09	3.4282e-12	8.2335e-16	3.8588e-21	1.5886e-28
732500	3516500	104	56741.6	4.9849e-03	100.0000	3.0003	0.0000e+00	1.4352e-06	4.9834e-03	9.9266e-09	3.7778e-08	1.9739e-09	1.9296e-12	4.3419e-16	1.8464e-21	6.5808e-29
733000	3516500	87	57222.4	5.1568e-03	100.0000	3.0003	0.0000e+00	1.4532e-06	5.1553e-03	6.4464e-09	2.3999e-08	1.2004e-09	1.0958e-12	2.3015e-16	8.8566e-22	2.7289e-29
733500	3516500	8	57703.4	5.7014e-03	100.0000	3.0003	0.0000e+00	1.5502e-06	5.6998e-03	4.7205e-09	1.6478e-08	7.6025e-10	6.3668e-13	1.2390e-16	4.2921e-22	1.1397e-29
734000	3516500	7	58184.8	5.6525e-03	100.0000	3.0003	0.0000e+00	1.5478e-06	5.6509e-03	2.9717e-09	1.0211e-08	4.5282e-10	3.5396e-13	6.4397e-17	2.0187e-22	4.6329e-30
734500	3516500	23	58666.5	5.4483e-03	100.0000	3.0003	0.0000e+00	1.5248e-06	5.4468e-03	1.7953e-09	6.1396e-09	2.6417e-10	1.9333e-13	3.2977e-17	9.3651e-23	1.8588e-30
735000	3516500	0	59148.5	5.5737e-03	100.0000	3.0003	0.0000e+00	1.5466e-06	5.5721e-03	1.1704e-09	3.8770e-09	1.5796e-10	1.0689e-13	1.7021e-17	4.3633e-23	7.4732e-31
735500	3516500	0	59630.8	5.4981e-03	100.0000	3.0003	0.0000e+00	1.5419e-06	5.4966e-03	7.2415e-10	2.3577e-09	9.2111e-11	5.7883e-14	8.6364e-18	2.0017e-23	2.9612e-31
736000	3516500	0	60113.4	5.4189e-03	100.0000	3.0003	0.0000e+00	1.5370e-06	5.4174e-03	4.4582e-10	1.4256e-09	5.3351e-11	3.1071e-14	4.3478e-18	9.1079e-24	1.1635e-31
736500	3516500	0	60596.3	5.3363e-03	100.0000	3.0003	0.0000e+00	1.5318e-06	5.3348e-03	2.7313e-10	8.5710e-10	3.0693e-11	1.6535e-14	2.1716e-18	4.1104e-24	4.5332e-32
737000	3516500	0	61079.4	5.2505e-03	100.0000	3.0003	0.0000e+00	1.5264e-06	5.2490e-03	1.6650e-10	5.1238e-10	1.7539e-11	8.7247e-15	1.0762e-18	1.8399e-24	1.7514e-32
737500	3516500	0	61562.8	5.1618e-03	100.0000	3.0003	0.0000e+00	1.5208e-06	5.1603e-03	1.0100e-10	3.0457e-10	9.9552e-12	4.5661e-15	5.2913e-19	8.1687e-25	6.7098e-33
738000	3516500	0	62046.5	5.0704e-03	100.0000	3.0003	0.0000e+00	1.5149e-06	5.0689e-03	6.0971e-11	1.8002e-10	5.6125e-12	2.3711e-15	2.5812e-19	3.5971e-25	2.5490e-33
738500	3516500	0	62530.5	4.9767e-03	100.0000	3.0003	0.0000e+00	1.5088e-06	4.9751e-03	3.6625e-11	1.0580e-10	3.1429e-12	1.2222e-15	1.2493e-19	1.5711e-25	9.6026e-34
739000	3516500	0	63014.6	4.8807e-03	100.0000	3.0003	0.0000e+00	1.5025e-06	4.8792e-03	2.1893e-11	6.1826e-11	1.7482e-12	6.2559e-16	5.9991e-20	6.8059e-26	3.5871e-34
739500	3516500	0	63499.1	4.7829e-03	100.0000	3.0003	0.0000e+00	1.4960e-06	4.7814e-03	1.3022e-11	3.5926e-11	9.6583e-13	3.1812e-16	2.8582e-20	2.9243e-26	1.3287e-34
740000	3516500	0	63983.7	4.6835e-03	100.0000	3.0003	0.0000e+00	1.4893e-06	4.6820e-03	7.7081e-12	2.0758e-11	5.3002e-13	1.6076e-16	1.3511e-20	1.2462e-26	4.8806e-35
740500	3516500	0	64468.6	4.5826e-03	100.0000	3.0003	0.0000e+00	1.4824e-06	4.5812e-03	4.5403e-12	1.1927e-11	2.8891e-13	8.0741e-17	6.3364e-21	5.2676e-27	1.7777e-35
741000	3516500	0	64953.8	4.4807e-03	100.0000	3.0003	0.0000e+00	1.4752e-06	4.4792e-03	2.6613e-12	6.8141e-12	1.5642e-13	4.0307e-17	2.9484e-21	2.2084e-27	6.4206e-36
741500	3516500	0	65439.1	4.3778e-03	100.0000	3.0003	0.0000e+00	1.4679e-06	4.3763e-03	1.5523e-12	3.8712e-12	8.4122e-14	2.0000e-17	1.3612e-21	9.1829e-28	2.2995e-36
742000	3516500	0	65924.7	4.2743e-03	100.0000	3.0003	0.0000e+00	1.4604e-06	4.2728e-03	9.0108e-13	2.1870e-12	4.4937e-14	9.8614e-18	6.2348e-22	3.7873e-28	8.1667e-37
742500	3516500	0	66410.5	4.1702e-03	100.0000	3.0003	0.0000e+00	1.4528e-06	4.1688e-03	5.2050e-13	1.2286e-12	2.3843e-14	4.8312e-18	2.8334e-22	1.5493e-28	2.8761e-37
743000	3516500	0	66896.5	4.0660e-03	100.0000	3.0004	0.0000e+00	1.4449e-06	4.0646e-03	2.9920e-13	6.8633e-13	1.2566e-14	2.3512e-18	1.2776e-22	6.2859e-29	1.0044e-37
743500	3516500	0	67382.7	3.9618e-03	100.0000	3.0004	0.0000e+00	1.4369e-06	3.9603e-03	1.7116e-13	3.8127e-13	6.5786e-15	1.1364e-18	5.7152e-23	2.5296e-29	3.4780e-38
744000	3516500	0	67869.1	3.8577e-03	100.0000	3.0004	0.0000e+00	1.4288e-06	3.8563e-03	9.7438e-14	2.1062e-13	3.4208e-15	5.4540e-19	2.5367e-23	1.0097e-29	1.1943e-38
744500	3516500	0	68355.7	3.7540e-03	100.0000	3.0004	0.0000e+00	1.4205e-06	3.7525e-03	5.5202e-14	1.1570e-13	1.7669e-15	2.5989e-19	1.1171e-23	3.9971e-30	4.0665e-39
745000	3516500	0	68842.5	3.6508e-03	100.0000	3.0004	0.0000e+00	1.4120e-06	3.6493e-03	3.1123e-14	6.3209e-14	9.0650e-16	1.2294e-19	4.8807e-24	1.5695e-30	1.3730e-39
745500	3516500	0	69329.5	3.5483e-03	100.0000	3.0004	0.0000e+00	1.4034e-06	3.5469e-03	1.7463e-14	3.4339e-14	4.6196e-16	5.7732e-20	2.1157e-24	6.1125e-31	4.5971e-40
746000	3516500	0	69816.6	3.4466e-03	100.0000	3.0004	0.0000e+00	1.3946e-06	3.4452e-03	9.7510e-15	1.8552e-14	2.3385e-16	2.6910e-20	9.0995e-25	2.3611e-31	1.5262e-40
746500	3516500	0	70304.0	3.3460e-03	100.0000	3.0004	0.0000e+00	1.3857e-06	3.3446e-03	5.4188e-15	9.9676e-15	1.1758e-16	1.2450e-20	3.8829e-25	9.0462e-32	5.0245e-41
747000	3516500	0	70791.5	3.2465e-03	100.0000	3.0004	0.0000e+00	1.3767e-06	3.2452e-03	2.9969e-15	5.3258e-15	5.8725e-17	5.7175e-21	1.6439e-25	3.4376e-32	1.6397e-41
747500	3516500	0	71279.2	3.1483e-03	100.0000	3.0004	0.0000e+00	1.3676e-06	3.1470e-03	1.6495e-15	2.8299e-15	2.9133e-17	2.6061e-21	6.9053e-26	1.2957e-32	5.3039e-42
748000	3516500	0	71767.1	3.0515e-03	100.0000	3.0004	0.0000e+00	1.3583e-06	3.0502e-03	9.0358e-16	1.4955e-15	1.4356e-17	1.1791e-21	2.8779e-26	4.8436e-33	1.6970e-42
748500	3516500	0	72255.1	2.9562e-03	100.0000	3.0005	0.0000e+00	1.3490e-06	2.9548e-03	4.9262e-16	7.8594e-16	7.0272e-18	5.2945e-22	1.1900e-26	1.7959e-33	5.3530e-43
749000	3516500	0	72743.3	2.8624e-03	100.0000	3.0005	0.0000e+00	1.3395e-06	2.8611e-03	2.6729e-16	4.1079e-16	3.4167e-18	2.3597e-22	4.8819e-27	6.6047e-34	1.6115e-43
749500	3516500	0	73231.6	2.7704e-03	100.0000	3.0005	0.0000e+00	1.3299e-06	2.7690e-03	1.4434e-16	2.1353e-16	1.6501e-18	1.0439e-22	1.9871e-27	2.4092e-34	4.9045e-44
750000	3516500	0	73720.1	2.6800e-03	100.0000	3.0005	0.0000e+00	1.3203e-06	2.6787e-03	7.7582e-17	1.1039e-16	7.9163e-19	4.5835e-23	8.0248e-28	8.7160e-35	0.0000e+00
650000	3516000	34	32298.2	1.1453e-07	100.0000	3.9973	0.0000e+00	1.1423e-07	3.0768e-10	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
650500	3516000	33	31866.3	1.1931e-07	100.0000	3.9967	0.0000e+00	1.1891e-07	3.9505e-10	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
651000	3516000	32	31436.4	1.2398e-07	100.0000	3.9959	0.0000e+00	1.2348e-07	5.0396e-10	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
651500	3516000	32	31008.6	1.2871e-07	100.0000	3.9950	0.0000e+00	1.2807e-07	6.4128e-10	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
652000	3516000	31	30583.0	1.3344e-07	100.0000	3.9939	0.0000e+00	1.3263e-07	8.1289e-10	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
652500	3516000	31	30159.7	1.3829e-07	100.0000	3.9926	0.0000e+00	1.3726e-07	1.0291e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
653000	3516000	31	29738.8	1.4314e-07	100.0000	3.9909	0.0000e+00	1.4184e-07	1.2977e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
653500	3516000	32	29320.3	1.4800e-07	100.0000	3.9890	0.0000e+00	1.4637e-07	1.6302e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
654000	3516000	32	28904.5	1.5300e-07	100.0000	3.9866	0.0000e+00	1.5095e-07	2.0448e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
654500	3516000	33	28491.3	1.5809e-07	100.0000	3.9838	0.0000e+00	1.5553e-07	2.5581e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
655000	3516000	34	28081.0	1.6322e-07	100.0000	3.9805	0.0000e+00	1.6004e-07	3.1876e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
655500	3516000	35	27673.6	1.6848e-07	100.0000	3.9765	0.0000e+00	1.6452e-07	3.9613e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
656000	3516000	36	27269.3	1.7389e-07	100.0000	3.9718	0.0000e+00	1.6898e-07	4.9097e-09	0.0000e+00	0.0000e+00	0.0000e+00	3.9236e-44	2.2421e-44	0.0000e+00	0.0000e+00
656500	3516000	38	26868.3	1.7941e-07	100.0000	3.9662	0.0000e+00	1.7335e-07	6.0618e-09	0.0000e+00	0.0000e+00	7.4269e-44	7.5390e-43	4.2179e-43	1.0089e-43	0.0000e+00
657000	3516000	40	26470.5	1.8514e-07	100.0000	3.9597	0.0000e+00	1.7768e-07	7.4646e-09	0.0000e+00	0.0000e+00	1.4840e-42	1.3443e-41	7.5894e-42	1.8735e-42	9.1084e-44
657500	3516000	42	26076.4	1.9105e-07	100.0000	3.9521	0.0000e+00	1.8189e-07	9.1579e-09	0.0000e+00	1.1210e-44	2.5232e-41	2.2785e-40	1.2945e-40	3.2112e-41	1.5807e-42
658000	3516000	45	25685.9	1.9718e-07	100.0000	3.9432	0.0000e+00	1.8598e-07	1.1194e-08	0.0000e+00	2.6204e-43	4.1024e-40	3.6826e-39	2.0989e-39	5.2274e-40	2.5851e-41
658500	3516000	47	25299.2	2.0375e-07	100.0000	3.9329	0.0000e+00	1.9008e-07	1.3664e-08	0.0000e+00	4.3580e-42	6.3874e-39	5.6801e-38	3.2395e-38	8.0833e-39	4.0079e-40
659000	3516000	50	24916.6	2.1066e-07	100.0000	3.9211	0.0000e+00	1.9404e-07	1.6619e-08	0.0000e+00	6.6727e-41	9.5171e-38	8.3541e-37	4.7568e-37	1.1869e-37	5.8931e-39
659500	3516000	53	24538.2	2.1819e-07	100.0000	3.9075	0.0000e+00	1.9801e-07	2.0184e-08	0.0000e+00	9.8543e-40	1.3586e-36	1.1726e-35	6.6494e-36	1.6558e-36	8.2200e-38
660000	3516000	56	24164.3	2.2654e-07	100.0000	3.8918	0.0000e+00	2.0204e-07	2.4502e-08	1.4013e-45	1.4047e-38	1.8594e-35	1.5715e-34	8.8509e-35	2.1950e-35	1.0878e-36
660500	3516000	59	23794.9	2.3599e-07	100.0000	3.8739	0.0000e+00	2.0623e-07	2.9760e-08	1.8637e-43	1.9349e-37	2.4408e-34	2.0113e-33	1.1221e-33	2.7652e-34	1.3660e-35
661000	3516000	62	23430.4	2.4696e-07	100.0000	3.8533	0.0000e+00	2.1073e-07	3.6234e-08	4.8051e-42	2.5796e-36	3.0758e-33	2.4602e-32	1.3557e-32	3.3119e-33	1.6279e-34
661500	3516000	64	23071.0	2.6002e-07	100.0000	3.8296	0.0000e+00	2.1572e-07	4.4300e-08	1.2359e-40	3.3334e-35	3.7242e-32	2.8774e-31	1.5613e-31	3.7720e-32	1.8417e-33
662000	3516000	65	22717.0	2.7599e-07	100.0000	3.8024	0.0000e+00	2.2146e-07	5.4528e-08	3.3101e-39	4.1836e-34	4.3376e-31	3.2205e-30	1.7152e-30	4.0872e-31	1.9784e-32
662500	3516000	65	22368.4	2.9583e-07	100.0000	3.7713	0.0000e+00	2.2817e-07	6.7667e-08	9.1122e-38	5.1050e-33	4.8623e-30	3.4506e-29	1.7976e-29	4.2139e-30	2.0182e-31
663000	3516000	64	22025.8	3.2128e-07	100.0000	3.7355	0.0000e+00	2.3629e-07	8.4992e-08	2.5736e-36	6.0755e-32	5.2550e-29	3.5436e-28	1.7992e-28	4.1365e-29	1.9561e-30
663500	3516000	61	21689.2	3.5511e-07	100.0000	3.6941	0.0000e+00	2.4649e-07	1.0861e-07	7.5172e-35	7.0810e-31	5.4885e-28	3.4935e-27	1.7217e-27	3.8697e-28	1.8024e-29
664000	3516000	55	21359.0	4.0025e-07	100.0000	3.6472	0.0000e+00	2.5903e-07	1.4123e-07	2.2488e-33	8.0845e-30	5.5390e-27	3.3058e-26	1.5750e-26	3.4494e-27	1.5788e-28
664500	3516000	47	21035.6	4.6096e-07	100.0000	3.5945	0.0000e+00	2.7404e-07	1.8692e-07	6.8035e-32	9.0388e-29	5.3980e-26	3.0010e-25	1.3767e-25	2.9289e-26	1.3142e-27
665000	3516000	34	20719.1	5.5025e-07	100.0000	3.5321	0.0000e+00	2.9279e-07	2.5747e-07	2.1441e-30	9.9737e-28	5.1023e-25	2.6217e-24	1.1527e-24	2.3731e-25	1.0411e-26
665500	3516000	15	20410.0	7.2875e-07	100.0000	3.4361	0.0000e+00	3.1779e-07	4.1096e-07	7.5248e-29	1.1038e-26	4.7216e-24	2.2186e-23	9.2896e-24	1.8415e-24	7.8690e-26
666000	3516000	9	20108.6	9.0189e-07	100.0000	3.3681	0.0000e+00	3.3200e-07	5.6989e-07	1.6222e-27	1.0882e-25	3.9739e-23	1.7249e-22	6.9246e-23	1.3287e-23	5.5511e-25
666500	3516000	9	19815.2	1.0343e-06	100.0000	3.3294	0.0000e+00	3.4073e-07	6.9358e-07	2.6921e-26	9.9721e-25	3.1248e-22	1.2563e-21	4.8443e-22	9.0101e-23	3.6840e-24
667000	3516000	48	19530.2	8.1666e-07	100.0000	3.3845	0.0000e+00	3.1401e-07	5.0265e-07	1.4751e-25	7.0922e-24	2.0610e-21	7.9369e-21	3.0010e-21	5.4992e-22	2.2265e-23
