#source	-4	-3	-2	-1	0	1	2	3	4	5
49	2.2676e+04	2.4008e+05	1.2281e+06	3.4714e+06	6.1012e+06	6.5150e+06	3.8489e+06	1.4437e+06	2.5948e+05	2.6371e+04
50	2.0117e+04	2.2023e+05	1.1542e+06	3.3200e+06	5.9199e+06	6.4105e+06	3.8170e+06	1.4376e+06	2.5909e+05	2.6361e+04
51	1.7849e+04	2.0204e+05	1.0847e+06	3.1752e+06	5.7441e+06	6.3078e+06	3.7854e+06	1.4316e+06	2.5870e+05	2.6351e+04
52	1.5838e+04	1.8536e+05	1.0195e+06	3.0369e+06	5.5736e+06	6.2067e+06	3.7541e+06	1.4255e+06	2.5832e+05	2.6341e+04
53	1.4055e+04	1.7006e+05	9.5822e+05	2.9046e+06	5.4083e+06	6.1074e+06	3.7230e+06	1.4195e+06	2.5793e+05	2.6331e+04
54	1.2474e+04	1.5604e+05	9.0066e+05	2.7781e+06	5.2481e+06	6.0097e+06	3.6922e+06	1.4136e+06	2.5755e+05	2.6321e+04
55	1.1072e+04	1.4318e+05	8.4658e+05	2.6572e+06	5.0927e+06	5.9136e+06	3.6617e+06	1.4076e+06	2.5717e+05	2.6311e+04
56	9.8282e+03	1.3139e+05	7.9577e+05	2.5416e+06	4.9420e+06	5.8191e+06	3.6314e+06	1.4017e+06	2.5678e+05	2.6301e+04
57	8.7252e+03	1.2058e+05	7.4805e+05	2.4311e+06	4.7959e+06	5.7262e+06	3.6014e+06	1.3958e+06	2.5640e+05	2.6291e+04
58	7.7466e+03	1.1067e+05	7.0320e+05	2.3254e+06	4.6542e+06	5.6348e+06	3.5716e+06	1.3900e+06	2.5602e+05	2.6281e+04
59	6.8784e+03	1.0157e+05	6.6107e+05	2.2244e+06	4.5169e+06	5.5449e+06	3.5421e+06	1.3841e+06	2.5564e+05	2.6271e+04
60	6.1081e+03	9.3231e+04	6.2149e+05	2.1278e+06	4.3836e+06	5.4565e+06	3.5128e+06	1.3783e+06	2.5526e+05	2.6261e+04
61	5.4246e+03	8.5579e+04	5.8429e+05	2.0354e+06	4.2544e+06	5.3696e+06	3.4838e+06	1.3725e+06	2.5488e+05	2.6251e+04
62	4.8179e+03	7.8560e+04	5.4934e+05	1.9471e+06	4.1291e+06	5.2841e+06	3.4551e+06	1.3668e+06	2.5450e+05	2.6241e+04
63	4.2795e+03	7.2121e+04	5.1650e+05	1.8626e+06	4.0076e+06	5.2000e+06	3.4266e+06	1.3610e+06	2.5412e+05	2.6231e+04
64	3.8016e+03	6.6214e+04	4.8564e+05	1.7819e+06	3.8898e+06	5.1174e+06	3.3983e+06	1.3553e+06	2.5374e+05	2.6221e+04
