z	h(m)	phi2.0	phi1.9	phi1.8	phi1.7	phi1.6	phi1.5	phi1.4	phi1.3	phi1.2	phi1.1
27	2700.0	1316.7128	1228.5364	1146.2650	1069.5031	997.8817	931.0565	868.7065	810.5318	756.2529	705.6089
26	2600.0	1394.9146	1301.5013	1214.3437	1133.0227	1057.1476	986.3535	920.3004	858.6706	801.1680	747.5162
25	2500.0	1473.4430	1374.7709	1282.7066	1196.8076	1116.6610	1041.8815	972.1099	907.0106	846.2708	789.5986
24	2400.0	1552.2988	1448.3460	1351.3546	1260.8584	1176.4225	1097.6410	1024.1353	955.5520	891.5615	831.8563
23	2300.0	1631.4826	1522.2271	1420.2881	1325.1757	1236.4326	1153.6324	1076.3771	1004.2954	937.0407	874.2899
22	2200.0	1710.9952	1596.4150	1489.5078	1389.7599	1296.6919	1209.8563	1128.8358	1053.2411	982.7087	916.8996
21	2100.0	1790.8372	1670.9102	1559.0143	1454.6118	1357.2008	1266.3131	1181.5119	1102.3896	1028.5659	959.6859
20	2000.0	1871.0029	1745.7074	1628.8026	1519.7266	1417.9550	1322.9988	1234.4015	1151.7374	1074.6090	1002.6456
19	1900.0	1951.4966	1820.8108	1698.8765	1585.1078	1478.9579	1379.9165	1287.5076	1201.2871	1120.8405	1045.7812
18	1800.0	2032.3297	1896.2307	1769.2458	1650.7647	1540.2179	1437.0741	1340.8376	1251.0457	1167.2669	1089.0985
17	1700.0	2113.5033	1971.9683	1839.9115	1716.6981	1601.7360	1494.4725	1394.3921	1301.0139	1213.8889	1132.5984
16	1600.0	2195.0185	2048.0247	1910.8746	1782.9091	1663.5130	1552.1125	1448.1722	1351.1924	1260.7071	1176.2813
15	1500.0	2276.8707	2124.3955	1982.1311	1849.3937	1725.5453	1609.9907	1502.1744	1401.5783	1307.7188	1220.1448
14	1400.0	2359.0630	2201.0836	2053.6837	1916.1546	1787.8355	1668.1095	1556.4012	1452.1736	1354.9259	1264.1906
13	1300.0	2441.6050	2278.0980	2125.5406	1983.1995	1850.3906	1726.4755	1610.8586	1502.9842	1402.3338	1308.4237
12	1200.0	2524.4981	2355.4400	2197.7033	2050.5297	1913.2118	1785.0897	1665.5476	1554.0109	1449.9434	1352.8450
11	1100.0	2607.7439	2433.1111	2270.1729	2118.1462	1976.3003	1843.9534	1720.4693	1605.2546	1497.7555	1397.4553
10	1000.0	2691.3378	2511.1069	2342.9456	2186.0456	2039.6526	1903.0632	1775.6207	1656.7127	1545.7676	1442.2522
9	900.0	2775.2775	2589.4255	2416.0194	2254.2258	2103.2671	1962.4175	1831.0003	1708.3837	1593.9784	1487.2344
8	800.0	2859.5627	2668.0663	2489.3939	2322.6867	2167.1433	2022.0162	1886.6078	1760.2673	1642.3875	1532.4017
7	700.0	2944.1926	2747.0288	2563.0685	2391.4275	2231.2807	2081.8585	1942.4427	1812.3631	1690.9946	1577.7537
6	600.0	3029.1644	2826.3103	2637.0408	2460.4461	2295.6773	2141.9427	1998.5032	1864.6694	1739.7981	1623.2890
5	500.0	3114.4785	2905.9112	2711.3110	2529.7426	2360.3333	2202.2689	2054.7895	1917.1864	1788.7982	1669.0077
4	400.0	3200.1409	2985.8370	2785.8844	2599.3221	2425.2533	2262.8413	2111.3056	1969.9178	1837.9983	1714.9130
3	300.0	3286.1522	3066.0884	2860.7617	2669.1850	2490.4377	2323.6605	2168.0519	2022.8640	1887.3988	1761.0054
2	200.0	3372.4898	3146.6443	2935.9229	2739.3129	2555.8693	2384.7104	2225.0135	2076.0110	1936.9867	1807.2725
1	100.0	3459.1524	3227.5033	3011.3671	2809.7048	2621.5473	2445.9901	2282.1895	2129.3581	1986.7614	1853.7139
0	0.0	3546.1627	3308.6868	3087.1139	2880.3792	2687.4888	2507.5157	2339.5949	2182.9192	2036.7356	1900.3415
