s	phi5.0	phi4.9	phi4.8	phi4.7	phi4.6	phi4.5	phi4.4	phi4.3	phi4.2	phi4.1
251	23.4872	39.6265	66.1358	109.1768	178.2400	287.7334	459.2024	724.3587	1129.0976	1738.6585
252	23.4837	39.6197	66.1228	109.1521	178.1937	287.6474	459.0449	724.0733	1128.5865	1737.7544
253	23.4802	39.6129	66.1097	109.1274	178.1473	287.5615	458.8874	723.7879	1128.0755	1736.8507
254	23.4767	39.6061	66.0967	109.1027	178.1010	287.4756	458.7299	723.5026	1127.5648	1735.9475
255	23.4731	39.5993	66.0837	109.0780	178.0547	287.3897	458.5725	723.2175	1127.0544	1735.0448
256	23.4696	39.5925	66.0707	109.0533	178.0084	287.3039	458.4152	722.9324	1126.5441	1734.1426
257	23.4661	39.5857	66.0576	109.0286	177.9621	287.2181	458.2579	722.6475	1126.0341	1733.2408
258	23.4626	39.5789	66.0446	109.0039	177.9158	287.1323	458.1007	722.3627	1125.5243	1732.3395
259	23.4591	39.5721	66.0316	108.9792	177.8695	287.0465	457.9435	722.0780	1125.0148	1731.4386
260	23.4556	39.5653	66.0186	108.9546	177.8233	286.9608	457.7864	721.7934	1124.5055	1730.5382
261	23.4521	39.5586	66.0056	108.9299	177.7771	286.8750	457.6293	721.5089	1123.9964	1729.6383
262	23.4486	39.5518	65.9926	108.9053	177.7308	286.7894	457.4723	721.2246	1123.4876	1728.7389
263	23.4451	39.5450	65.9796	108.8806	177.6846	286.7037	457.3153	720.9403	1122.9789	1727.8399
264	23.4416	39.5382	65.9666	108.8559	177.6384	286.6181	457.1584	720.6562	1122.4705	1726.9414
265	23.4381	39.5314	65.9536	108.8313	177.5922	286.5324	457.0015	720.3722	1121.9624	1726.0434
266	23.4346	39.5246	65.9406	108.8067	177.5460	286.4468	456.8447	720.0882	1121.4545	1725.1458
267	23.4311	39.5179	65.9276	108.7820	177.4999	286.3613	456.6880	719.8044	1120.9468	1724.2487
268	23.4276	39.5111	65.9146	108.7574	177.4537	286.2757	456.5313	719.5207	1120.4393	1723.3521
269	23.4241	39.5043	65.9016	108.7328	177.4076	286.1902	456.3746	719.2372	1119.9320	1722.4559
270	23.4206	39.4975	65.8886	108.7082	177.3614	286.1047	456.2181	718.9537	1119.4250	1721.5602
271	23.4171	39.4907	65.8756	108.6836	177.3153	286.0193	456.0615	718.6703	1118.9183	1720.6649
272	23.4136	39.4840	65.8626	108.6590	177.2692	285.9339	455.9050	718.3871	1118.4117	1719.7702
273	23.4101	39.4772	65.8497	108.6344	177.2231	285.8484	455.7486	718.1040	1117.9054	1718.8759
274	23.4066	39.4704	65.8367	108.6098	177.1770	285.7631	455.5922	717.8209	1117.3993	1717.9820
275	23.4031	39.4636	65.8237	108.5852	177.1309	285.6777	455.4359	717.5380	1116.8934	1717.0886
276	23.3996	39.4569	65.8107	108.5606	177.0849	285.5924	455.2797	717.2552	1116.3878	1716.1957
277	23.3961	39.4501	65.7978	108.5360	177.0388	285.5071	455.1234	716.9725	1115.8824	1715.3033
278	23.3926	39.4433	65.7848	108.5114	176.9928	285.4218	454.9673	716.6900	1115.3772	1714.4113
279	23.3891	39.4366	65.7718	108.4869	176.9468	285.3365	454.8112	716.4075	1114.8723	1713.5198
280	23.3857	39.4298	65.7589	108.4623	176.9007	285.2513	454.6551	716.1252	1114.3675	1712.6287
281	23.3822	39.4230	65.7459	108.4378	176.8547	285.1661	454.4991	715.8429	1113.8630	1711.7381
282	23.3787	39.4163	65.7329	108.4132	176.8088	285.0809	454.3432	715.5608	1113.3588	1710.8480
283	23.3752	39.4095	65.7200	108.3887	176.7628	284.9958	454.1873	715.2788	1112.8547	1709.9583
284	23.3717	39.4027	65.7070	108.3641	176.7168	284.9106	454.0315	714.9969	1112.3509	1709.0691
285	23.3682	39.3960	65.6941	108.3396	176.6709	284.8255	453.8757	714.7151	1111.8474	1708.1804
286	23.3647	39.3892	65.6811	108.3151	176.6249	284.7404	453.7199	714.4334	1111.3440	1707.2921
287	23.3612	39.3825	65.6682	108.2906	176.5790	284.6554	453.5643	714.1518	1110.8409	1706.4043
288	23.3577	39.3757	65.6553	108.2660	176.5331	284.5704	453.4086	713.8703	1110.3380	1705.5169
289	23.3542	39.3690	65.6423	108.2415	176.4872	284.4854	453.2531	713.5890	1109.8353	1704.6300
290	23.3507	39.3622	65.6294	108.2170	176.4413	284.4004	453.0976	713.3077	1109.3329	1703.7436
291	23.3473	39.3554	65.6164	108.1925	176.3954	284.3154	452.9421	713.0266	1108.8307	1702.8576
292	23.3438	39.3487	65.6035	108.1680	176.3495	284.2305	452.7867	712.7456	1108.3287	1701.9721
293	23.3403	39.3419	65.5906	108.1436	176.3037	284.1456	452.6313	712.4647	1107.8269	1701.0870
294	23.3368	39.3352	65.5777	108.1191	176.2578	284.0607	452.4760	712.1839	1107.3254	1700.2024
295	23.3333	39.3284	65.5647	108.0946	176.2120	283.9759	452.3208	711.9032	1106.8241	1699.3183
296	23.3298	39.3217	65.5518	108.0701	176.1662	283.8910	452.1656	711.6226	1106.3230	1698.4346
297	23.3263	39.3150	65.5389	108.0457	176.1203	283.8062	452.0104	711.3421	1105.8222	1697.5514
298	23.3229	39.3082	65.5260	108.0212	176.0745	283.7215	451.8553	711.0618	1105.3215	1696.6687
299	23.3194	39.3015	65.5131	107.9967	176.0288	283.6367	451.7003	710.7815	1104.8211	1695.7864
300	23.3159	39.2947	65.5002	107.9723	175.9830	283.5520	451.5453	710.5014	1104.3210	1694.9045
301	23.3124	39.2880	65.4872	107.9479	175.9372	283.4673	451.3904	710.2214	1103.8210	1694.0231
302	23.3089	39.2812	65.4743	107.9234	175.8915	283.3826	451.2355	709.9415	1103.3213	1693.1422
303	23.3054	39.2745	65.4614	107.8990	175.8457	283.2980	451.0807	709.6617	1102.8218	1692.2618
304	23.3020	39.2678	65.4485	107.8746	175.8000	283.2134	450.9259	709.3820	1102.3226	1691.3818
305	23.2985	39.2610	65.4356	107.8501	175.7543	283.1288	450.7712	709.1024	1101.8235	1690.5022
306	23.2950	39.2543	65.4227	107.8257	175.7086	283.0442	450.6165	708.8229	1101.3247	1689.6231
307	23.2915	39.2476	65.4098	107.8013	175.6629	282.9596	450.4619	708.5435	1100.8261	1688.7445
308	23.2881	39.2408	65.3970	107.7769	175.6172	282.8751	450.3074	708.2643	1100.3278	1687.8663
309	23.2846	39.2341	65.3841	107.7525	175.5715	282.7906	450.1528	707.9851	1099.8296	1686.9886
310	23.2811	39.2274	65.3712	107.7281	175.5259	282.7062	449.9984	707.7061	1099.3317	1686.1113
311	23.2776	39.2206	65.3583	107.7037	175.4802	282.6217	449.8440	707.4272	1098.8340	1685.2345
312	23.2741	39.2139	65.3454	107.6793	175.4346	282.5373	449.6896	707.1484	1098.3366	1684.3582
313	23.2707	39.2072	65.3325	107.6550	175.3890	282.4529	449.5354	706.8697	1097.8393	1683.4823
314	23.2672	39.2004	65.3197	107.6306	175.3434	282.3685	449.3811	706.5911	1097.3423	1682.6068
315	23.2637	39.1937	65.3068	107.6062	175.2978	282.2842	449.2269	706.3126	1096.8455	1681.7319
316	23.2602	39.1870	65.2939	107.5819	175.2522	282.1999	449.0728	706.0342	1096.3490	1680.8573
317	23.2568	39.1803	65.2810	107.5575	175.2066	282.1156	448.9187	705.7559	1095.8526	1679.9833
318	23.2533	39.1735	65.2682	107.5332	175.1611	282.0313	448.7647	705.4778	1095.3565	1679.1096
319	23.2498	39.1668	65.2553	107.5088	175.1155	281.9471	448.6107	705.1997	1094.8606	1678.2365
320	23.2463	39.1601	65.2425	107.4845	175.0700	281.8628	448.4568	704.9218	1094.3650	1677.3638
321	23.2429	39.1534	65.2296	107.4602	175.0245	281.7786	448.3029	704.6440	1093.8696	1676.4915
322	23.2394	39.1467	65.2167	107.4358	174.9789	281.6945	448.1491	704.3663	1093.3743	1675.6197
323	23.2359	39.1400	65.2039	107.4115	174.9334	281.6103	447.9953	704.0887	1092.8794	1674.7484
324	23.2325	39.1332	65.1910	107.3872	174.8879	281.5262	447.8416	703.8112	1092.3846	1673.8775
325	23.2290	39.1265	65.1782	107.3629	174.8425	281.4421	447.6879	703.5338	1091.8900	1673.0070
326	23.2255	39.1198	65.1653	107.3386	174.7970	281.3581	447.5343	703.2565	1091.3957	1672.1370
327	23.2220	39.1131	65.1525	107.3143	174.7515	281.2740	447.3808	702.9793	1090.9016	1671.2675
328	23.2186	39.1064	65.1397	107.2900	174.7061	281.1900	447.2273	702.7023	1090.4078	1670.3984
329	23.2151	39.0997	65.1268	107.2657	174.6607	281.1060	447.0738	702.4253	1089.9141	1669.5298
330	23.2116	39.0930	65.1140	107.2414	174.6153	281.0220	446.9204	702.1485	1089.4207	1668.6616
331	23.2082	39.0863	65.1012	107.2171	174.5698	280.9381	446.7671	701.8717	1088.9275	1667.7939
332	23.2047	39.0796	65.0883	107.1929	174.5245	280.8542	446.6138	701.5951	1088.4345	1666.9266
333	23.2012	39.0728	65.0755	107.1686	174.4791	280.7703	446.4606	701.3186	1087.9418	1666.0597
334	23.1978	39.0661	65.0627	107.1443	174.4337	280.6864	446.3074	701.0422	1087.4493	1665.1934
335	23.1943	39.0594	65.0499	107.1201	174.3883	280.6026	446.1542	700.7659	1086.9569	1664.3274
336	23.1909	39.0527	65.0370	107.0958	174.3430	280.5188	446.0012	700.4897	1086.4649	1663.4620
337	23.1874	39.0460	65.0242	107.0716	174.2977	280.4350	445.8481	700.2136	1085.9730	1662.5969
338	23.1839	39.0393	65.0114	107.0473	174.2523	280.3512	445.6951	699.9377	1085.4814	1661.7324
339	23.1805	39.0326	64.9986	107.0231	174.2070	280.2675	445.5422	699.6618	1084.9900	1660.8682
340	23.1770	39.0259	64.9858	106.9989	174.1617	280.1837	445.3894	699.3860	1084.4988	1660.0045
341	23.1735	39.0193	64.9730	106.9747	174.1164	280.1000	445.2365	699.1104	1084.0078	1659.1413
342	23.1701	39.0126	64.9602	106.9504	174.0711	280.0164	445.0838	698.8349	1083.5170	1658.2785
343	23.1666	39.0059	64.9474	106.9262	174.0259	279.9327	444.9311	698.5594	1083.0265	1657.4162
344	23.1632	38.9992	64.9346	106.9020	173.9806	279.8491	444.7784	698.2841	1082.5362	1656.5543
345	23.1597	38.9925	64.9218	106.8778	173.9354	279.7655	444.6258	698.0089	1082.0461	1655.6929
346	23.1562	38.9858	64.9090	106.8536	173.8902	279.6820	444.4732	697.7338	1081.5563	1654.8319
347	23.1528	38.9791	64.8962	106.8294	173.8449	279.5984	444.3207	697.4588	1081.0666	1653.9714
348	23.1493	38.9724	64.8834	106.8052	173.7997	279.5149	444.1683	697.1839	1080.5772	1653.1113
349	23.1459	38.9657	64.8706	106.7811	173.7545	279.4314	444.0159	696.9091	1080.0880	1652.2516
350	23.1424	38.9590	64.8578	106.7569	173.7094	279.3479	443.8635	696.6345	1079.5991	1651.3924
351	23.1389	38.9524	64.8450	106.7327	173.6642	279.2645	443.7112	696.3599	1079.1103	1650.5337
352	23.1355	38.9457	64.8323	106.7086	173.6190	279.1811	443.5590	696.0855	1078.6218	1649.6754
353	23.1320	38.9390	64.8195	106.6844	173.5739	279.0977	443.4068	695.8111	1078.1335	1648.8175
354	23.1286	38.9323	64.8067	106.6603	173.5287	279.0143	443.2547	695.5369	1077.6454	1647.9601
355	23.1251	38.9256	64.7939	106.6361	173.4836	278.9310	443.1026	695.2628	1077.1575	1647.1031
356	23.1217	38.9190	64.7812	106.6120	173.4385	278.8477	442.9505	694.9887	1076.6699	1646.2466
357	23.1182	38.9123	64.7684	106.5878	173.3934	278.7644	442.7985	694.7148	1076.1824	1645.3905
358	23.1148	38.9056	64.7556	106.5637	173.3483	278.6811	442.6466	694.4410	1075.6952	1644.5349
359	23.1113	38.8989	64.7429	106.5396	173.3032	278.5979	442.4947	694.1673	1075.2082	1643.6797
360	23.1079	38.8922	64.7301	106.5155	173.2582	278.5146	442.3429	693.8937	1074.7215	1642.8250
