i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
77	1688028.3183	-1152022.4502	2365991.3183	2380140.5498	310545311050.6088	5.1248e+03
78	1688124.3553	-1152050.3229	2366087.3553	2380112.6771	310545311050.6088	5.1226e+03
79	1688220.3923	-1152078.1957	2366183.3923	2380084.8043	310545311050.6088	5.1204e+03
80	1688316.4293	-1152106.0684	2366279.4293	2380056.9316	310545311050.6088	5.1182e+03
81	1688412.4664	-1152133.9411	2366375.4664	2380029.0589	310545311050.6088	5.1160e+03
82	1688508.5034	-1152161.8139	2366471.5034	2380001.1861	310545311050.6088	5.1138e+03
83	1688604.5404	-1152189.6866	2366567.5404	2379973.3134	310545311050.6088	5.1116e+03
84	1688700.5775	-1152217.5593	2366663.5775	2379945.4407	310545311050.6088	5.1094e+03
85	1688796.6145	-1152245.4321	2366759.6145	2379917.5679	310545311050.6088	5.1072e+03
86	1688892.6515	-1152273.3048	2366855.6515	2379889.6952	310545311050.6088	5.1050e+03
87	1688988.6885	-1152301.1775	2366951.6885	2379861.8225	310545311050.6088	5.1028e+03
88	1689084.7256	-1152329.0502	2367047.7256	2379833.9498	310545311050.6088	5.1006e+03
89	1689180.7626	-1152356.9230	2367143.7626	2379806.0770	310545311050.6088	5.0984e+03
90	1689276.7996	-1152384.7957	2367239.7996	2379778.2043	310545311050.6088	5.0962e+03
91	1689372.8367	-1152412.6684	2367335.8367	2379750.3316	310545311050.6088	5.0940e+03
92	1689468.8737	-1152440.5412	2367431.8737	2379722.4588	310545311050.6088	5.0918e+03
93	1689564.9107	-1152468.4139	2367527.9107	2379694.5861	310545311050.6088	5.0896e+03
94	1689660.9477	-1152496.2866	2367623.9477	2379666.7134	310545311050.6088	5.0874e+03
95	1689756.9848	-1152524.1593	2367719.9848	2379638.8407	310545311050.6088	5.0852e+03
96	1689853.0218	-1152552.0321	2367816.0218	2379610.9679	310545311050.6088	5.0831e+03
97	1689949.0588	-1152579.9048	2367912.0588	2379583.0952	310545311050.6088	5.0809e+03
98	1690045.0959	-1152607.7775	2368008.0959	2379555.2225	310545311050.6088	5.0787e+03
99	1690141.1329	-1152635.6503	2368104.1329	2379527.3497	310545311050.6088	5.0765e+03
100	1690237.1699	-1152663.5230	2368200.1699	2379499.4770	310545311050.6088	5.0743e+03
101	1690333.2070	-1152691.3957	2368296.2070	2379471.6043	310545311050.6088	5.0721e+03
102	1690429.2440	-1152719.2685	2368392.2440	2379443.7315	310545311050.6088	5.0700e+03
103	1690525.2810	-1152747.1412	2368488.2810	2379415.8588	310545311050.6088	5.0678e+03
104	1690621.3180	-1152775.0139	2368584.3180	2379387.9861	310545311050.6088	5.0656e+03
105	1690717.3551	-1152802.8866	2368680.3551	2379360.1134	310545311050.6088	5.0634e+03
106	1690813.3921	-1152830.7594	2368776.3921	2379332.2406	310545311050.6088	5.0612e+03
107	1690909.4291	-1152858.6321	2368872.4291	2379304.3679	310545311050.6088	5.0591e+03
108	1691005.4662	-1152886.5048	2368968.4662	2379276.4952	310545311050.6088	5.0569e+03
109	1691101.5032	-1152914.3776	2369064.5032	2379248.6224	310545311050.6088	5.0547e+03
110	1691197.5402	-1152942.2503	2369160.5402	2379220.7497	310545311050.6088	5.0525e+03
111	1691293.5772	-1152970.1230	2369256.5772	2379192.8770	310545311050.6088	5.0504e+03
112	1691389.6143	-1152997.9957	2369352.6143	2379165.0043	310545311050.6088	5.0482e+03
113	1691485.6513	-1153025.8685	2369448.6513	2379137.1315	310545311050.6088	5.0460e+03
114	1691581.6883	-1153053.7412	2369544.6883	2379109.2588	310545311050.6088	5.0439e+03
115	1691677.7254	-1153081.6139	2369640.7254	2379081.3861	310545311050.6088	5.0417e+03
116	1691773.7624	-1153109.4867	2369736.7624	2379053.5133	310545311050.6088	5.0395e+03
117	1691869.7994	-1153137.3594	2369832.7994	2379025.6406	310545311050.6088	5.0374e+03
118	1691965.8364	-1153165.2321	2369928.8364	2378997.7679	310545311050.6088	5.0352e+03
119	1692061.8735	-1153193.1049	2370024.8735	2378969.8951	310545311050.6088	5.0330e+03
120	1692157.9105	-1153220.9776	2370120.9105	2378942.0224	310545311050.6088	5.0309e+03
121	1692253.9475	-1153248.8503	2370216.9475	2378914.1497	310545311050.6088	5.0287e+03
122	1692349.9846	-1153276.7230	2370312.9846	2378886.2770	310545311050.6088	5.0265e+03
123	1692446.0216	-1153304.5958	2370409.0216	2378858.4042	310545311050.6088	5.0244e+03
124	1692542.0586	-1153332.4685	2370505.0586	2378830.5315	310545311050.6088	5.0222e+03
125	1692638.0957	-1153360.3412	2370601.0957	2378802.6588	310545311050.6088	5.0201e+03
126	1692734.1327	-1153388.2140	2370697.1327	2378774.7860	310545311050.6088	5.0179e+03
127	1692830.1697	-1153416.0867	2370793.1697	2378746.9133	310545311050.6088	5.0158e+03
128	1692926.2067	-1153443.9594	2370889.2067	2378719.0406	310545311050.6088	5.0136e+03
