s	phi-4.0	phi-4.1	phi-4.2	phi-4.3	phi-4.4	phi-4.5	phi-4.6	phi-4.7	phi-4.8	phi-4.9
72	0.0668	0.0319	0.0149	0.0069	0.0031	0.0014	0.0006	0.0002	0.0001	0.0000
73	0.0603	0.0287	0.0134	0.0061	0.0027	0.0012	0.0005	0.0002	0.0001	0.0000
74	0.0543	0.0258	0.0120	0.0055	0.0024	0.0011	0.0005	0.0002	0.0001	0.0000
75	0.0490	0.0231	0.0107	0.0049	0.0022	0.0009	0.0004	0.0002	0.0001	0.0000
76	0.0442	0.0208	0.0096	0.0043	0.0019	0.0008	0.0004	0.0001	0.0001	0.0000
77	0.0399	0.0187	0.0086	0.0039	0.0017	0.0007	0.0003	0.0001	0.0001	0.0000
78	0.0359	0.0168	0.0077	0.0034	0.0015	0.0007	0.0003	0.0001	0.0000	0.0000
79	0.0324	0.0151	0.0069	0.0031	0.0013	0.0006	0.0002	0.0001	0.0000	0.0000
80	0.0292	0.0136	0.0062	0.0027	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000
81	0.0264	0.0122	0.0055	0.0024	0.0011	0.0005	0.0002	0.0001	0.0000	0.0000
82	0.0238	0.0109	0.0049	0.0022	0.0009	0.0004	0.0002	0.0001	0.0000	0.0000
83	0.0214	0.0098	0.0044	0.0019	0.0008	0.0004	0.0001	0.0001	0.0000	0.0000
84	0.0193	0.0088	0.0040	0.0017	0.0007	0.0003	0.0001	0.0001	0.0000	0.0000
85	0.0174	0.0079	0.0035	0.0015	0.0007	0.0003	0.0001	0.0000	0.0000	0.0000
86	0.0157	0.0071	0.0032	0.0014	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000
87	0.0142	0.0064	0.0028	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000
88	0.0128	0.0058	0.0025	0.0011	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000
89	0.0115	0.0052	0.0023	0.0010	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000
90	0.0104	0.0047	0.0020	0.0009	0.0004	0.0001	0.0001	0.0000	0.0000	0.0000
91	0.0094	0.0042	0.0018	0.0008	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000
92	0.0085	0.0038	0.0016	0.0007	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000
93	0.0076	0.0034	0.0015	0.0006	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000
94	0.0069	0.0030	0.0013	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
95	0.0062	0.0027	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
96	0.0056	0.0024	0.0010	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
97	0.0050	0.0022	0.0009	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
98	0.0046	0.0020	0.0008	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
99	0.0041	0.0018	0.0008	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
100	0.0037	0.0016	0.0007	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
101	0.0033	0.0014	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
102	0.0030	0.0013	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
103	0.0027	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
104	0.0025	0.0010	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
105	0.0022	0.0009	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
106	0.0020	0.0008	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
107	0.0018	0.0008	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
108	0.0016	0.0007	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
109	0.0015	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
110	0.0013	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
111	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
112	0.0011	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
113	0.0010	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
114	0.0009	0.0004	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
115	0.0008	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
116	0.0007	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
117	0.0006	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
118	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
119	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
120	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
121	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
122	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
123	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
124	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
125	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
126	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
127	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
128	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
129	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
130	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
131	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
132	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
133	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
134	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
135	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
136	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
137	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
138	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
139	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
140	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
141	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
142	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
143	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
144	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
145	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
146	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
147	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
148	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
149	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
150	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
152	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
153	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
154	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
155	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
156	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
158	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
160	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
